dataset,setting,held_block,requested_model,model,tau_m,tau_p,target_duration,direction_penalty,delay,lambda_ridge,edf,last_IRLS_change
A1,past,0,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.466970985931779,2.649762847126147e-06
A1,past,0,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.783702446109055,3.0947851893808886e-06
A1,past,0,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,10.205609882786884,3.306231168828666e-06
A1,past,0,N2,N2,4.0,0.1,0.1,1.0,0.05,0.1,12.526109515883777,2.924856257691122e-06
A1,past,0,N3,N3,1.0,0.6,0.4,10.0,0.05,0.1,11.473217403250878,3.46127232561666e-06
A1,past,1,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.719397690689637,1.5387041132353119e-06
A1,past,1,N0,N0,1.0,0.3,0.4,10.0,0.05,0.1,9.030492941477274,2.031616878013509e-06
A1,past,1,N1,N1,1.0,0.1,0.4,10.0,0.05,0.1,10.398707927516405,2.098517873798389e-06
A1,past,1,N2,N2,2.0,0.3,0.4,1.0,0.05,0.1,13.097232512342517,2.4151698781449404e-06
A1,past,1,N3,N3,1.0,0.6,0.4,10.0,0.05,0.1,11.731804194326632,2.2975895535293223e-06
A1,past,2,B0,B0,1.0,0.3,0.2,1.0,0.05,0.001,8.954177297016084,5.679674182079708e-06
A1,past,2,N0,N0,1.0,0.3,0.4,10.0,0.05,0.001,11.942073884105392,6.462578274191166e-06
A1,past,2,N1,N1,1.0,0.6,0.4,10.0,0.05,0.001,14.922281626195288,6.049932074259079e-06
A1,past,2,N2,N2,0.5,0.3,0.4,10.0,0.05,0.001,16.43546426526256,4.17162428867357e-06
A1,past,2,N3,N3,1.0,0.6,0.4,10.0,0.05,0.001,17.00604356408877,1.7306392433302786e-06
A1,past,3,B0,B0,1.0,0.3,0.2,1.0,0.05,0.01,8.569424703809615,6.365194870877611e-06
A1,past,3,N0,N0,1.0,0.3,0.1,10.0,0.05,0.01,11.458251784463455,6.119639974488944e-06
A1,past,3,N1,N1,1.0,0.1,0.2,10.0,0.05,0.01,13.873507214431086,6.373926576763722e-06
A1,past,3,N2,N2,4.0,0.3,0.2,1.0,0.05,0.001,16.928829664209054,6.292879442343358e-06
