dataset,setting,model,stage,MSE,n,RMSE
A1,past,B0,encoding,13236.765455565837,65,115.05114278252884
A1,past,B0,maintenance,57266.947180501564,65,239.30513404543072
A1,past,B0,retrieval,64259.80533298181,65,253.49517812570284
A1,past,N0,encoding,13663.019512256304,65,116.8889195443961
A1,past,N0,maintenance,57084.59651048093,65,238.92382993431386
A1,past,N0,retrieval,64729.24114208131,65,254.41941974244284
A1,past,N1,encoding,14201.760688096843,65,119.17114033228366
A1,past,N1,maintenance,57518.56139187442,65,239.83027622023542
A1,past,N1,retrieval,64726.46582003249,65,254.41396545793725
A1,past,N2,encoding,14923.087410235905,65,122.16008926910582
A1,past,N2,maintenance,57829.48408533307,65,240.47761659941048
A1,past,N2,retrieval,63172.676952451795,65,251.34175330106177
A1,past,N3,encoding,13735.334433051547,65,117.19784312457097
A1,past,N3,maintenance,59569.315412544536,65,244.06825974006645
A1,past,N3,retrieval,62978.78883785048,65,250.95575075668316
A1,stimulus,N0,encoding,14268.788189754145,65,119.45203300804111
A1,stimulus,N0,maintenance,66464.61114380871,65,257.80731398431794
A1,stimulus,N0,retrieval,80963.60988428339,65,284.5410513164724
A1,stimulus,N1,encoding,14464.445233937253,65,120.26822204529861
A1,stimulus,N1,maintenance,67101.09971881153,65,259.0387996397673
A1,stimulus,N1,retrieval,82386.32302814162,65,287.0301779049402
A1,stimulus,N2,encoding,14410.826031716626,65,120.04509999044787
A1,stimulus,N2,maintenance,66942.23246768399,65,258.7319703238933
A1,stimulus,N2,retrieval,81360.1461834705,65,285.2370000253657
A1,stimulus,N2_equal_penalty,encoding,14451.618277082134,65,120.21488375855185
A1,stimulus,N2_equal_penalty,maintenance,66719.08299369016,65,258.3003735841088
A1,stimulus,N2_equal_penalty,retrieval,81244.72126049541,65,285.03459660275524
A1,stimulus,N2_fixed_target,encoding,14416.669454349332,65,120.0694359708137
A1,stimulus,N2_fixed_target,maintenance,66877.2070767385,65,258.60627810774145
A1,stimulus,N2_fixed_target,retrieval,81290.43397423656,65,285.11477333564557
A1,stimulus,N2_no_projection,encoding,14459.28678678989,65,120.24677453798871
A1,stimulus,N2_no_projection,maintenance,67107.4391148557,65,259.05103573399526
A1,stimulus,N2_no_projection,retrieval,82378.82594740306,65,287.0171178647766
A1,stimulus,N2_no_retrieval,encoding,14418.303601254212,65,120.07624078581996
A1,stimulus,N2_no_retrieval,maintenance,66951.08272916373,65,258.7490729049357
A1,stimulus,N2_no_retrieval,retrieval,81390.73579334003,65,285.2906163780015
A1,stimulus,N3,encoding,14208.287848877248,65,119.19852284687612
