dataset,horizon_s,stage,control,S,ci_low,ci_high,n,n_blocks,mode
A1,1.5,encoding,N0,-0.010256941436127764,-0.024430258436157093,0.00029734811215834637,65,5,frozen_V2_common_cohort
A1,1.5,encoding,N1,0.00370462204558486,-0.009766334007204946,0.022268020973180702,65,5,frozen_V2_common_cohort
A1,1.5,encoding,N3,-0.014664039259049577,-0.05974116795641171,0.004956524386530048,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N0,-0.007335229856006542,-0.01926061059669082,0.003014131267490394,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N1,0.0023970355577855873,0.0011514801276317765,0.0038900674930290036,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N3,0.02636385544201869,0.0009964262824585512,0.05489779721462096,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N0,-0.005012453244583881,-0.01611326401669122,0.0028345412101267176,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N1,0.012686782254987206,0.0007710410181389626,0.030165622298837253,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N3,0.02442200094505176,-0.01343667320615305,0.0734124843677448,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N0,-0.010256941436127764,-0.024430258436157315,0.000556685576780902,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N1,0.00370462204558486,-0.009766334007204946,0.021453175452435524,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N3,-0.014664039259049577,-0.059741167956411934,0.004956524386530048,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N0,-0.007335229856006542,-0.01926061059669082,0.003014131267490394,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N1,0.0023970355577855873,0.0011514801276317765,0.0037386389679714416,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N3,0.02636385544201869,0.0009964262824585512,0.054897797214620625,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N0,-0.005012453244583881,-0.016289590521146646,0.0028345412101266065,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N1,0.012686782254987206,0.0007710410181391847,0.030570491452763915,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N3,0.02442200094505176,-0.013436673206152827,0.0742247114564415,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N0,-0.010256941436127764,-0.024430258436157093,0.000556685576780902,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N1,0.00370462204558486,-0.009766334007204946,0.022268020973180702,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N3,-0.014664039259049577,-0.05974116795641171,0.004956524386530381,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N0,-0.007335229856006542,-0.020226356445197657,0.003014131267490394,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N1,0.0023970355577855873,0.0011514801276317765,0.0039045687861956058,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N3,0.02636385544201869,0.0009964262824585512,0.05814061900691658,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N0,-0.005012453244583881,-0.01611326401669122,0.0028403060606381303,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N1,0.012686782254987206,0.0007710410181389626,0.030155241038480003,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N3,0.02442200094505176,-0.01343667320615305,0.0733916580321371,65,5,frozen_V2_common_cohort
A2,1.5,encoding,N0,0.05283438183584532,-0.05126072810461224,0.2521900011885808,68,5,frozen_V2_common_cohort
A2,1.5,encoding,N1,-0.00016589029543956357,-0.016039240068644656,0.03153264372519593,68,5,frozen_V2_common_cohort
A2,1.5,encoding,N3,0.016339152908484533,-0.02311492489018563,0.1117966124527433,68,5,frozen_V2_common_cohort
A2,1.5,maintenance,N0,0.010913871844189571,-0.014021521222463695,0.0299636510564254,68,5,frozen_V2_common_cohort
