stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,20.37700961394228,20.37700961394228,20.67633585406493,20.67633585406493,0.7915923213291489,0.7915923213291489,0.4882361029967578,0.4882361029967578,15.642324848503597,15.642324848503597,189.31867385285858,189.31867385285858,-13.474512538281871,-13.474512538281871,0.41462942150257565,0.41462942150257565,24.29388937486832,24.29388937486832,3.90625,3.90625,22.4732857534632,22.4732857534632,3.087246819610906,19.38603893385229,19.38603893385229,5620.060049416007,5620.060049416007,763.055971805238,4857.004077610769,4857.004077610769,35.28808682266995,35.28808682266995,500.0,500.0,53,True,True,True
预处理,-1,F3,23.536591330744077,23.536591330744077,24.181810737502023,24.181810737502023,0.8531193339909768,0.8531193339909768,0.474295624961875,0.474295624961875,27.709190709088382,27.709190709088382,236.97626850775188,236.97626850775188,-19.507748509820807,-19.507748509820807,0.6010670330692296,0.6010670330692296,21.9417186890259,21.9417186890259,0.0,0.0,23.28412939915802,23.28412939915802,4.054017642913067,19.230111756244952,19.230111756244952,5820.291750170889,5820.291750170889,1000.6809457290003,4819.610804441889,4819.610804441889,36.61536805447644,36.61536805447644,500.0,500.0,53,True,True,True
预处理,-1,F4,30.165091637472944,30.165091637472944,30.397219794135097,30.397219794135097,0.7931765549409626,0.7931765549409626,0.4871820732879894,0.4871820732879894,22.063902438886792,22.063902438886792,254.74243444976833,254.74243444976833,-12.364848890471734,-12.364848890471734,0.5083339580917777,0.5083339580917777,34.89344323005868,34.89344323005868,0.0,0.0,40.242318897579494,40.242318897579494,10.077227260106554,30.16509163747294,30.16509163747294,10061.089822929815,10061.089822929815,2514.4413130206103,7546.648509909204,7546.648509909204,54.11522430337565,54.11522430337565,500.0,500.0,53,True,True,True
预处理,1,Fz,49.604671014278466,49.604671014278466,50.15356153264498,50.15356153264498,0.42712539394738397,0.42712539394738397,0.8963815598531805,0.8963815598531805,15.998610401051229,15.998610401051229,227.07592238480788,227.07592238480788,-4.025394513543341,-4.025394513543341,0.4297331351970555,0.4297331351970555,60.34032860646165,60.34032860646165,42.96875,42.96875,53.80453116640994,53.80453116640994,4.403695808236252,49.40083535817369,49.40083535817369,13450.87012737439,13450.87012737439,1104.348873710485,12346.521253663905,12346.521253663905,70.29353928233476,70.29353928233476,500.0,500.0,42,True,True,True
预处理,1,F3,91.98185428067407,91.98185428067407,92.7675242268175,92.7675242268175,0.7738989032820286,0.7738989032820286,0.543644958852786,0.543644958852786,25.107444935052037,25.107444935052037,284.9749541363707,284.9749541363707,-3.825243818207933,-3.825243818207933,0.5148663750883712,0.5148663750883712,112.63444565379083,112.63444565379083,0.0,0.0,98.3614203540861,98.3614203540861,6.379566073412042,91.98185428067407,91.98185428067407,24586.558793172368,24586.558793172368,1588.137812057702,22998.420981114665,22998.420981114665,126.48453577022337,126.48453577022337,500.0,500.0,42,True,True,True
预处理,1,F4,69.95500907134095,69.95500907134095,71.06172346515427,71.06172346515427,-0.03228016637164829,-0.03228016637164829,1.2175102845101664,1.2175102845101664,21.04530345868848,21.04530345868848,334.99000952951434,334.99000952951434,-2.9159377959180866,-2.9159377959180866,0.4974699539557782,0.4974699539557782,85.06764131325673,85.06764131325673,35.15625,35.15625,79.68445966662283,79.68445966662283,9.729450595281868,69.95500907134095,69.95500907134095,19922.938177764263,19922.938177764263,2441.0197579375945,17481.918419826667,17481.918419826667,101.51811425791439,101.51811425791439,500.0,500.0,42,True,True,True
V7,-1,Fz,20.37700961394228,18.16007301778903,20.67633585406493,18.461625327727706,0.7915923213291489,0.8109968302084316,0.4882361029967578,0.46880222626207463,15.642324848503597,15.223429028228308,189.31867385285858,189.31867385285858,-13.474512538281871,-13.416726021782711,0.41462942150257565,0.40402596963855947,24.29388937486832,22.31898833994724,3.90625,3.90625,22.4732857534632,20.256349157309945,3.087246819610906,19.38603893385229,17.169102337699037,5620.060049416007,5064.690394086994,763.055971805238,4857.004077610769,4301.634422281756,35.28808682266995,33.31318578774887,500.0,500.0,53,True,True,True
V7,-1,F3,23.536591330744077,20.767610341855555,24.181810737502023,21.49077452274947,0.8531193339909768,0.8495161345769144,0.474295624961875,0.4769486294492913,27.709190709088382,26.761041317677016,236.97626850775188,235.9187431094928,-19.507748509820807,-19.64894260808999,0.6010670330692296,0.5774665806014936,21.9417186890259,19.905544245376834,0.0,0.0,23.28412939915802,20.51514841026949,4.054017642913067,19.230111756244952,16.461130767356423,5820.291750170889,5126.511473287554,1000.6809457290003,4819.610804441889,4125.8305275585535,36.61536805447644,34.579193610827375,500.0,500.0,53,True,True,True
V7,-1,F4,30.165091637472944,26.887063488986893,30.397219794135097,27.130187671736277,0.7931765549409626,0.8058112074778031,0.4871820732879894,0.4724845959087014,22.063902438886792,21.185737336130032,254.74243444976833,246.05920550021557,-12.364848890471734,-12.040042172194685,0.5083339580917777,0.49009630696473216,34.89344323005868,32.401134472576516,0.0,0.0,40.242318897579494,36.96429074909344,10.077227260106554,30.16509163747294,26.88706348898689,10061.089822929815,9239.039434356746,2514.4413130206103,7546.648509909204,6724.598121336136,54.11522430337565,51.62291554589349,500.0,500.0,53,True,True,True
V7,1,Fz,49.604671014278466,46.34498991479553,50.15356153264498,46.86287222684063,0.42712539394738397,0.44025728300984984,0.8963815598531805,0.8825044951797257,15.998610401051229,15.526539986784464,227.07592238480788,216.623685503822,-4.025394513543341,-4.119953067262096,0.4297331351970555,0.42424825203773353,60.34032860646165,55.38109260975785,42.96875,42.96875,53.80453116640994,50.544850066927,4.403695808236252,49.40083535817369,46.14115425869075,13450.87012737439,12637.641503326231,1104.348873710485,12346.521253663905,11533.292629615746,70.29353928233476,65.33430328563097,500.0,500.0,42,True,True,True
