fold,trial_id,role
1,6,折外评价
1,12,折外评价
1,20,折外评价
1,21,折外评价
1,25,折外评价
1,27,折外评价
1,28,折外评价
1,59,折外评价
1,62,折外评价
1,63,折外评价
1,66,折外评价
1,70,折外评价
1,77,折外评价
1,78,折外评价
1,81,折外评价
1,88,折外评价
1,93,折外评价
1,94,折外评价
1,99,折外评价
1,1,训练非参考
1,2,训练非参考
1,3,训练参考
1,4,训练参考
1,5,训练非参考
1,7,训练非参考
1,8,训练参考
1,9,训练参考
1,10,训练非参考
1,11,训练非参考
1,13,训练参考
1,15,训练非参考
1,17,训练非参考
1,18,训练参考
1,19,训练参考
1,22,训练参考
1,24,训练参考
1,26,训练非参考
1,29,训练非参考
1,30,训练非参考
1,31,训练参考
1,32,训练非参考
1,33,训练参考
1,34,训练参考
1,35,训练参考
1,36,训练非参考
1,37,训练参考
1,38,训练非参考
1,39,训练非参考
1,40,训练非参考
1,41,训练非参考
1,42,训练非参考
1,44,训练参考
1,45,训练非参考
1,46,训练参考
1,47,训练参考
1,48,训练非参考
1,49,训练非参考
1,51,训练非参考
1,52,训练参考
1,53,训练非参考
1,55,训练参考
1,56,训练非参考
1,58,训练参考
1,60,训练非参考
1,61,训练参考
1,64,训练非参考
1,65,训练非参考
1,67,训练非参考
1,68,训练非参考
1,69,训练参考
1,71,训练非参考
1,72,训练参考
1,73,训练参考
1,74,训练参考
1,75,训练参考
1,76,训练参考
1,79,训练非参考
1,80,训练参考
1,83,训练非参考
1,84,训练参考
1,85,训练非参考
1,86,训练参考
1,87,训练参考
1,89,训练非参考
1,90,训练参考
1,91,训练非参考
1,92,训练参考
1,95,训练参考
1,96,训练非参考
1,97,训练参考
1,98,训练参考
1,100,训练参考
2,13,折外评价
2,15,折外评价
2,18,折外评价
2,24,折外评价
2,34,折外评价
2,36,折外评价
2,38,折外评价
2,42,折外评价
2,46,折外评价
2,47,折外评价
2,48,折外评价
2,49,折外评价
2,51,折外评价
2,64,折外评价
