dataset,origin,held_block,method,alpha,gate,level,weight,contrast_normalized,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,0,shrink,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,shrink,0.05,0.0,0.0,0.5,0.041429852313241644,4.64396886773989,0.04803668489765316,4.005250252961468,0.22347199118159344,0.0,2,0.0710631798717165
A1,semisynthetic,0,shrink,0.1,0.0,0.0,0.5,0.08285970462648312,9.287937735479773,0.09607336979530626,8.01050050592292,0.4471836010923316,3.90625,2,0.14212883833226825
A1,semisynthetic,0,shrink,0.15,0.0,0.0,0.5,0.12428955693972471,13.931906603219668,0.14411005469295948,12.015750758884382,0.6717473445743142,3.90625,2,0.21320331116540067
A1,semisynthetic,0,shrink,0.25,0.0,0.0,0.5,0.20714926156620778,23.219844338699446,0.2401834244882658,20.026251264807296,1.1228112839606454,60.546875,2,0.35537228727490944
A1,semisynthetic,0,gated,0.0,0.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.0,1.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.0,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.05,0.0,0.0,0.5,0.017107581113311378,2.023288504260186,0.020928665782269044,1.6538833656365484,0.01979161210652262,0.0,2,0.029687178519769215
A1,semisynthetic,0,gated,0.05,1.0,0.0,0.5,0.003434993410661617,0.4536958679484898,0.0046929783701619675,0.3320795865491448,0.0005019041741947117,0.0,2,0.006415666715090554
A1,semisynthetic,0,gated,0.05,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.1,0.0,0.0,0.5,0.034215162226622714,4.046577008520377,0.041857331564538136,3.3077667312730923,0.039543610813382646,0.0,2,0.05937394728304536
A1,semisynthetic,0,gated,0.1,1.0,0.0,0.5,0.006869986821323202,0.9073917358969844,0.009385956740323984,0.6641591730982865,0.0010010937706949423,0.0,2,0.012831305350898731
A1,semisynthetic,0,gated,0.1,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.15,0.0,0.0,0.5,0.051322743339934064,6.069865512780568,0.06278599734680723,4.961650096909638,0.059189381471060086,0.0,2,0.08905961723548296
A1,semisynthetic,0,gated,0.15,1.0,0.0,0.5,0.010304980231984815,1.3610876038454778,0.014078935110485987,0.9962387596474309,0.001499616362496366,0.0,2,0.019246937087286295
A1,semisynthetic,0,gated,0.15,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,gated,0.25,0.0,0.0,0.5,0.08553790556655677,10.116442521300952,0.10464332891134544,8.26941682818273,0.09820784428613687,0.0,2,0.14842813244746206
A1,semisynthetic,0,gated,0.25,1.0,0.0,0.5,0.017174967053307996,2.2684793397424663,0.023464891850810014,1.6603979327457157,0.002496661546099288,0.0,2,0.03207820056006142
A1,semisynthetic,0,gated,0.25,2.0,0.0,0.5,1.0350749253097522e-16,1.2210829454974246e-14,1.2630742874748178e-16,1.0006635010634383e-14,7.401486830834377e-17,0.0,2,1.7882677637850988e-16
A1,semisynthetic,0,shrink,0.0,0.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,shrink,0.05,0.0,1.0,0.25,0.1990055301595932,35.056745215964945,0.3626229786282323,19.23895224115212,1.5383513533988065,42.96875,2,0.4780382748488892
A1,semisynthetic,0,shrink,0.1,0.0,1.0,0.25,0.2109031073635497,34.824651626545716,0.36022222898084655,20.38915605422593,1.7238550912864838,42.96875,2,0.48350514333443506
A1,semisynthetic,0,shrink,0.15,0.0,1.0,0.25,0.2293438682242229,35.23634897100148,0.3644807794087367,22.1719251923724,1.9639917129455862,50.78125,2,0.49946802004922375
A1,semisynthetic,0,shrink,0.25,0.0,1.0,0.25,0.2802860982813682,37.87449010833337,0.3917694107796062,27.096788990585583,2.446825948224216,50.78125,2,0.5572221487708641
A1,semisynthetic,0,gated,0.0,0.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.0,1.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.0,2.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.05,0.0,1.0,0.25,0.19461680355073915,35.73214255258949,0.3696092117327485,18.81467005382042,1.7171388308545803,41.015625,2,0.4846795019471829
A1,semisynthetic,0,gated,0.05,1.0,1.0,0.25,0.1947746562741121,35.93957272036752,0.3717548457564904,18.82993053931383,1.7450362178100374,41.015625,2,0.4871926297250322
A1,semisynthetic,0,gated,0.05,2.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.1,0.0,1.0,0.25,0.19577653833945616,35.65223057344181,0.3687826113245221,18.92678795423573,1.6973777476975773,41.015625,2,0.4842283625404463
A1,semisynthetic,0,gated,0.1,1.0,1.0,0.25,0.1947289453459027,35.96393753553532,0.3720068726287926,18.825511414056283,1.753172521608491,41.015625,2,0.4875059621327817
A1,semisynthetic,0,gated,0.1,2.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.15,0.0,1.0,0.25,0.1983081166447045,35.68114294520946,0.36908167760420674,19.171529465038724,1.678167811693496,41.015625,2,0.4855945125832461
A1,semisynthetic,0,gated,0.15,1.0,1.0,0.25,0.19471629925108,35.99323698555778,0.3723099428018466,18.824288846954072,1.7613088254069469,41.015625,2,0.48788687025797656
A1,semisynthetic,0,gated,0.15,2.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,gated,0.25,0.0,1.0,0.25,0.20725861073184604,36.0634086930184,0.3730357909494154,20.03682264628417,1.6406680357607064,41.015625,2,0.49363597956198785
A1,semisynthetic,0,gated,0.25,1.0,1.0,0.25,0.19479021048320658,36.06658965968103,0.3730686945061778,18.831434249716636,1.7776351519987978,41.015625,2,0.48885145524063894
A1,semisynthetic,0,gated,0.25,2.0,1.0,0.25,0.19485340876553597,35.92015258161665,0.37155396605371616,18.837543973071977,1.7370168537555941,41.015625,2,0.4869481748798072
A1,semisynthetic,0,shrink,0.0,0.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,shrink,0.05,0.0,2.0,0.25,0.38287443105953717,69.29841263883388,0.7168148854234868,37.014563804359874,4.81049684959243,83.984375,2,0.9580113323232723
A1,semisynthetic,0,shrink,0.1,0.0,2.0,0.25,0.3795928588602827,66.80688338021083,0.6910427906230308,36.697316284822506,4.45398066725912,83.984375,2,0.9269106886497073
A1,semisynthetic,0,shrink,0.15,0.0,2.0,0.25,0.3808207404428092,64.68456263717988,0.6690897466452946,36.81602230824343,4.23206968879395,85.9375,2,0.9032761635834902
A1,semisynthetic,0,shrink,0.25,0.0,2.0,0.25,0.3964835431694109,61.69350458799558,0.6381505829447461,38.330231050975456,4.493353462861154,50.78125,2,0.8828710908380969
A1,semisynthetic,0,gated,0.0,0.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.0,1.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.0,2.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.05,0.0,2.0,0.25,0.3866480480132707,71.09818680403816,0.735431544346726,37.37937997952374,5.083765536049978,82.03125,2,0.9813414598836014
A1,semisynthetic,0,gated,0.05,1.0,2.0,0.25,0.3903370587154737,72.11096074584425,0.7459075626191676,37.73601680594694,5.181890238812,82.03125,2,0.9946769742535294
A1,semisynthetic,0,gated,0.05,2.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.1,0.0,2.0,0.25,0.3835621698339315,70.13965823217755,0.7255166340010254,37.081051270433555,4.999568844279696,82.03125,2,0.969012689460778
A1,semisynthetic,0,gated,0.1,1.0,2.0,0.25,0.39013071379118325,72.10389971330731,0.745834524103043,37.71606831436259,5.1958182498037395,82.03125,2,0.994644833034191
A1,semisynthetic,0,gated,0.1,2.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.15,0.0,2.0,0.25,0.3813140254717347,69.24797539085569,0.71629316827653,36.86371086797924,4.915372152509412,82.03125,2,0.9577942305677309
A1,semisynthetic,0,gated,0.15,1.0,2.0,0.25,0.3899327814450176,72.0997136468115,0.7457912239081133,37.69693311268348,5.2101155949186655,82.03125,2,0.9946504567752036
A1,semisynthetic,0,gated,0.15,2.0,2.0,0.25,0.3905518028837339,72.12089589999731,0.7460103307218513,37.7567772983509,5.167962227820264,82.03125,2,0.9947430446814116
A1,semisynthetic,0,gated,0.25,0.0,2.0,0.25,0.37938496307110003,67.67551861232872,0.7000278545036492,36.67721786265296,4.74743171636754,82.03125,2,0.9388272288559161
A1,semisynthetic,0,gated,0.25,1.0,2.0,0.25,0.3895622052341364,72.09996807104656,0.7457938556434152,37.6611074850382,5.238850636913944,82.03125,2,0.9947650324057866
