dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
A1,1,0,-1,5162,203.125,0,47511,-1046,5162,False,boundary
A1,2,0,1,7538,203.125,0,47511,1330,7538,True,retained
A1,3,0,-1,9690,207.03125,0,47511,3482,9690,False,quality
A1,4,0,-1,11851,203.125,0,47511,5643,11851,True,retained
A1,5,0,1,14055,203.125,0,47511,7847,14055,True,retained
A1,6,0,-1,16216,203.125,0,47511,10008,16216,True,retained
A1,7,0,-1,18368,203.125,0,47511,12160,18368,True,retained
A1,8,0,-1,20589,203.125,0,47511,14381,20589,True,retained
A1,9,0,1,22705,203.125,0,47511,16497,22705,True,retained
A1,10,0,1,24854,203.125,0,47511,18646,24854,True,retained
A1,11,0,1,27102,203.125,0,47511,20894,27102,True,retained
A1,12,0,1,29254,207.03125,0,47511,23046,29254,True,retained
A1,13,0,-1,31379,203.125,0,47511,25171,31379,True,retained
A1,14,0,-1,33520,203.125,0,47511,27312,33520,False,quality
A1,15,0,1,35676,203.125,0,47511,29468,35676,True,retained
A1,16,0,-1,37789,203.125,0,47511,31581,37789,True,retained
A1,17,0,1,39897,203.125,0,47511,33689,39897,True,retained
A1,18,0,-1,42110,203.125,0,47511,35902,42110,False,boundary
A1,19,0,-1,44282,203.125,0,47511,38074,44282,False,boundary
A1,20,0,1,46443,203.125,0,47511,40235,46443,False,boundary
A1,21,1,-1,48579,203.125,47511,90403,42371,48579,False,boundary
A1,22,1,-1,50676,203.125,47511,90403,44468,50676,False,boundary
A1,23,1,1,52856,203.125,47511,90403,46648,52856,False,boundary
A1,24,1,-1,55001,203.125,47511,90403,48793,55001,True,retained
A1,25,1,-1,57133,203.125,47511,90403,50925,57133,True,retained
A1,26,1,1,59314,203.125,47511,90403,53106,59314,True,retained
A1,27,1,1,61410,203.125,47511,90403,55202,61410,False,quality
A1,28,1,-1,63575,203.125,47511,90403,57367,63575,True,retained
A1,29,1,-1,65663,203.125,47511,90403,59455,65663,True,retained
A1,30,1,-1,67860,203.125,47511,90403,61652,67860,True,retained
A1,31,1,-1,69976,203.125,47511,90403,63768,69976,True,retained
A1,32,1,1,72081,203.125,47511,90403,65873,72081,True,retained
A1,33,1,1,74269,203.125,47511,90403,68061,74269,True,retained
A1,34,1,-1,76422,203.125,47511,90403,70214,76422,True,retained
A1,35,1,1,78674,203.125,47511,90403,72466,78674,True,retained
A1,36,1,-1,80791,203.125,47511,90403,74583,80791,False,quality
A1,37,1,-1,82931,203.125,47511,90403,76723,82931,True,retained
A1,38,1,-1,85076,203.125,47511,90403,78868,85076,False,boundary
A1,39,1,-1,87204,203.125,47511,90403,80996,87204,False,boundary
A1,40,1,-1,89353,203.125,47511,90403,83145,89353,False,boundary
A1,41,2,-1,91453,203.125,90403,133255,85245,91453,False,boundary
A1,42,2,1,93554,203.125,90403,133255,87346,93554,False,boundary
A1,43,2,-1,95698,207.03125,90403,133255,89490,95698,False,boundary
A1,44,2,1,97879,203.125,90403,133255,91671,97879,True,retained
A1,45,2,-1,99995,207.03125,90403,133255,93787,99995,True,retained
A1,46,2,-1,102096,203.125,90403,133255,95888,102096,False,quality
A1,47,2,-1,104233,203.125,90403,133255,98025,104233,True,retained
A1,48,2,1,106421,203.125,90403,133255,100213,106421,True,retained
A1,49,2,-1,108593,207.03125,90403,133255,102385,108593,True,retained
A1,50,2,-1,110726,203.125,90403,133255,104518,110726,True,retained
A1,51,2,1,112835,203.125,90403,133255,106627,112835,True,retained
A1,52,2,1,114983,203.125,90403,133255,108775,114983,True,retained
A1,53,2,1,117148,203.125,90403,133255,110940,117148,True,retained
