dataset,block,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP
A1,0,amplitude,14,0.5,0.5208333333333333,0.6,0.375,0.46153846153846156,0.625,4,2,5,3
A1,0,covariance,14,0.21428571428571427,0.20833333333333331,0.2857142857142857,0.25,0.26666666666666666,0.24999999999999997,1,5,6,2
A1,0,mechanism,14,0.42857142857142855,0.4583333333333333,0.5,0.25,0.3333333333333333,0.45833333333333337,4,2,6,2
A1,0,past_only,14,0.42857142857142855,0.4791666666666667,0.5,0.125,0.2,0.5208333333333333,5,1,7,1
A1,0,peak_latency,14,0.42857142857142855,0.4583333333333333,0.5,0.25,0.3333333333333333,0.4166666666666667,4,2,6,2
A1,0,post_given_past,14,0.42857142857142855,0.4375,0.5,0.375,0.42857142857142855,0.41666666666666663,3,3,5,3
A1,0,previous_cue,14,0.5714285714285714,0.5625,0.625,0.625,0.625,0.5625,3,3,3,5
A1,0,spatial,14,0.5,0.5208333333333333,0.6,0.375,0.46153846153846156,0.43750000000000006,4,2,5,3
A1,1,amplitude,12,0.5833333333333334,0.5,0.3333333333333333,0.25,0.2857142857142857,0.375,6,2,3,1
A1,1,covariance,12,0.5,0.5625,0.375,0.75,0.5,0.5,3,5,1,3
A1,1,mechanism,12,0.25,0.1875,0.0,0.0,0.0,0.21875,3,5,4,0
A1,1,past_only,12,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.78125,4,4,0,4
A1,1,peak_latency,12,0.5,0.4375,0.25,0.25,0.25,0.3125,5,3,3,1
A1,1,post_given_past,12,0.3333333333333333,0.375,0.25,0.5,0.3333333333333333,0.40625,2,6,2,2
A1,1,previous_cue,12,0.5,0.5625,0.375,0.75,0.5,0.5625,3,5,1,3
A1,1,spatial,12,0.25,0.1875,0.0,0.0,0.0,0.25,3,5,4,0
A1,2,amplitude,13,0.5384615384615384,0.5714285714285714,0.5,1.0,0.6666666666666666,0.7142857142857143,1,6,0,6
A1,2,covariance,13,0.38461538461538464,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.40476190476190477,3,4,4,2
A1,2,mechanism,13,0.46153846153846156,0.48809523809523814,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.6904761904761906,1,6,1,5
