dataset,held_block,parameter,factor,eigenmax,delta_MSE,zero_MSE,S_delta,delta_change_RMS
A1,0,time_scale,0.8,-5.5555555555555545,2508.864206587347,2559.007773143215,0.019594925455922785,0.1470710357967193
A1,0,time_scale,1.2,-3.7037037037037033,2506.8269060241123,2559.007773143215,0.020391054559013466,0.11044105946351943
A1,0,recurrence,0.8,-4.444444444444444,2507.137998277935,2559.007773143215,0.020269487029173416,0.0
A1,0,recurrence,1.2,-4.444444444444444,2507.137998277935,2559.007773143215,0.020269487029173416,0.0
A1,0,F4_readout,0.8,,2510.7176493218903,2559.007773143215,0.01887064366436464,0.06532876062169066
A1,0,F4_readout,1.2,,2503.5715239014316,2559.007773143215,0.021663181262513875,0.06532876062169064
A1,1,time_scale,0.8,-4.166666666666666,284.9213403260524,268.8390226901354,-0.05982136623987633,1.7596757851695257
A1,1,time_scale,1.2,-2.777777777777778,254.52821340416207,268.8390226901354,0.05323189000901851,1.2534416496429464
A1,1,recurrence,0.8,-3.333333333333333,265.3584323425216,268.8390226901354,0.012946745278216154,0.0
A1,1,recurrence,1.2,-3.333333333333333,265.3584323425216,268.8390226901354,0.012946745278216154,0.0
A1,1,F4_readout,0.8,,279.683744373122,268.8390226901354,-0.040339090562333535,0.6355101565024923
A1,1,F4_readout,1.2,,252.22566147564194,268.8390226901354,0.061796688026358626,0.6355101565024924
A1,2,time_scale,0.8,-3.333333333333333,23941.89734935852,28857.64635675483,0.17034476570351553,3.5479806207494833
A1,2,time_scale,1.2,-2.222222222222222,24990.50599422063,28857.64635675483,0.1340074763799648,2.42395493350489
A1,2,recurrence,0.8,-2.6666666666666665,24416.122660153662,28857.64635675483,0.153911502057115,0.0594722997372571
A1,2,recurrence,1.2,-2.6666666666666665,24397.581313576968,28857.64635675483,0.1545540127576578,0.05262626905938979
A1,2,F4_readout,0.8,,24674.658744972377,28857.64635675483,0.14495248711797049,1.4912580120219256
A1,2,F4_readout,1.2,,24140.954415676955,28857.64635675483,0.16344686890841398,1.4912580120219254
A1,3,time_scale,0.8,-3.333333333333333,3828.577075199204,1532.4332174978288,-1.4983647127217332,5.716142211305444
A1,3,time_scale,1.2,-2.222222222222222,3291.7976419626116,1532.4332174978288,-1.1480855442023694,3.9390217213486234
A1,3,recurrence,0.8,-2.6666666666666665,3568.7588550791384,1532.4332174978288,-1.32881851837318,5.48003001431298e-16
A1,3,recurrence,1.2,-2.6666666666666665,3568.7588550791384,1532.4332174978288,-1.32881851837318,5.48003001431298e-16
A1,3,F4_readout,0.8,,3380.639510515421,1532.4332174978288,-1.2060599260797549,2.3027656163060777
A1,3,F4_readout,1.2,,3771.948111167931,1532.4332174978288,-1.4614110866944028,2.3027656163060777
A1,4,time_scale,0.8,-5.5555555555555545,10768.768531723383,10854.092666280178,0.00786101032856179,0.1389894616454675
A1,4,time_scale,1.2,-3.7037037037037033,10761.589922614736,10854.092666280178,0.008522383814983936,0.10447776289892569
A1,4,recurrence,0.8,-4.444444444444444,10764.122170867107,10854.092666280178,0.008289084880634623,0.0
A1,4,recurrence,1.2,-4.444444444444444,10764.122170867107,10854.092666280178,0.008289084880634623,0.0
A1,4,F4_readout,0.8,,10769.187790620419,10854.092666280178,0.007822383525757814,0.06785591169901606
A1,4,F4_readout,1.2,,10759.070783259764,10854.092666280178,0.008754475011588325,0.06785591169901607
A2,0,time_scale,0.8,-3.333333333333333,1293.5474658444757,2688.4530332073414,0.5188506364564363,8.520636928614714
A2,0,time_scale,1.2,-2.222222222222222,1790.376025244878,2688.4530332073414,0.33404972929396937,5.919249600940144
A2,0,recurrence,0.8,-2.6666666666666665,1544.3549491413632,2688.4530332073414,0.4255600041861479,0.18776036469035745
A2,0,recurrence,1.2,-2.6666666666666665,1530.804071616041,2688.4530332073414,0.43060040376090103,0.16829560438782154
A2,0,F4_readout,0.8,,1545.583023052356,2688.4530332073414,0.42510320843936567,1.1382294369514594
A2,0,F4_readout,1.2,,1532.591731304876,2688.4530332073414,0.429935463861727,1.1382294369514596
A2,1,time_scale,0.8,-3.333333333333333,1279.9720050062313,2545.6487476078423,0.4971922162438841,6.986218571892943
A2,1,time_scale,1.2,-2.222222222222222,1204.5845110313037,2545.6487476078423,0.5268064723527717,4.7535626179667085
A2,1,recurrence,0.8,-2.6666666666666665,1138.0577967326155,2545.6487476078423,0.5529399734342557,0.14694630131051417
A2,1,recurrence,1.2,-2.6666666666666665,1126.8636413442648,2545.6487476078423,0.5573373418453023,0.1286180933326594
A2,1,F4_readout,0.8,,1159.1405190755327,2545.6487476078423,0.5446581072252084,1.3803600126380655
A2,1,F4_readout,1.2,,1110.0204907694304,2545.6487476078423,0.5639537890635848,1.3803600126380657
A2,2,time_scale,0.8,-3.333333333333333,17072.938197320156,6565.988739404194,-1.600208266404882,15.119439143391887
A2,2,time_scale,1.2,-2.222222222222222,13589.783782644512,6565.988739404194,-1.0697238941469256,10.387107006597745
A2,2,recurrence,0.8,-2.6666666666666665,15345.601230363585,6565.988739404194,-1.3371348687015967,0.3156453138236262
A2,2,recurrence,1.2,-2.6666666666666665,15488.580727838,6565.988739404194,-1.3589106443157641,0.2753833587454619
A2,2,F4_readout,0.8,,15092.493013147832,6565.988739404194,-1.298586490496684,2.9437401230264366
A2,2,F4_readout,1.2,,15776.360424682289,6565.988739404194,-1.4027394884192042,2.9437401230264366
A2,3,time_scale,0.8,-3.333333333333333,1420.7909581638603,1417.9864907716194,-0.001977781460184902,8.378776883240736
A2,3,time_scale,1.2,-2.222222222222222,685.9160331242207,1417.9864907716194,0.5162746347809217,5.690642310150726
A2,3,recurrence,0.8,-2.6666666666666665,880.6641586520865,1417.9864907716194,0.3789333224374659,0.17018440121926912
