dataset,held_block,intervention,full_delta_MSE,delta_MSE,zero_MSE,S_delta
A1,0,no_shape,2507.137998277935,2559.007773143215,2559.007773143215,0.0
A1,0,no_recurrence,2507.137998277935,2507.137998277935,2559.007773143215,0.020269487029173416
A1,0,symmetric_readout,2507.137998277935,2507.9028442067206,2559.007773143215,0.01997060324428901
A1,1,no_shape,265.3584323425216,268.8390226901354,268.8390226901354,0.0
A1,1,no_recurrence,265.3584323425216,265.3584323425216,268.8390226901354,0.012946745278216154
A1,1,symmetric_readout,265.3584323425216,208.87580912925316,268.8390226901354,0.22304505112710515
A1,2,no_shape,24404.658864155277,28857.64635675483,28857.64635675483,0.0
A1,2,no_recurrence,24404.658864155277,24497.393201065493,28857.64635675483,0.15109524532199814
A1,2,symmetric_readout,24404.658864155277,24535.697477525715,28857.64635675483,0.14976789256471912
A1,3,no_shape,3568.7588550791384,1532.4332174978288,1532.4332174978288,0.0
A1,3,no_recurrence,3568.7588550791384,3568.7588550791384,1532.4332174978288,-1.32881851837318
A1,3,symmetric_readout,3568.7588550791384,3561.1505212253674,1532.4332174978288,-1.3238536469733062
A1,4,no_shape,10764.122170867107,10854.092666280178,10854.092666280178,0.0
A1,4,no_recurrence,10764.122170867107,10764.122170867107,10854.092666280178,0.008289084880634623
A1,4,symmetric_readout,10764.122170867107,10768.273285048885,10854.092666280178,0.007906637972412311
A2,0,no_shape,1537.3162563449575,2688.4530332073414,2688.4530332073414,0.0
A2,0,no_recurrence,1537.3162563449575,1576.7217828565429,2688.4530332073414,0.41352080048223727
A2,0,symmetric_readout,1537.3162563449575,1624.2714963409446,2688.4530332073414,0.39583415582187853
A2,1,no_shape,1131.9763632424722,2545.6487476078423,2545.6487476078423,0.0
A2,1,no_recurrence,1131.9763632424722,1170.2483288091762,2545.6487476078423,0.5402946577335683
A2,1,symmetric_readout,1131.9763632424722,1351.0560537945396,2545.6487476078423,0.4692684703401704
A2,2,no_shape,15422.681600038073,6565.988739404194,6565.988739404194,0.0
A2,2,no_recurrence,15422.681600038073,14955.13556060308,6565.988739404194,-1.2776669522525141
A2,2,symmetric_readout,15422.681600038073,14228.097123680544,6565.988739404194,-1.166939007722334
A2,3,no_shape,879.0317069056609,1417.9864907716194,1417.9864907716194,0.0
A2,3,no_recurrence,879.0317069056609,886.5585357488156,1417.9864907716194,0.3747764583664115
A2,3,symmetric_readout,879.0317069056609,967.8609779507157,1417.9864907716194,0.3174399162124323
A2,4,no_shape,19413.703283801577,22184.134202488425,22184.134202488425,0.0
A2,4,no_recurrence,19413.703283801577,19505.086368612065,22184.134202488425,0.1207641375328431
A2,4,symmetric_readout,19413.703283801577,19722.090343412576,22184.134202488425,0.11098219279613264
B1,0,no_shape,2765.066277326146,2770.930344855878,2770.930344855878,0.0
B1,0,no_recurrence,2765.066277326146,2765.2057389671263,2770.930344855878,0.0020659508454909936
B1,0,symmetric_readout,2765.066277326146,2765.575913769917,2770.930344855878,0.0019323586014716732
B1,1,no_shape,10427.76719221649,9630.66234573259,9630.66234573259,0.0
B1,1,no_recurrence,10427.76719221649,10412.767637498484,9630.66234573259,-0.08120991720911608
B1,1,symmetric_readout,10427.76719221649,10521.420060280632,9630.66234573259,-0.09249184350677009
B1,2,no_shape,31589.06975422574,31569.005626316484,31569.005626316484,0.0
B1,2,no_recurrence,31589.06975422574,31589.05846012858,31569.005626316484,-0.0006352063808869879
B1,2,symmetric_readout,31589.06975422574,31602.722311281348,31569.005626316484,-0.0010680312634476774
B1,3,no_shape,3239.9309803354695,3217.1279041586836,3217.1279041586836,0.0
B1,3,no_recurrence,3239.9309803354695,3239.869660381182,3217.1279041586836,-0.007068962409949808
B1,3,symmetric_readout,3239.9309803354695,3236.6477672102283,3217.1279041586836,-0.006067481192249646
B1,4,no_shape,383.9281328574425,380.9189232899665,380.9189232899665,0.0
B1,4,no_recurrence,383.9281328574425,383.9887311271072,380.9189232899665,-0.008058953361064436
B1,4,symmetric_readout,383.9281328574425,389.05841008275684,380.9189232899665,-0.021368029507408792
B2,0,no_shape,14199.341043575403,1849.7114604083993,1849.7114604083993,0.0
B2,0,no_recurrence,14199.341043575403,13768.39937367743,1849.7114604083993,-6.443538988852615
B2,0,symmetric_readout,14199.341043575403,14203.70451354722,1849.7114604083993,-6.678875769311162
B2,1,no_shape,8841.931007964651,14810.067520869352,14810.067520869352,0.0
B2,1,no_recurrence,8841.931007964651,8992.347981761366,14810.067520869352,0.39282194567378215
B2,1,symmetric_readout,8841.931007964651,8686.511778960286,14810.067520869352,0.41347250667697244
B2,2,no_shape,3038.1478143022196,8589.549533544889,8589.549533544889,0.0
B2,2,no_recurrence,3038.1478143022196,3098.089518667622,8589.549533544889,0.6393187434837404
B2,2,symmetric_readout,3038.1478143022196,2838.4870082448165,8589.549533544889,0.6695418080820614
B2,3,no_shape,13285.799583555292,25123.256124781285,25123.256124781285,0.0
B2,3,no_recurrence,13285.799583555292,13615.310319188538,25123.256124781285,0.4580594867335466
B2,3,symmetric_readout,13285.799583555292,12727.31302729951,25123.256124781285,0.4934051157984479
B2,4,no_shape,1683.3712828925818,4815.052683107518,4815.052683107518,0.0
B2,4,no_recurrence,1683.3712828925818,1648.8425773189194,4815.052683107518,0.6575649975537139
B2,4,symmetric_readout,1683.3712828925818,1449.487699287208,4815.052683107518,0.6989674268004594
