dataset,held_block,factor,original_delta_MSE,delta_MSE,zero_MSE,S_delta,RMSE,R2,Corr
A1,0,0.5,2507.137998277935,2532.9167620544326,2559.007773143215,0.010195752964335503,60.522523975594474,-0.9548088940877577,0.25608507180821405
A1,1,0.25,265.3584323425216,254.93704021910276,268.8390226901354,0.05171117768515354,19.23300616813486,-0.2615478338889543,0.17807643584660043
A1,2,0.0,24404.658864155277,28857.64635675483,28857.64635675483,0.0,183.5365567175433,-1.136044586453664,-0.6572095174325542
A1,3,1.0,3568.7588550791384,3568.7588550791384,1532.4332174978288,-1.32881851837318,51.424957274802686,-1.1163877564279998,-0.43452682596182096
A1,4,1.0,10764.122170867107,10764.122170867107,10854.092666280178,0.008289084880634623,83.30747575315135,-0.3567081418557996,0.26975641939056483
A2,0,0.0,1537.3162563449575,2688.4530332073414,2688.4530332073414,0.0,39.38886322052807,0.21946066053258995,0.5726791104501266
A2,1,0.0,1131.9763632424722,2545.6487476078423,2545.6487476078423,0.0,51.2519117464696,0.3096193527236788,0.5768198637437834
A2,2,1.0,15422.681600038073,15422.681600038073,6565.988739404194,-1.3488742080050455,81.60456998956762,-0.5857930101742697,0.08406137747584112
A2,3,0.0,879.0317069056609,1417.9864907716194,1417.9864907716194,0.0,47.080441213352564,0.08857621612140976,0.42388297661319596
A2,4,0.0,19413.703283801577,22184.134202488425,22184.134202488425,0.0,106.60084874054499,0.05233101295115328,0.5095429704550024
B1,0,0.0,2765.066277326146,2770.930344855878,2770.930344855878,0.0,38.36880469096309,-0.10819372294703844,-0.4807388973955646
B1,1,0.0,10427.76719221649,9630.66234573259,9630.66234573259,0.0,68.04202246994868,-0.0646384570954408,0.010265583888504405
B1,2,0.0,31589.06975422574,31569.005626316484,31569.005626316484,0.0,125.64366738744522,-0.19349132880536413,0.1394947019248394
B1,3,0.0,3239.9309803354695,3217.1279041586836,3217.1279041586836,0.0,52.88026197993581,-0.24695271712436972,0.2762546644241583
B1,4,0.0,383.9281328574425,380.9189232899665,380.9189232899665,0.0,32.88482662701403,-0.9769317275778981,-0.31050042684425083
B2,0,1.0,14199.341043575403,14199.341043575403,1849.7114604083993,-6.676516768966939,177.00160304661642,-3.041841545746256,0.10036674185178353
B2,1,0.25,8841.931007964651,12956.81535641131,14810.067520869352,0.1251346195313804,105.60619939972827,-0.44268109912943676,0.5188826908599382
B2,2,0.5,3038.1478143022196,4966.162408711924,8589.549533544889,0.4218366877893305,67.77614849193955,0.20550358594350293,0.5491000401520617
B2,3,0.5,13285.799583555292,18085.5842440502,25123.256124781285,0.2801257864735618,115.82086264015246,-0.7546019651117142,0.3172577393626565
B2,4,0.5,1683.3712828925818,2345.472377020522,4815.052683107518,0.5128874944091346,57.516786077874684,-0.17538870221281622,0.5179534463012854
