dataset,held_block,stage,population,channel,normalized_source_coefficient,role
A1,-1,1,left_preference,Fz,0.0756816405949546,all_data_descriptive
A1,-1,1,left_preference,F3,-0.41750522253788624,all_data_descriptive
A1,-1,1,left_preference,F4,-0.27186151134934383,all_data_descriptive
A1,-1,1,right_preference,Fz,-0.056892662190009165,all_data_descriptive
A1,-1,1,right_preference,F3,0.37504020016492506,all_data_descriptive
A1,-1,1,right_preference,F4,0.25165517088137995,all_data_descriptive
A1,-1,1,common,Fz,0.013061391909750038,all_data_descriptive
A1,-1,1,common,F3,-0.029597377043480883,all_data_descriptive
A1,-1,1,common,F4,-0.014037446977765683,all_data_descriptive
A1,-1,2,left_preference,Fz,0.11409774212944722,all_data_descriptive
A1,-1,2,left_preference,F3,-0.640712249907564,all_data_descriptive
A1,-1,2,left_preference,F4,-0.40732658352583084,all_data_descriptive
A1,-1,2,right_preference,Fz,-0.06264548437776024,all_data_descriptive
A1,-1,2,right_preference,F3,0.6005994635703674,all_data_descriptive
A1,-1,2,right_preference,F4,0.38763198254702463,all_data_descriptive
A1,-1,2,common,Fz,0.041100168233973305,all_data_descriptive
A1,-1,2,common,F3,-0.03188289001203697,all_data_descriptive
A1,-1,2,common,F4,-0.015576946916256176,all_data_descriptive
A1,-1,3,left_preference,Fz,0.14640140968346074,all_data_descriptive
A1,-1,3,left_preference,F3,-1.1424026146357271,all_data_descriptive
A1,-1,3,left_preference,F4,-0.7235901868141404,all_data_descriptive
A1,-1,3,right_preference,Fz,-0.11820862395464998,all_data_descriptive
A1,-1,3,right_preference,F3,0.9813081117163238,all_data_descriptive
A1,-1,3,right_preference,F4,0.5725949291268987,all_data_descriptive
A1,-1,3,common,Fz,0.02480447295686894,all_data_descriptive
A1,-1,3,common,F3,-0.14152406347660745,all_data_descriptive
A1,-1,3,common,F4,-0.13266430988793562,all_data_descriptive
A1,0,1,left_preference,Fz,0.02551378249415924,outer_training_only
A1,0,1,left_preference,F3,-0.1084890926293256,outer_training_only
A1,0,1,left_preference,F4,-0.05368721884166169,outer_training_only
A1,0,1,right_preference,Fz,-0.018867547070212435,outer_training_only
A1,0,1,right_preference,F3,0.14149727142340118,outer_training_only
A1,0,1,right_preference,F4,0.10744769085639246,outer_training_only
A1,0,1,common,Fz,0.004604654647850404,outer_training_only
A1,0,1,common,F3,0.022899815995062293,outer_training_only
A1,0,1,common,F4,0.03731698554798003,outer_training_only
A1,0,2,left_preference,Fz,0.03834395627034807,outer_training_only
A1,0,2,left_preference,F3,-0.15604527927373657,outer_training_only
A1,0,2,left_preference,F4,-0.07839926649879164,outer_training_only
A1,0,2,right_preference,Fz,-0.023266253011765835,outer_training_only
A1,0,2,right_preference,F3,0.19958321951185798,outer_training_only
A1,0,2,right_preference,F4,0.1417738228245748,outer_training_only
A1,0,2,common,Fz,0.01200682944128618,outer_training_only
A1,0,2,common,F3,0.03467044901931407,outer_training_only
A1,0,2,common,F4,0.05046740071763424,outer_training_only
A1,0,3,left_preference,Fz,0.05433588140382769,outer_training_only
A1,0,3,left_preference,F3,-0.2757998917615086,outer_training_only
A1,0,3,left_preference,F4,-0.14213052236256038,outer_training_only
A1,0,3,right_preference,Fz,-0.038331865592615505,outer_training_only
A1,0,3,right_preference,F3,0.32287153532028884,outer_training_only
A1,0,3,right_preference,F4,0.2103787448922681,outer_training_only
A1,0,3,common,Fz,0.014168300577967748,outer_training_only
A1,0,3,common,F3,0.041622442468060024,outer_training_only
A1,0,3,common,F4,0.06033215157098807,outer_training_only
A1,1,1,left_preference,Fz,0.1499405033182093,outer_training_only
A1,1,1,left_preference,F3,-1.3475781173090693,outer_training_only
A1,1,1,left_preference,F4,-0.7201930670293377,outer_training_only
A1,1,1,right_preference,Fz,-0.1820145731761507,outer_training_only
A1,1,1,right_preference,F3,1.161420265350162,outer_training_only
A1,1,1,right_preference,F4,0.6787735144704601,outer_training_only
A1,1,1,common,Fz,-0.022360522381285785,outer_training_only
A1,1,1,common,F3,-0.12960755469932328,outer_training_only
A1,1,1,common,F4,-0.02863240338605755,outer_training_only
A1,1,2,left_preference,Fz,0.26320613575276475,outer_training_only
A1,1,2,left_preference,F3,-2.0341708051914975,outer_training_only
A1,1,2,left_preference,F4,-1.0627609162064473,outer_training_only
A1,1,2,right_preference,Fz,-0.19847780759822153,outer_training_only
A1,1,2,right_preference,F3,1.82900477225869,outer_training_only
A1,1,2,right_preference,F4,1.041905226969623,outer_training_only
A1,1,2,common,Fz,0.0516729347522494,outer_training_only
A1,1,2,common,F3,-0.16331623439097806,outer_training_only
A1,1,2,common,F4,-0.016306775177136565,outer_training_only
A1,1,3,left_preference,Fz,0.4832704192156797,outer_training_only
