dataset,model,S_delta,S_low,S_high,delta_RMSE,positive_folds,RMSE,R2,Corr
A1,full,0.058131730101364076,-0.4742943241914963,0.1474184224418439,91.1153514186517,4,96.05619276931414,-0.18251888807352912,-0.534217187233688
A1,no_shape,0.0,0.0,0.0,93.8850563576187,0,100.43684188631518,-0.29283602352921334,-0.7287844821077324
A1,no_recurrence,0.06229969262786539,-0.4742943241914963,0.15345968366191998,90.91352572297606,4,95.72847058617411,-0.17446367446060007,-0.5191477601931851
A1,symmetric_readout,0.011956356962338766,-0.9278554760202851,0.14394064389315298,93.32210696798096,4,96.62987924012829,-0.1966860311385683,-0.49891342409314504
A1,gamma,0.026331164553383357,-0.7214848386458756,0.13229548993617424,92.64075933510021,3,94.28349751993824,-0.13927539306010606,-0.46139608892646966
A1,step,0.023978816689153137,-0.7282501141500615,0.12979201012789565,92.75260014767488,3,94.21451287180254,-0.1376088498750494,-0.46466234322412425
A1,ramp,0.01317128823756153,-0.7208542188571643,0.11398680013866436,93.2647133383542,3,93.69184878152008,-0.1250218712582143,-0.42768385104302553
A1,zero,0.0,0.0,0.0,93.8850563576187,0,100.43642513732225,-0.29282529465755824,-0.7291531692168622
A2,full,-0.08424609352417334,-1.045184126444096,0.47690412834817053,87.6181593168137,4,67.5952997400776,0.12833143158307514,0.41661215982062405
A2,no_shape,0.0,0.0,0.0,84.14536376233622,0,65.72006165330795,0.17602447085473827,0.4538791349883836
A2,no_recurrence,-0.0863049403771241,-1.0607661880412613,0.4802106437516446,87.70130779124918,4,68.29003886463495,0.11032147161089867,0.40105569954060794
A2,symmetric_readout,-0.07036749107782847,-0.9020186572053004,0.4179366098202697,87.05558683413642,4,67.22264793223415,0.1379159287574735,0.4243566533080152
A2,gamma,-0.11109891943060268,-1.2682863018513886,0.5251161242792172,88.69651472831495,4,59.39911497651703,0.32690194123228644,0.5840356663771398
A2,step,-0.12857773570930697,-1.2419558687357517,0.5117782645527487,89.39143960179995,4,68.49210984038277,0.10504854471923952,0.40936996093627726
A2,ramp,-0.13948704176864957,-1.2885625578229392,0.510231134152023,89.82244811595439,4,60.75940308939083,0.29571994921670175,0.611038082169549
A2,zero,0.0,0.0,0.0,84.14536376233622,0,65.71164855090448,0.17623541852036073,0.4539682017259619
B1,full,-0.017598087775410498,-0.06994636956002909,-0.00037901735041434017,98.39284764347589,1,72.09107838591724,-0.10266198536771975,-0.15447349298499263
B1,no_shape,0.0,0.0,0.0,97.53834645343707,0,74.91721021559252,-0.19081021542856114,-0.20491128475788392
B1,no_recurrence,-0.019802414590520012,-0.0784306370655179,-0.0006391055036154558,98.49935956848798,1,72.12047868099,-0.10356154739288592,-0.1512354481651551
B1,symmetric_readout,-0.02213530607597125,-0.08784055625630582,-0.0010109618321039195,98.61195836635953,1,72.20838250644637,-0.10625333208240262,-0.250562654865993
B1,gamma,-0.033037449307746325,-0.1261300283757975,-0.0013834323915715707,99.13646336938629,1,72.14927045967728,-0.1044428460945821,-0.1582292361476419
B1,step,-0.032762109773114334,-0.12530425486014718,-0.0012372824103992098,99.12325087317429,2,72.08052407964449,-0.10233914429872226,-0.1477257014416676
B1,ramp,-0.07300550877717904,-0.29287693648673674,-0.0011649618528972617,101.03605127374904,2,72.45729343408449,-0.1138932522807683,-0.11529817581794802
B1,zero,0.0,0.0,0.0,97.53834645343707,0,74.91875012901052,-0.190859169826888,-0.2052768124201772
B2,full,0.2561995272191627,-1.110224366000112,0.5606610028525407,90.60749497948848,4,110.21843050581856,-0.11759511011154022,0.11932545995236754
B2,no_shape,0.0,0.0,0.0,105.05963765662952,0,116.54283761595731,-0.24953154459571691,-0.12504760136158302
B2,no_recurrence,0.26087863085604435,-1.1134701508628702,0.5664309593092491,90.32204831355692,4,110.3959159541128,-0.1211973493357843,0.11716660927872453
B2,symmetric_readout,0.2753304551750235,-1.1056830427017843,0.586480374164096,89.43466891381125,4,111.05211855693705,-0.13456594618644702,0.08684422162670168
B2,gamma,0.19867655150853647,-1.4016675548956226,0.5589697314323361,94.04589076991226,4,104.8675029225708,-0.011714330579714716,0.23880038640386436
B2,step,0.2481641756095787,-1.1925016432252287,0.5699447436454097,91.09560121397777,4,106.58658811793268,-0.04515612249077994,0.17865144833250285
B2,ramp,0.2309583129608983,-1.3246129032894105,0.5543944254716144,92.13207227709589,4,98.20537291807793,0.11274890030182083,0.3922219227168969
B2,zero,0.0,0.0,0.0,105.05963765662952,0,116.54311916416125,-0.24953758192575437,-0.12629210013378642
