dataset,model,held_block,n_train,n_test,scale,recurrence,ridge,delta_MSE,zero_MSE,S_delta,RMSE,R2,Corr
A1,full,0,53,14,0.75,0.0,100.0,2507.137998277935,2559.007773143215,0.020269487029173416,60.469184246620735,-0.951364786916508,0.3335480182487118
A1,full,1,55,12,1.0,0.0,10.0,265.3584323425216,268.8390226901354,0.012946745278216154,19.29934347158041,-0.2702653485551507,0.15157704722317888
A1,full,2,54,13,1.25,0.2,1.0,24404.658864155277,28857.64635675483,0.1543087553832062,180.33389087388764,-1.0621481378339555,-0.3697407399311615
A1,full,3,54,13,1.25,0.0,3.0,3568.7588550791384,1532.4332174978288,-1.32881851837318,51.424957274802686,-1.1163877564279998,-0.43452682596182096
A1,full,4,52,15,0.75,0.0,100.0,10764.122170867107,10854.092666280178,0.008289084880634623,83.30747575315135,-0.3567081418557996,0.26975641939056483
A1,no_shape,0,53,14,0.75,0.0,100.0,2559.007773143215,2559.007773143215,0.0,60.65549330364538,-0.9634078467949039,-0.08740546780805596
A1,no_shape,1,55,12,0.75,0.0,100.0,268.8390226901354,268.8390226901354,0.0,19.677904432389514,-0.32058717284714455,-0.07255333391885004
A1,no_shape,2,54,13,1.25,0.2,0.1,28857.64635675483,28857.64635675483,0.0,193.2788227410068,-1.368828925100976,-0.6860727804247192
A1,no_shape,3,54,13,0.75,0.0,100.0,1532.4332174978288,1532.4332174978288,0.0,45.14689772262705,-0.6311848809877909,-0.08362043565145245
A1,no_shape,4,52,15,0.75,0.0,100.0,10854.092666280178,10854.092666280178,0.0,83.52569398453197,-0.3638250590582748,-0.22813303584096967
A1,no_recurrence,0,53,14,0.75,0.0,100.0,2507.137998277935,2559.007773143215,0.020269487029173416,60.469184246620735,-0.951364786916508,0.3335480182487118
A1,no_recurrence,1,55,12,1.0,0.0,10.0,265.3584323425216,268.8390226901354,0.012946745278216154,19.29934347158041,-0.2702653485551507,0.15157704722317888
A1,no_recurrence,2,54,13,1.25,0.0,1.0,24220.968340344447,28857.64635675483,0.16067415752099468,179.46044621274353,-1.042220543564452,-0.3431845780849776
A1,no_recurrence,3,54,13,1.25,0.0,3.0,3568.7588550791384,1532.4332174978288,-1.32881851837318,51.424957274802686,-1.1163877564279998,-0.4345268259618211
A1,no_recurrence,4,52,15,0.75,0.0,100.0,10764.122170867107,10854.092666280178,0.008289084880634623,83.30747575315135,-0.3567081418557996,0.26975641939056483
A1,symmetric_readout,0,53,14,0.75,0.0,100.0,2507.9028442067206,2559.007773143215,0.01997060324428901,60.46865840094127,-0.9513308485628345,0.34517185523192906
A1,symmetric_readout,1,55,12,0.75,0.0,30.0,239.68269322876532,268.8390226901354,0.10845274309368302,19.455210824117653,-0.290866300348265,0.18651428788720306
A1,symmetric_readout,2,54,13,1.25,0.2,1.0,24535.697477525722,28857.64635675483,0.1497678925647189,180.40206802477167,-1.0637076667732268,-0.37584933765884937
A1,symmetric_readout,3,54,13,1.25,0.0,1.0,5493.521944706317,1532.4332174978288,-2.5848361168235385,56.268282107205664,-1.5338136632003465,-0.45466847293499607
A1,symmetric_readout,4,52,15,0.75,0.0,100.0,10768.273285048885,10854.092666280178,0.007906637972412311,83.3107328852523,-0.35681423231134346,0.26532772184477477
A1,gamma,0,53,14,,,100.0,2429.338521427705,2559.007773143215,0.05067169122203885,60.326598800256036,-0.9421730578012353,0.48864682985901786
A1,gamma,1,55,12,,,10.0,305.7189505937984,268.8390226901354,-0.1371821974898746,18.9419533330047,-0.22365476324241218,0.23026302901404866
A1,gamma,2,54,13,,,3.0,24900.659269994463,28857.64635675483,0.13712092240101004,175.0140701933975,-0.9422766280188575,-0.3425040322995396
A1,gamma,3,54,13,,,3.0,4653.854484664737,1532.4332174978288,-2.036905250764268,53.95757240412459,-1.3299798525306517,-0.4993531618889122
A1,gamma,4,52,15,,,100.0,10621.980224239085,10854.092666280178,0.021384785368765424,83.11106435775204,-0.35031834767506576,0.5193484294956155
A1,step,0,53,14,,,100.0,2437.0202078811167,2559.007773143215,0.04766986897904646,60.32413066246293,-0.9420141410792271,0.47512754658538975
A1,step,1,55,12,,,10.0,292.76306770737364,268.8390226901354,-0.08899022462528872,18.8838504830951,-0.21615936036667094,0.23493829941301045
A1,step,2,54,13,,,3.0,24972.053630186958,28857.64635675483,0.13464690358083742,174.8149142038393,-0.9378587439461112,-0.3523484884060604
A1,step,3,54,13,,,3.0,4679.637052256359,1532.4332174978288,-2.053729845335325,54.03476652719292,-1.3366513687569128,-0.5387899293901842
A1,step,4,52,15,,,100.0,10633.750212740499,10854.092666280178,0.020300402835531806,83.10391932611545,-0.3500861847815322,0.5426056055448688
A1,ramp,0,53,14,,,100.0,2451.423730102546,2559.007773143215,0.04204131154651569,60.30704867918241,-0.9409144565628964,0.45217427702888324
A1,ramp,1,55,12,,,10.0,294.70447868863585,268.8390226901354,-0.0962116873498422,18.638310897815728,-0.1847384513297372,0.28178608642393915
A1,ramp,2,54,13,,,3.0,25445.516212648567,28857.64635675483,0.11824007065314845,173.59189642003534,-0.9108387926279842,-0.32735604627660003
A1,ramp,3,54,13,,,3.0,4642.2661591465585,1532.4332174978288,-2.029343208003866,53.56076285522676,-1.2958360404637785,-0.5584022263376808
A1,ramp,4,52,15,,,100.0,10657.623189840606,10854.092666280178,0.018100958088365426,83.08780937442685,-0.3495627987546548,0.5648544621597232
A1,zero,0,53,14,0.75,0.0,100.0,2559.007773143215,2559.007773143215,0.0,60.65571987420889,-0.9634225149223521,-0.0860432610249374
A1,zero,1,55,12,0.75,0.0,100.0,268.8390226901354,268.8390226901354,0.0,19.67792659259027,-0.3205901471977364,-0.07302541925746518
A1,zero,2,54,13,1.25,0.2,0.1,28857.64635675483,28857.64635675483,0.0,193.27752347395696,-1.3687970775247047,-0.6865451811691389
A1,zero,3,54,13,0.75,0.0,100.0,1532.4332174978288,1532.4332174978288,0.0,45.14700072688678,-0.6311923242094206,-0.08255311830389592
A1,zero,4,52,15,0.75,0.0,100.0,10854.092666280178,10854.092666280178,0.0,83.52596942582171,-0.36383405399946556,-0.2273998892297942
A2,full,0,54,16,1.25,0.2,0.1,1537.3162563449575,2688.4530332073414,0.42817812423863344,35.31183505764167,0.3726809488902493,0.6783472159713577
A2,full,1,58,12,1.25,0.2,0.1,1131.9763632424722,2545.6487476078423,0.5553289257576499,47.416499863432726,0.4090816797536666,0.6637372620130172
A2,full,2,57,13,1.25,0.2,0.1,15422.681600038073,6565.988739404194,-1.3488742080050455,81.60456998956761,-0.5857930101742694,0.08406137747584116
A2,full,3,56,14,1.25,0.2,0.1,879.0317069056609,1417.9864907716194,0.3800845687695359,45.43048673996984,0.1513393047423136,0.49191531036592295
A2,full,4,55,15,1.25,0.2,0.1,19413.703283801577,22184.134202488425,0.12488343666691692,103.08800905878844,0.11375938803328045,0.611810789214899
A2,no_shape,0,54,16,1.25,0.2,0.1,2688.4530332073414,2688.4530332073414,0.0,40.10437475446819,0.19084559606553475,0.5821064324574249
A2,no_shape,1,58,12,1.25,0.2,0.1,2545.6487476078423,2545.6487476078423,0.0,50.21255502089666,0.337336407332247,0.5935526701626834
A2,no_shape,2,57,13,1.25,0.2,0.1,6565.988739404194,6565.988739404194,0.0,64.55981957819617,0.007473401838848259,0.5256988501511646
A2,no_shape,3,56,14,1.25,0.2,0.1,1417.9864907716194,1417.9864907716194,0.0,47.27970505066845,0.08084484707958772,0.4410491268929915
A2,no_shape,4,55,15,1.25,0.2,0.1,22184.134202488425,22184.134202488425,0.0,105.17903854263045,0.0774418784044748,0.5209356344142246
A2,no_recurrence,0,54,16,1.25,0.0,0.1,1533.7412134577896,2688.4530332073414,0.42950790119326476,35.54298164673748,0.36444137466315696,0.665120021536462
A2,no_recurrence,1,58,12,1.25,0.0,0.1,1119.2190845018324,2545.6487476078423,0.5603403314956286,48.40095790742808,0.3842897504167103,0.6461511582030377
A2,no_recurrence,2,57,13,1.25,0.0,0.1,15549.726262267133,6565.988739404194,-1.368223108417657,82.42452690419765,-0.6178209839574083,0.061428534145553784
A2,no_recurrence,3,56,14,1.25,0.0,0.1,872.3944796643897,1417.9864907716194,0.38476530958368815,45.86848099605889,0.13489658738654997,0.474221861029057
A2,no_recurrence,4,55,15,1.25,0.0,0.1,19382.51590158597,22184.134202488425,0.12628927842440618,103.99024274278426,0.09817861969642505,0.6001628823257643
A2,symmetric_readout,0,54,16,1.25,0.2,0.1,1624.271496340946,2688.4530332073414,0.395834155821878,35.663090624113664,0.36013868124199944,0.6672237976687801
A2,symmetric_readout,1,58,12,1.25,0.2,0.1,1351.056053794539,2545.6487476078423,0.4692684703401707,46.995113808457546,0.41953788379372736,0.6769759412432803
A2,symmetric_readout,2,57,13,1.25,0.2,0.1,14228.097123680547,6565.988739404194,-1.1669390077223345,79.26646555624208,-0.4962236852942641,0.13756856620665348
A2,symmetric_readout,3,56,14,1.25,0.2,0.1,967.8609779507157,1417.9864907716194,0.3174399162124323,46.163478320737184,0.12373319848716924,0.469034830785711
A2,symmetric_readout,4,55,15,1.25,0.2,0.1,19722.09034341258,22184.134202488425,0.11098219279613242,103.43976956627375,0.10770094684462639,0.6030848914111571
A2,gamma,0,54,16,,,0.1,1608.3023647327489,2688.4530332073414,0.4017740518925733,30.023453083172246,0.5465084670149041,0.8481147509279936
A2,gamma,1,58,12,,,0.1,884.3506324046598,2545.6487476078423,0.6526030414700033,31.76193360346159,0.7348556747524219,0.8894973531356167
A2,gamma,2,57,13,,,0.1,17238.626778683712,6565.988739404194,-1.6254426352013462,77.95683732928482,-0.4471913610226548,0.21693187896648955
A2,gamma,3,56,14,,,0.1,671.0247679417245,1417.9864907716194,0.5267763322790361,34.86232562026089,0.5002509019045889,0.756981787573992
A2,gamma,4,55,15,,,0.1,18933.05408098811,22184.134202488425,0.14654978606898428,91.86074191220986,0.2962875400871883,0.7760435187488945
A2,step,0,54,16,,,1.0,1462.2844665496104,2688.4530332073414,0.4560870327702561,31.023589928912855,0.515791950477039,0.7481400072824966
A2,step,1,58,12,,,1.0,1143.65125999856,2545.6487476078423,0.5507427090743551,50.585139191001524,0.3274658092988396,0.7023363087870175
A2,step,2,57,13,,,0.1,17087.67982212272,6565.988739404194,-1.6024534156714498,80.33165497783119,-0.5367066356074361,0.044819177797516235
A2,step,3,56,14,,,1.0,643.1032225555796,1417.9864907716194,0.5464673135174758,40.68908234956204,0.3192383222207603,0.5673905734083073
A2,step,4,55,15,,,1.0,19617.42859918477,22184.134202488425,0.11570005752199908,108.74626383907722,0.013802191111670248,0.6671456258465849
A2,ramp,0,54,16,,,1.0,1748.985925481776,2688.4530332073414,0.34944523713876274,22.65720777302382,0.7417379006494937,0.8634147933073384
A2,ramp,1,58,12,,,1.0,1090.6154407258778,2545.6487476078423,0.5715766200066942,35.99051177483081,0.659556917635237,0.921277238781323
A2,ramp,2,57,13,,,0.1,17440.448869881173,6565.988739404194,-1.6561801370776856,77.41949994616715,-0.4273098461039613,0.2727450231004763
A2,ramp,3,56,14,,,1.0,407.53915767964867,1417.9864907716194,0.7125930604191582,26.73719925635253,0.7060515771944013,0.8454199515768093
A2,ramp,4,55,15,,,1.0,19652.771533948107,22184.134202488425,0.11410689483912206,99.70557918703797,0.17096232985517257,0.7833913319741204
A2,zero,0,54,16,1.25,0.2,0.1,2688.4530332073414,2688.4530332073414,0.0,40.06348508030304,0.19249475245623526,0.5823433645526882
A2,zero,1,58,12,1.25,0.2,0.1,2545.6487476078423,2545.6487476078423,0.0,50.205851340941194,0.33751333472045064,0.593854966460217
A2,zero,2,57,13,1.25,0.2,0.1,6565.988739404194,6565.988739404194,0.0,64.55528178318805,0.007612922797458177,0.5257868716049532
A2,zero,3,56,14,1.25,0.2,0.1,1417.9864907716194,1417.9864907716194,0.0,47.23538776360428,0.08256716627125382,0.44129686936163626
A2,zero,4,55,15,1.25,0.2,0.1,22184.134202488425,22184.134202488425,0.0,105.19423542882339,0.07717526589648205,0.5211212785824748
B1,full,0,54,15,1.25,0.2,100.0,2765.066277326146,2770.930344855878,0.002116281104149187,38.34854254863825,-0.1070235822473844,-0.4310441813458036
B1,full,1,56,13,1.25,0.2,10.0,10427.76719221649,9630.66234573259,-0.08276739624633422,69.5661001740915,-0.11286641814030185,-0.3095416228249467
B1,full,2,56,13,0.75,0.2,100.0,31589.06975422574,31569.005626316484,-0.0006355641399276024,125.66373253327663,-0.1938725575653799,0.07408887745548186
B1,full,3,55,14,0.75,0.2,100.0,3239.9309803354695,3217.1279041586836,-0.007088022875095801,52.934452515437876,-0.24950972636144741,0.07651585568352813
B1,full,4,55,14,0.75,0.2,100.0,383.9281328574425,380.9189232899665,-0.00789986893138761,32.89581991502619,-0.9782537118924011,-0.30583424107698787
B1,no_shape,0,54,15,1.25,0.2,0.1,2770.930344855878,2770.930344855878,0.0,64.06384255726626,-2.0894780545703426,-0.4952894588905823
B1,no_shape,1,56,13,1.25,0.2,3.0,9630.66234573259,9630.66234573259,0.0,67.21186191635886,-0.03881825949177542,0.03487064821133496
B1,no_shape,2,56,13,1.25,0.2,100.0,31569.005626316484,31569.005626316484,0.0,125.37039424109969,-0.18830532217997487,0.3455433498765025
B1,no_shape,3,55,14,1.25,0.2,100.0,3217.1279041586836,3217.1279041586836,0.0,52.439572056249055,-0.22625578018835824,0.5512278850963206
B1,no_shape,4,55,14,1.25,0.2,3.0,380.9189232899665,380.9189232899665,0.0,31.20396060373134,-0.7799999911639195,-0.05052569084875513
