dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,full,0,Left,Fz,4.036268770458377,-0.03653872180729656,0.45251895304149625
A1,strict_oof,full,0,Left,F3,94.6383644373945,-8.170717767196479,-0.4995123941537983
A1,strict_oof,full,0,Left,F4,101.56140185415958,-9.032731616669285,0.29255310975251053
A1,strict_oof,full,0,Right,Fz,3.5863886683071478,-0.051059602979061314,-0.44059861649269316
A1,strict_oof,full,0,Right,F3,28.487415830651788,-5.361620061328032,0.6983833047804268
A1,strict_oof,full,0,Right,F4,42.74703008125114,-8.423980819073472,0.7198957115046161
A1,strict_oof,full,1,Left,Fz,9.799632959713007,0.06819449775526154,0.6988808849970048
A1,strict_oof,full,1,Left,F3,14.195982074499346,-0.7017820560401986,-0.7091675536583341
A1,strict_oof,full,1,Left,F4,33.362538249423345,-2.6816170861956534,-0.5100292266838505
A1,strict_oof,full,1,Right,Fz,11.69077289922991,-0.08264750806755683,-0.7980008220154235
A1,strict_oof,full,1,Right,F3,21.086471257751253,-2.077368731844813,0.7616966992230989
A1,strict_oof,full,1,Right,F4,15.583864664133436,-0.1674188827222316,0.6854869816496679
A1,strict_oof,full,2,Left,Fz,8.978111258924422,-1.6354657702586541,-0.5688089208111855
A1,strict_oof,full,2,Left,F3,72.51627720203453,-61.871489600198366,-0.4608992278841217
A1,strict_oof,full,2,Left,F4,134.90975885197014,-27.61479521839136,-0.4296749294940105
A1,strict_oof,full,2,Right,Fz,38.30415252049098,-8.058664095278203,0.17670910096208084
A1,strict_oof,full,2,Right,F3,307.7659430738536,-17.884114628844635,-0.6641018512366506
A1,strict_oof,full,2,Right,F4,274.58137117314254,-18.043246002224166,-0.7203987609108413
A1,strict_oof,full,3,Left,Fz,7.558424618128525,-0.08430168384397718,0.00530086414490704
A1,strict_oof,full,3,Left,F3,8.264019224871037,-0.42327195061015854,0.41251097323350244
A1,strict_oof,full,3,Left,F4,23.3795530558226,-4.418381873320187,0.4168378664222499
A1,strict_oof,full,3,Right,Fz,11.417439394562663,-2.7964093386091307,-0.1902202696131798
A1,strict_oof,full,3,Right,F3,78.91208311334472,-9.52736674843213,-0.015705721220849067
