dataset,condition,channel,RMSE,R2,Corr
A1,Left,F3,71.8320530757883,-15.598037084168833,-0.3311998756915303
A1,Left,F4,79.9133180296568,-10.626460250243062,-0.06937522400124531
A1,Left,Fz,12.17782616749305,-1.528072106423621,0.04382854132165459
A1,Right,F3,90.57996487821435,-7.570777649861699,0.061563243064454
A1,Right,F4,89.00405153163146,-6.872624473010498,0.06033502983244402
A1,Right,Fz,14.386262633928009,-2.250801429098618,-0.18900239703159405
A2,Left,F3,63.292139409278676,-2.658968111328059,0.5993614740318851
A2,Left,F4,52.01391459902285,-0.14439663551034232,0.6130434812192581
A2,Left,Fz,30.6666673235835,0.36944746778194293,0.6596969175874727
A2,Right,F3,79.00156412556922,-2.2690451443409216,0.6389789154672154
A2,Right,F4,62.41719725926954,0.1569253061264701,0.625717825948549
A2,Right,Fz,46.049892157272915,0.04258592640771508,0.6210488331085621
B1,Left,F3,33.43494258984959,-0.6002463909196596,-0.011254744286155752
B1,Left,F4,79.70478201690547,-2.648902957594662,-0.4061895202298369
B1,Left,Fz,40.426476633405024,-6.9231769015132985,-0.21167055983620994
B1,Right,F3,47.43194126561042,-7.692934108043947,-0.28666642628968075
B1,Right,F4,60.299872527788764,-6.3619425683729265,-0.38481405890147086
B1,Right,Fz,55.39302234747417,-8.606767356794697,0.04722994591941658
B2,Left,F3,111.39247402340398,-3.2153331406605603,-0.00892742059805951
B2,Left,F4,115.82375519624057,-3.610866784411165,0.20327970480076116
B2,Left,Fz,87.76441735996812,-3.959120393795208,0.25240893169494183
B2,Right,F3,84.44490613121363,-3.3851516137903794,0.34849267127991934
B2,Right,F4,98.10217557784075,-0.6962571817437542,0.4841595645620438
B2,Right,Fz,71.95432127383557,-0.5763694723336851,0.4925076841068551
