dataset,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP,BA_low,BA_high,AUC_low,AUC_high,block_permutation_p,block_permutation_maxT_p,circular_shift_p,circular_shift_maxT_p
A1,amplitude,67,0.5074626865671642,0.5125,0.5384615384615384,0.4,0.45901639344262296,0.5482142857142858,20,12,21,14,0.49193548387096775,0.5523809523809524,0.4568627450980392,0.6650246305418719,0.434,0.8825,0.41,0.87
A1,peak_latency,67,0.4626865671641791,0.46830357142857143,0.48,0.34285714285714286,0.4,0.3964285714285714,19,13,23,12,0.42916666666666664,0.5334469696969696,0.3263888888888889,0.5374442959001783,0.661,0.9795,0.65,0.985
A1,spatial,67,0.43283582089552236,0.43705357142857143,0.4444444444444444,0.34285714285714286,0.3870967741935484,0.3875,17,15,23,12,0.33323412698412697,0.5151515151515151,0.30178571428571427,0.5339683600713011,0.798,0.997,0.735,1.0
A1,mechanism,67,0.3880597014925373,0.39151785714285714,0.39285714285714285,0.3142857142857143,0.3492063492063492,0.39375,15,17,24,11,0.30753968253968256,0.45835022522522517,0.3051419878296146,0.5428571428571428,0.921,1.0,0.87,1.0
A1,covariance,67,0.29850746268656714,0.29642857142857143,0.3333333333333333,0.34285714285714286,0.3380281690140845,0.2794642857142857,8,24,23,12,0.1820438290849074,0.42567567567567566,0.15136054421768708,0.3968319968319968,0.9935,1.0,1.0,1.0
A1,projection6,67,0.4925373134328358,0.4955357142857143,0.5172413793103449,0.42857142857142855,0.46875,0.5357142857142857,18,14,20,15,0.4029356060606061,0.5571428571428572,0.4027649769585253,0.6453538587848933,0.5485,0.9375,0.46,0.92
A1,direction3,67,0.5223880597014925,0.5267857142857143,0.5555555555555556,0.42857142857142855,0.4838709677419355,0.5446428571428572,20,12,20,15,0.4491691104594331,0.6037037037037037,0.4516129032258065,0.634567901234568,0.3265,0.811,0.325,0.795
A1,past_only,67,0.582089552238806,0.5839285714285714,0.6129032258064516,0.5428571428571428,0.5757575757575758,0.5839285714285714,20,12,16,19,0.5170008718395815,0.6706773618538324,0.4850877192982456,0.6952380952380953,0.11,,0.08,
A1,previous_cue,67,0.5970149253731343,0.596875,0.6176470588235294,0.6,0.6086956521739131,0.5308035714285715,19,13,14,21,0.536541889483066,0.6882477942002923,0.44919786096256686,0.6571691176470589,0.1255,,0.645,
A1,post_given_past,67,0.43283582089552236,0.4303571428571429,0.4594594594594595,0.4857142857142857,0.4722222222222222,0.425,12,20,18,17,0.3809140184140184,0.49359605911330046,0.3787878787878788,0.5257142857142858,0.8195,,0.75,
A2,amplitude,70,0.5142857142857142,0.5046257359125316,0.41935483870967744,0.4482758620689655,0.43333333333333335,0.5315391084945332,23,18,16,13,0.45535714285714285,0.5601604278074866,0.45270270270270274,0.6057513914656772,0.4905,0.9105,0.43,0.875
A2,peak_latency,70,0.4,0.40201850294365016,0.32432432432432434,0.41379310344827586,0.36363636363636365,0.37594617325483604,16,25,17,12,0.26280834914611007,0.5181034482758621,0.2865920524248709,0.45344827586206893,0.8895,0.999,0.92,1.0
A2,spatial,70,0.4714285714285714,0.4781328847771237,0.39473684210526316,0.5172413793103449,0.44776119402985076,0.4222035323801514,18,23,14,15,0.4227941176470588,0.5284641697588126,0.30625,0.49007936507936506,0.6145,0.9585,0.53,0.99
A2,mechanism,70,0.42857142857142855,0.4163162321278385,0.3225806451612903,0.3448275862068966,0.3333333333333333,0.4432296047098402,20,21,19,10,0.3345622119815668,0.4956293706293706,0.34050179211469533,0.5547309833024119,0.846,0.997,0.83,1.0
A2,covariance,70,0.6285714285714286,0.6021867115222876,0.5652173913043478,0.4482758620689655,0.5,0.6282590412111018,31,10,16,13,0.5277954576479421,0.715370018975332,0.5933977455716586,0.691468253968254,0.085,0.311,0.09,0.25
A2,projection6,70,0.4142857142857143,0.404121110176619,0.3125,0.3448275862068966,0.32786885245901637,0.4238856181665265,19,22,19,10,0.36107038123167157,0.45683111954459205,0.3372822299651568,0.4893447634237107,0.8825,0.999,0.89,1.0
A2,direction3,70,0.42857142857142855,0.4415475189234651,0.36585365853658536,0.5172413793103449,0.42857142857142855,0.392767031118587,15,26,14,15,0.3358937988511159,0.5516569200779727,0.2468270673014217,0.484467038809144,0.7665,0.989,0.775,1.0
A2,past_only,70,0.42857142857142855,0.43145500420521443,0.35135135135135137,0.4482758620689655,0.3939393939393939,0.36333052985702274,17,24,16,13,0.3567099567099567,0.4777777777777778,0.27609108159392787,0.414315868191248,0.8165,,0.695,
A2,previous_cue,70,0.5857142857142857,0.5706476030277544,0.5,0.4827586206896552,0.49122807017543857,0.6122792262405382,27,14,15,14,0.4983277591973244,0.6251032282282282,0.5454911433172303,0.6510617760617761,0.2475,,0.305,
A2,post_given_past,70,0.44285714285714284,0.43355761143818333,0.34375,0.3793103448275862,0.36065573770491804,0.4482758620689655,20,21,18,11,0.3060606060606061,0.5482142857142858,0.33555555555555555,0.553341358024691,0.811,,0.835,
B1,amplitude,69,0.463768115942029,0.46554621848739497,0.46511627906976744,0.5882352941176471,0.5194805194805194,0.4722689075630252,12,23,14,20,0.4127906976744186,0.5216165413533835,0.445,0.508975745829194,0.7005,0.987,0.69,0.96
B1,peak_latency,69,0.6086956521739131,0.6092436974789917,0.5945945945945946,0.6470588235294118,0.6197183098591549,0.6327731092436976,20,15,12,22,0.49906015037593987,0.7041666666666666,0.5669827060931899,0.6867624237140366,0.081,0.2375,0.095,0.32
B1,spatial,69,0.5362318840579711,0.5365546218487395,0.5277777777777778,0.5588235294117647,0.5428571428571428,0.6252100840336134,18,17,15,19,0.44276556776556775,0.5853621633575193,0.5878789716226049,0.6632013313716943,0.3755,0.7625,0.345,0.72
B1,mechanism,69,0.5507246376811594,0.5512605042016807,0.5405405405405406,0.5882352941176471,0.5633802816901409,0.5991596638655462,18,17,14,20,0.45054945054945056,0.6091954022988506,0.5494505494505495,0.6454455834208138,0.2705,0.6595,0.285,0.7
B1,covariance,69,0.5362318840579711,0.5378151260504201,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.5663865546218487,15,20,12,22,0.42393822393822395,0.6616961789375583,0.47217806041335453,0.6337582834540239,0.279,0.738,0.385,0.72
B1,projection6,69,0.5362318840579711,0.5373949579831933,0.525,0.6176470588235294,0.5675675675675675,0.5235294117647058,16,19,13,21,0.46095076400679114,0.6016260162601625,0.3928571428571429,0.6073170731707316,0.2645,0.7455,0.255,0.72
B1,direction3,69,0.5362318840579711,0.5369747899159664,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.5050420168067227,17,18,14,20,0.446078431372549,0.628957528957529,0.3609022556390977,0.6303656597774245,0.2865,0.755,0.24,0.72
B1,past_only,69,0.5362318840579711,0.5369747899159664,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.45210084033613446,17,18,14,20,0.44840294840294836,0.6076285963382736,0.3315412186379928,0.5386996904024768,0.282,,0.22,
B1,previous_cue,69,0.5942028985507246,0.5941176470588235,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5197478991596639,21,14,14,20,0.48169588414634146,0.6953781512605042,0.4210069444444444,0.6538155802861685,0.155,,0.535,
