train,test,trial_id,cue,features,score
A1,B1,2,-1,amplitude,-1.1323979770515589
A1,B1,3,1,amplitude,-1.3759209420403253
A1,B1,4,-1,amplitude,-0.36645227726034313
A1,B1,5,1,amplitude,-6.053957605210778
A1,B1,6,1,amplitude,-0.6751062208997541
A1,B1,7,1,amplitude,0.5681050559348083
A1,B1,8,-1,amplitude,-0.10031236191244709
A1,B1,9,-1,amplitude,0.17489369155400403
A1,B1,10,-1,amplitude,-0.23305880775447857
A1,B1,11,1,amplitude,-0.05564051820169601
A1,B1,12,-1,amplitude,0.07039643394734776
A1,B1,13,1,amplitude,-0.45501743219206264
A1,B1,15,-1,amplitude,0.05880020053162209
A1,B1,16,1,amplitude,0.10432705766778295
A1,B1,17,-1,amplitude,-0.04151944820964233
A1,B1,24,1,amplitude,-0.2473636721614963
A1,B1,25,1,amplitude,7.132207472691872
A1,B1,26,1,amplitude,0.2584083969364268
A1,B1,27,1,amplitude,0.5903974387624554
A1,B1,28,1,amplitude,0.6417989418590813
A1,B1,29,1,amplitude,0.16086691452979726
A1,B1,30,-1,amplitude,-2.0110687783431414
A1,B1,31,1,amplitude,0.6142219687625032
A1,B1,32,-1,amplitude,-4.173581599129484
A1,B1,33,-1,amplitude,0.5440869837343122
A1,B1,34,1,amplitude,-0.9794755840423404
A1,B1,35,-1,amplitude,3.0434846907952133
A1,B1,37,-1,amplitude,2.889232226319252
A1,B1,44,1,amplitude,-1.0730890341487562
A1,B1,45,1,amplitude,-0.025164329259718954
A1,B1,46,-1,amplitude,1.7213711136440593
A1,B1,47,-1,amplitude,-2.772855884062835
A1,B1,48,1,amplitude,0.7090325503494094
A1,B1,49,1,amplitude,1.8945935040010695
A1,B1,50,-1,amplitude,6.671295725602067
A1,B1,51,1,amplitude,-5.315175664707825
A1,B1,52,-1,amplitude,-1.132879933297236
A1,B1,53,1,amplitude,0.006212396001586276
A1,B1,55,1,amplitude,-3.969650460454293
A1,B1,56,-1,amplitude,-3.456284707708101
A1,B1,57,1,amplitude,0.9336280580394204
A1,B1,64,-1,amplitude,-2.131627321247692
A1,B1,65,-1,amplitude,-1.292415466712589
A1,B1,66,-1,amplitude,3.6072295782885098
A1,B1,67,1,amplitude,2.8037885871604473
A1,B1,68,1,amplitude,0.41409233065971035
A1,B1,69,-1,amplitude,3.776808155366038
A1,B1,70,-1,amplitude,2.50205680730757
A1,B1,71,1,amplitude,-4.494101959588272
A1,B1,72,1,amplitude,3.7414502223245174
A1,B1,73,-1,amplitude,-0.6664119850806705
A1,B1,74,-1,amplitude,-0.7844829243363481
A1,B1,75,1,amplitude,-0.21355693337469459
A1,B1,76,-1,amplitude,-0.1023567005597529
A1,B1,77,-1,amplitude,-0.4274864945110438
A1,B1,84,-1,amplitude,0.14598037314458692
A1,B1,85,1,amplitude,-1.2943444820785615
A1,B1,86,-1,amplitude,-0.32289865314998156
A1,B1,87,-1,amplitude,-0.23199116283779497
A1,B1,89,-1,amplitude,0.49381097376501915
A1,B1,90,-1,amplitude,-4.394507806359414
A1,B1,91,1,amplitude,-0.2357968842163962
A1,B1,93,-1,amplitude,0.09849333387863969
A1,B1,94,1,amplitude,0.5458800118850092
A1,B1,95,-1,amplitude,-0.043008925314859746
A1,B1,96,1,amplitude,-0.485613560192047
A1,B1,97,-1,amplitude,-1.3080779565497955
A1,B1,98,1,amplitude,0.10457869804655982
A1,B1,99,1,amplitude,0.13312851867797232
A1,B1,2,-1,peak_latency,-1.9931447459744054
A1,B1,3,1,peak_latency,-2.1176847529930165
A1,B1,4,-1,peak_latency,-0.4362186119515791
A1,B1,5,1,peak_latency,-6.576830966460809
A1,B1,6,1,peak_latency,-1.0681462971111442
A1,B1,7,1,peak_latency,1.8374348613525875
A1,B1,8,-1,peak_latency,-0.7351538908543129
A1,B1,9,-1,peak_latency,-0.18498198206312774
A1,B1,10,-1,peak_latency,-0.8642435430904173
A1,B1,11,1,peak_latency,0.3763243666437128
A1,B1,12,-1,peak_latency,-0.13810788680106198
A1,B1,13,1,peak_latency,-0.7489940576433165
A1,B1,15,-1,peak_latency,-0.2165597323281822
A1,B1,16,1,peak_latency,0.5080996910244379
A1,B1,17,-1,peak_latency,0.4957739464941714
A1,B1,24,1,peak_latency,-0.49221300686644753
A1,B1,25,1,peak_latency,5.790598679283861
A1,B1,26,1,peak_latency,0.46371977211562765
A1,B1,27,1,peak_latency,1.472657937555208
A1,B1,28,1,peak_latency,1.015523667976548
A1,B1,29,1,peak_latency,-0.2874494721968029
A1,B1,30,-1,peak_latency,-2.4366865034136915
A1,B1,31,1,peak_latency,1.4408003727503431
