dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,2,0,1,amplitude,2.896180016127462,93.60492299131398,-140.0622790062612,,,,,,,,,,,,,,,,,,,,,
A1,4,0,-1,amplitude,-4.87555706058907,-192.17105677380286,-141.63386509322817,,,,,,,,,,,,,,,,,,,,,
A1,5,0,1,amplitude,-8.464900596258985,-136.8072829470237,-75.11603396350176,,,,,,,,,,,,,,,,,,,,,
A1,6,0,-1,amplitude,-9.599403140926864,-324.0124284242338,-393.36187916794535,,,,,,,,,,,,,,,,,,,,,
A1,7,0,-1,amplitude,-1.0075978066263396,-12.459103515739805,-42.51704051557046,,,,,,,,,,,,,,,,,,,,,
A1,8,0,-1,amplitude,5.910946937226036,14.92817539289868,58.556337054867036,,,,,,,,,,,,,,,,,,,,,
A1,9,0,1,amplitude,7.202807697454732,17.06661602161466,-5.490634770007405,,,,,,,,,,,,,,,,,,,,,
A1,10,0,1,amplitude,6.9339800191042515,23.983153077208673,45.55113440876803,,,,,,,,,,,,,,,,,,,,,
A1,11,0,1,amplitude,-0.978002325510066,-161.33885593827452,-124.82936669699309,,,,,,,,,,,,,,,,,,,,,
A1,12,0,1,amplitude,7.670869755710017,8.539553617794867,41.45761475517082,,,,,,,,,,,,,,,,,,,,,
A1,13,0,-1,amplitude,6.189478072777342,25.725687023640074,34.32191943159619,,,,,,,,,,,,,,,,,,,,,
A1,15,0,1,amplitude,0.00987587555554828,-45.665562706489965,-66.1989583784086,,,,,,,,,,,,,,,,,,,,,
A1,16,0,-1,amplitude,12.045728132569755,-35.15923365215667,-80.09690975501094,,,,,,,,,,,,,,,,,,,,,
A1,17,0,1,amplitude,2.2865512759440505,31.622503023759084,34.43048857372131,,,,,,,,,,,,,,,,,,,,,
A1,24,1,-1,amplitude,20.458614621258622,26.47826227324137,31.47609448063314,,,,,,,,,,,,,,,,,,,,,
A1,25,1,-1,amplitude,-2.1354083860327457,-86.03081286568904,-273.41736453781203,,,,,,,,,,,,,,,,,,,,,
A1,26,1,1,amplitude,12.935604549064774,-2.1513130649278236,8.512933590464023,,,,,,,,,,,,,,,,,,,,,
A1,28,1,-1,amplitude,19.331780753316696,52.207002088125726,49.52861483231717,,,,,,,,,,,,,,,,,,,,,
A1,29,1,-1,amplitude,25.146586833485873,64.50874180096073,95.63255258475584,,,,,,,,,,,,,,,,,,,,,
A1,30,1,-1,amplitude,11.973976357258046,-11.930418955918498,15.088345142825899,,,,,,,,,,,,,,,,,,,,,
A1,31,1,-1,amplitude,2.9289104592246336,-23.75682557642338,-89.78884924918914,,,,,,,,,,,,,,,,,,,,,
A1,32,1,1,amplitude,11.917852482826786,-15.746911820888913,2.997313257555372,,,,,,,,,,,,,,,,,,,,,
A1,33,1,1,amplitude,1.1358544560600712,2.5464446970255916,7.865728501684536,,,,,,,,,,,,,,,,,,,,,
A1,34,1,-1,amplitude,-15.292655240179103,-39.58158337056389,-25.39570733700283,,,,,,,,,,,,,,,,,,,,,
A1,35,1,1,amplitude,11.326394750598668,-10.59895670551049,-11.710208925491095,,,,,,,,,,,,,,,,,,,,,
A1,37,1,-1,amplitude,-2.9722690952695534,-11.296984456734478,3.205569667107211,,,,,,,,,,,,,,,,,,,,,
A1,44,2,1,amplitude,5.720472406396268,18.434049829958226,39.39700851092647,,,,,,,,,,,,,,,,,,,,,
A1,45,2,-1,amplitude,5.340472254311149,-148.80388054825318,-47.83554867938973,,,,,,,,,,,,,,,,,,,,,
A1,47,2,-1,amplitude,8.734771274149399,-10.909844847160313,-9.070803886174822,,,,,,,,,,,,,,,,,,,,,
A1,48,2,1,amplitude,11.648147042398787,-1.388460871208397,-8.414843453135116,,,,,,,,,,,,,,,,,,,,,
A1,49,2,-1,amplitude,-4.906884458569713,23.833400125259498,35.2593268810678,,,,,,,,,,,,,,,,,,,,,
