dataset,trial_id,block,cue,features,score,prediction
A1,2,0,1,amplitude,0.10078080004523449,1
A1,4,0,-1,amplitude,-0.7218469827293543,-1
A1,5,0,1,amplitude,-0.36400559030501495,-1
A1,6,0,-1,amplitude,-1.4054840954124168,-1
A1,7,0,-1,amplitude,-0.05354272802181868,-1
A1,8,0,-1,amplitude,0.022297884233532437,1
A1,9,0,1,amplitude,-0.08256793289411947,-1
A1,10,0,1,amplitude,0.014223377305484116,1
A1,11,0,1,amplitude,-0.6783300161028044,-1
A1,12,0,1,amplitude,-0.06084261108061683,-1
A1,13,0,-1,amplitude,0.021860672691662836,1
A1,15,0,1,amplitude,-0.2220299698980938,-1
A1,16,0,-1,amplitude,-0.467607360267305,-1
A1,17,0,1,amplitude,0.12798895784563308,1
A1,24,1,-1,amplitude,-0.1810552121019226,-1
A1,25,1,-1,amplitude,-0.549117870574337,-1
A1,26,1,1,amplitude,-0.17220001313628588,-1
A1,28,1,-1,amplitude,-0.038279368231859,-1
A1,29,1,-1,amplitude,-0.047439238691695064,-1
A1,30,1,-1,amplitude,-0.18263644428138168,-1
A1,31,1,-1,amplitude,-0.1816714791810478,-1
A1,32,1,1,amplitude,-0.21115857553939557,-1
A1,33,1,1,amplitude,0.07525291456996705,1
A1,34,1,-1,amplitude,0.1935246450220243,1
A1,35,1,1,amplitude,-0.1982200751196173,-1
A1,37,1,-1,amplitude,0.09672668537612371,1
A1,44,2,1,amplitude,0.7895764156824149,1
A1,45,2,-1,amplitude,-0.60329781474806,-1
A1,47,2,-1,amplitude,0.28162537136132965,1
A1,48,2,1,amplitude,0.2208245122914456,1
A1,49,2,-1,amplitude,1.2587632875457995,1
A1,50,2,-1,amplitude,0.40815119993798304,1
A1,51,2,1,amplitude,2.293597399313693,1
A1,52,2,1,amplitude,12.276780603532316,1
A1,53,2,1,amplitude,11.642784607433654,1
A1,54,2,-1,amplitude,7.176481653385795,1
A1,55,2,1,amplitude,1.0613799979750793,1
A1,56,2,-1,amplitude,1.5984293531524036,1
A1,57,2,-1,amplitude,0.07895229529977546,1
A1,64,3,1,amplitude,-1.5755942512937122,-1
A1,65,3,-1,amplitude,-0.37407764129788473,-1
A1,66,3,1,amplitude,0.29156132901300824,1
A1,67,3,-1,amplitude,-0.6107434992577386,-1
A1,68,3,-1,amplitude,0.16641138831918065,1
A1,69,3,1,amplitude,-0.03887005762614262,-1
A1,70,3,1,amplitude,0.08454452987110217,1
A1,71,3,-1,amplitude,-0.09593291417039028,-1
A1,72,3,1,amplitude,-0.3884616173967454,-1
A1,73,3,-1,amplitude,0.016328100515259736,1
A1,74,3,1,amplitude,-0.7959238948383739,-1
A1,75,3,-1,amplitude,-0.34473351090461135,-1
A1,76,3,1,amplitude,-0.6931692338824168,-1
A1,84,4,1,amplitude,-1.323230705146326,-1
A1,85,4,-1,amplitude,-1.0461530444656335,-1
A1,86,4,1,amplitude,-0.24376266396191765,-1
A1,87,4,1,amplitude,0.022260272179081136,1
A1,89,4,1,amplitude,0.28292486323937455,1
A1,90,4,1,amplitude,-0.2745076864627648,-1
A1,91,4,-1,amplitude,-2.522462845626036,-1
A1,92,4,1,amplitude,-0.35059124327955365,-1
A1,93,4,1,amplitude,-0.10483809540089789,-1
A1,94,4,1,amplitude,-0.03697156343236925,-1
A1,95,4,-1,amplitude,-0.12867545921965168,-1
A1,96,4,1,amplitude,-0.35977422964426464,-1
A1,97,4,1,amplitude,-0.053671282978460584,-1
A1,98,4,-1,amplitude,-2.7588670354958618,-1
A1,99,4,-1,amplitude,-0.3221004564939866,-1
A1,2,0,1,peak_latency,-0.3052503614397413,-1
A1,4,0,-1,peak_latency,-1.0244906389092205,-1
A1,5,0,1,peak_latency,-0.7924530987748312,-1
A1,6,0,-1,peak_latency,-0.9153080752047459,-1
A1,7,0,-1,peak_latency,-0.10035126475257264,-1
A1,8,0,-1,peak_latency,0.5979339210334205,1
A1,9,0,1,peak_latency,-0.27611235165320286,-1
A1,10,0,1,peak_latency,-1.2865226700642654,-1
A1,11,0,1,peak_latency,-0.5758465833450943,-1
A1,12,0,1,peak_latency,0.11667669581658865,1
A1,13,0,-1,peak_latency,0.20349361854945958,1
A1,15,0,1,peak_latency,-0.620150242221539,-1
A1,16,0,-1,peak_latency,-0.39408339891311256,-1
A1,17,0,1,peak_latency,0.20313959190825082,1
A1,24,1,-1,peak_latency,-0.311770069266313,-1
A1,25,1,-1,peak_latency,-0.33723879648634186,-1
A1,26,1,1,peak_latency,-0.05392144400312856,-1
A1,28,1,-1,peak_latency,1.5376708138540889,1
A1,29,1,-1,peak_latency,1.327988583359524,1
A1,30,1,-1,peak_latency,0.38892738432639135,1
A1,31,1,-1,peak_latency,-0.1654932066488461,-1
A1,32,1,1,peak_latency,-0.3994401323656205,-1
A1,33,1,1,peak_latency,0.014523586152601856,1
A1,34,1,-1,peak_latency,-0.22408790264313025,-1
A1,35,1,1,peak_latency,-0.5179545524913226,-1
A1,37,1,-1,peak_latency,-0.33471766318405183,-1
A1,44,2,1,peak_latency,0.9739839358865918,1
A1,45,2,-1,peak_latency,-0.1941053477941483,-1
A1,47,2,-1,peak_latency,0.6922121620236769,1
A1,48,2,1,peak_latency,-0.4622118826570889,-1
A1,49,2,-1,peak_latency,1.4171360772230737,1
A1,50,2,-1,peak_latency,0.05076980145669048,1
A1,51,2,1,peak_latency,3.461523149330654,1
A1,52,2,1,peak_latency,10.701419818490773,1
A1,53,2,1,peak_latency,10.265333748144558,1
A1,54,2,-1,peak_latency,7.294440096900717,1
A1,55,2,1,peak_latency,1.3697640193352547,1
A1,56,2,-1,peak_latency,2.3802427151051755,1
A1,57,2,-1,peak_latency,-0.10345334602283443,-1
A1,64,3,1,peak_latency,-2.0101511271132426,-1
A1,65,3,-1,peak_latency,-0.4662712383830692,-1
A1,66,3,1,peak_latency,0.5552219265919489,1
A1,67,3,-1,peak_latency,-0.8078619626469815,-1
A1,68,3,-1,peak_latency,0.2792281622403503,1
A1,69,3,1,peak_latency,0.5166404756353813,1
A1,70,3,1,peak_latency,0.42730427972448387,1
A1,71,3,-1,peak_latency,-0.5380399168962284,-1
A1,72,3,1,peak_latency,-0.7034646961803499,-1
A1,73,3,-1,peak_latency,0.5924969095828758,1
A1,74,3,1,peak_latency,-1.1725002398615505,-1
A1,75,3,-1,peak_latency,-0.3558543024078035,-1
A1,76,3,1,peak_latency,-1.7022354926208672,-1
A1,84,4,1,peak_latency,-1.1834447453850099,-1
A1,85,4,-1,peak_latency,-0.5110383273872644,-1
A1,86,4,1,peak_latency,-0.5512258468923091,-1
A1,87,4,1,peak_latency,-0.5658076840646673,-1
A1,89,4,1,peak_latency,-0.01712821548527451,-1
A1,90,4,1,peak_latency,-0.5698315526736757,-1
A1,91,4,-1,peak_latency,-0.8908596534318245,-1
A1,92,4,1,peak_latency,-0.00940280451765116,-1
A1,93,4,1,peak_latency,0.4215017810081396,1
A1,94,4,1,peak_latency,-0.7648405015639669,-1
A1,95,4,-1,peak_latency,-0.03453633844014556,-1
A1,96,4,1,peak_latency,-0.774234667954473,-1
A1,97,4,1,peak_latency,-0.7101528324456413,-1
A1,98,4,-1,peak_latency,0.33318912660130545,1
A1,99,4,-1,peak_latency,-0.25206790637396403,-1
A1,2,0,1,spatial,0.7082459133646629,1
A1,4,0,-1,spatial,-1.160163235131943,-1
A1,5,0,1,spatial,-0.9923767485044155,-1
A1,6,0,-1,spatial,-0.5407461839289126,-1
A1,7,0,-1,spatial,-0.06387776168206553,-1
A1,8,0,-1,spatial,0.42767664210272466,1
A1,9,0,1,spatial,-0.29538457544269014,-1
A1,10,0,1,spatial,-1.2400410988016304,-1
A1,11,0,1,spatial,-0.695036936040056,-1
A1,12,0,1,spatial,0.04235713410762977,1
A1,13,0,-1,spatial,0.15726956470326545,1
A1,15,0,1,spatial,-0.4892593129079118,-1
A1,16,0,-1,spatial,-0.18896140923849286,-1
A1,17,0,1,spatial,0.1855776054629642,1
A1,24,1,-1,spatial,-0.2833451391596975,-1
A1,25,1,-1,spatial,0.8013800701261362,1
A1,26,1,1,spatial,-0.11703206106602759,-1
A1,28,1,-1,spatial,1.457738655426975,1
A1,29,1,-1,spatial,1.0439743041124872,1
A1,30,1,-1,spatial,0.13767359135897447,1
