stage,dataset,n,BA,AUC,recall_left,recall_right
before,pooled,371,0.5453315881326353,0.5714659685863874,0.6073298429319371,0.48333333333333334
before,A1,90,0.5081642751113311,0.49727857496288963,0.574468085106383,0.4418604651162791
before,A2,95,0.5300988319856244,0.5884995507637016,0.6792452830188679,0.38095238095238093
before,B1,94,0.6173007246376812,0.6639492753623188,0.6304347826086957,0.6041666666666666
before,B2,92,0.5113475177304965,0.5049645390070923,0.5333333333333333,0.48936170212765956
v7,pooled,371,0.5366783013379872,0.547673065735893,0.6178010471204188,0.45555555555555555
v7,A1,90,0.4529935675408213,0.49777337951509154,0.5106382978723404,0.3953488372093023
v7,A2,95,0.5703054806828391,0.5584007187780773,0.7358490566037735,0.40476190476190477
v7,B1,94,0.6073369565217391,0.6186594202898551,0.6521739130434783,0.5625
v7,B2,92,0.5011820330969268,0.500709219858156,0.5555555555555556,0.44680851063829785
