sample,model,n,BA,AUC
retained,pre_filtered_9,275,0.564021164021164,0.5957671957671957
retained_A1,pre_filtered_9,67,0.6308035714285714,0.6651785714285715
retained_A2,pre_filtered_9,70,0.571488645920942,0.5534062237174097
retained_B1,pre_filtered_9,69,0.5512605042016807,0.6016806722689075
retained_B2,pre_filtered_9,69,0.5181587837837838,0.5650337837837838
retained,previous_cue_only,275,0.5313492063492063,0.4585714285714285
retained_A1,previous_cue_only,67,0.596875,0.5299107142857143
retained_A2,previous_cue_only,70,0.4293523969722456,0.368376787216148
retained_B1,previous_cue_only,69,0.5941176470588235,0.5197478991596639
retained_B2,previous_cue_only,69,0.5223817567567568,0.4375
retained,previous_cue_by_task,275,0.5632275132275133,0.5442328042328042
retained_A1,previous_cue_by_task,67,0.596875,0.5227678571428571
retained_A2,previous_cue_by_task,70,0.5706476030277544,0.5441547518923465
retained_B1,previous_cue_by_task,69,0.5941176470588235,0.5079831932773109
retained_B2,previous_cue_by_task,69,0.47761824324324326,0.4028716216216216
retained,previous_cue_by_recording,275,0.5448412698412699,0.5395238095238095
retained_A1,previous_cue_by_recording,67,0.596875,0.5299107142857143
retained_A2,previous_cue_by_recording,70,0.5706476030277544,0.5466778805719091
retained_B1,previous_cue_by_recording,69,0.5941176470588235,0.5197478991596639
retained_B2,previous_cue_by_recording,69,0.4079391891891892,0.3741554054054054
retained,previous_action_only,275,0.5563492063492064,0.49682539682539684
retained_A1,previous_action_only,67,0.596875,0.5227678571428571
retained_A2,previous_action_only,70,0.47308662741799834,0.4230445752733389
retained_B1,previous_action_only,69,0.5798319327731092,0.5105042016806723
retained_B2,previous_action_only,69,0.5827702702702703,0.5363175675675675
retained,sequence_timing_5,275,0.5234126984126983,0.5132275132275133
retained_A1,sequence_timing_5,67,0.5553571428571429,0.5196428571428571
retained_A2,sequence_timing_5,70,0.4831791421362489,0.45248107653490327
retained_B1,sequence_timing_5,69,0.565546218487395,0.5453781512605042
retained_B2,sequence_timing_5,69,0.5130912162162162,0.5557432432432433
retained,pre_raw_9,275,0.5842592592592593,0.587936507936508
retained_A1,pre_raw_9,67,0.6308035714285714,0.63125
retained_A2,pre_raw_9,70,0.5290159798149705,0.5130361648444071
retained_B1,pre_raw_9,69,0.6226890756302521,0.604201680672269
retained_B2,pre_raw_9,69,0.5557432432432432,0.6097972972972974
retained,pre_filtered_plus_prev_cue_by_task,275,0.5571428571428572,0.5927513227513228
retained_A1,pre_filtered_plus_prev_cue_by_task,67,0.5669642857142857,0.6508928571428572
retained_A2,pre_filtered_plus_prev_cue_by_task,70,0.5765349032800673,0.5719091673675358
retained_B1,pre_filtered_plus_prev_cue_by_task,69,0.5794117647058823,0.6100840336134454
retained_B2,pre_filtered_plus_prev_cue_by_task,69,0.5160472972972974,0.5380067567567568
retained,pre_filtered_plus_sequence,275,0.5567460317460318,0.5802116402116402
retained_A1,pre_filtered_plus_sequence,67,0.5839285714285714,0.6062500000000001
retained_A2,pre_filtered_plus_sequence,70,0.5126156433978133,0.535744322960471
retained_B1,pre_filtered_plus_sequence,69,0.5941176470588235,0.5865546218487395
retained_B2,pre_filtered_plus_sequence,69,0.5472972972972974,0.5962837837837838
guard_all,pre_filtered_9,296,0.5372807017543859,0.5650584795321637
guard_all,previous_cue_only,296,0.5239400584795322,0.4613715277777778
guard_all,previous_cue_by_task,296,0.5568347953216375,0.5333744517543859
guard_all,previous_cue_by_recording,296,0.5222953216374269,0.5083835891812866
guard_all,previous_action_only,296,0.5500730994152047,0.49431195175438597
guard_all,sequence_timing_5,296,0.5021929824561403,0.4967105263157895
