iteration,dataset,model,n,BA,AUC,recall_left,recall_right
1,pooled,past_only,275,0.45820105820105816,0.49640211640211634,0.45714285714285713,0.45925925925925926
1,pooled,post_erp,275,0.5088624338624339,0.5517460317460317,0.5214285714285715,0.4962962962962963
1,pooled,post_given_past,275,0.5198412698412698,0.5405291005291005,0.5285714285714286,0.5111111111111111
1,A1,past_only,67,0.4200892857142857,0.3857142857142857,0.46875,0.37142857142857144
1,A1,post_erp,67,0.42142857142857143,0.38928571428571435,0.5,0.34285714285714286
1,A1,post_given_past,67,0.4799107142857143,0.4330357142857143,0.53125,0.42857142857142855
1,A2,past_only,70,0.4751892346509672,0.4894869638351556,0.5365853658536586,0.41379310344827586
1,A2,post_erp,70,0.5370058873002523,0.6232127838519765,0.4878048780487805,0.5862068965517241
1,A2,post_given_past,70,0.5197645079899075,0.5744322960470984,0.4878048780487805,0.5517241379310345
1,B1,past_only,69,0.3773109243697479,0.39243697478991596,0.34285714285714286,0.4117647058823529
1,B1,post_erp,69,0.5512605042016807,0.63109243697479,0.5142857142857142,0.5882352941176471
1,B1,post_given_past,69,0.5941176470588235,0.6487394957983195,0.6,0.5882352941176471
1,B2,past_only,69,0.5451858108108107,0.6824324324324325,0.46875,0.6216216216216216
1,B2,post_erp,69,0.5401182432432432,0.5371621621621623,0.59375,0.4864864864864865
1,B2,post_given_past,69,0.49324324324324326,0.48817567567567566,0.5,0.4864864864864865
2,pooled,past_only,275,0.5924603174603174,0.5908994708994708,0.6071428571428571,0.5777777777777777
2,pooled,post_erp,275,0.4985449735449735,0.4892592592592592,0.4785714285714286,0.5185185185185185
2,pooled,post_given_past,275,0.4984126984126984,0.5051322751322751,0.4857142857142857,0.5111111111111111
2,A1,past_only,67,0.6294642857142857,0.5875,0.6875,0.5714285714285714
2,A1,post_erp,67,0.5642857142857143,0.5651785714285714,0.5,0.6285714285714286
2,A1,post_given_past,67,0.5629464285714285,0.5607142857142857,0.46875,0.6571428571428571
2,A2,past_only,70,0.5298570227081582,0.5214465937762826,0.43902439024390244,0.6206896551724138
2,A2,post_erp,70,0.43355761143818333,0.43566021867115223,0.4878048780487805,0.3793103448275862
2,A2,post_given_past,70,0.4751892346509672,0.5004205214465938,0.5365853658536586,0.41379310344827586
2,B1,past_only,69,0.5936974789915966,0.6109243697478992,0.6285714285714286,0.5588235294117647
2,B1,post_erp,69,0.45,0.36638655462184877,0.4,0.5
2,B1,post_given_past,69,0.40630252100840336,0.37478991596638656,0.37142857142857144,0.4411764705882353
2,B2,past_only,69,0.6431587837837838,0.6368243243243243,0.71875,0.5675675675675675
2,B2,post_erp,69,0.5358952702702703,0.5785472972972974,0.53125,0.5405405405405406
2,B2,post_given_past,69,0.5380067567567568,0.5675675675675675,0.5625,0.5135135135135135
3,pooled,past_only,275,0.4916666666666667,0.4716931216931217,0.45,0.5333333333333333
3,pooled,post_erp,275,0.548941798941799,0.5708465608465608,0.5571428571428572,0.5407407407407407
3,pooled,post_given_past,275,0.5564814814814816,0.5856613756613755,0.55,0.562962962962963
