dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,1,0,-1,5162,5214,0.203125,7538,223845,5758,2.328125,platform_onset_hypothesis,6256,-1.0,,,6256,4.2734375,1.9453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,4.1734375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,5098,6231,,,,
A1,2,0,1,7538,7590,0.203125,9690,223845,8105,2.21484375,platform_onset_hypothesis,8407,1.0,,,8407,3.39453125,1.1796875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.29453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,7474,8382,0.0,1084.6276463575502,9.324739129292652,"[[20.290152235709556, 339.3105464014891, 40.979416015636616], [-0.650556256121682, -68.81853191385991, -690.8181557085267], [-2.4170113514141494, -29.039494677597247, -0.5533642704671693]]"
A1,3,0,-1,9690,9743,0.20703125,11851,223845,10258,2.21875,platform_onset_hypothesis,10567,-1.0,,,10567,3.42578125,1.20703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.32578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,9626,10542,0.24608763693270735,1450.2062586758475,13.313594610654036,
A1,4,0,-1,11851,11903,0.203125,14055,223845,12418,2.21484375,platform_onset_hypothesis,12771,-1.0,,,12771,3.59375,1.37890625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.49375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,11787,12746,0.06480446927374302,1261.856789215995,9.452890612183154,
A1,5,0,1,14055,14107,0.203125,16216,223845,14623,2.21875,platform_onset_hypothesis,14932,1.0,,,14932,3.42578125,1.20703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.32578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,13991,14907,0.0,429.92814664183777,9.206681033235583,"[[-10.019657000028204, -346.2001301061703, -464.4374533983049], [-10.804447972057195, -84.88379137782412, -275.3743417764093], [-10.747969428043614, 62.96988658147936, 169.3217741817343]]"
A1,6,0,-1,16216,16268,0.203125,18368,223845,16783,2.21484375,platform_onset_hypothesis,17086,-1.0,,,17086,3.3984375,1.18359375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.2984375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,16152,17061,0.0,823.0038853618249,9.00650400256444,"[[-41.31131337246242, -827.0454493322134, -1084.551389204305], [-12.29919537493516, -206.4722628900903, -229.16969810782302], [1.301691765725751, 18.183483711299697, 42.32623693325298]]"
A1,7,0,-1,18368,18420,0.203125,20589,223845,18936,2.21875,platform_onset_hypothesis,19306,-1.0,,,19306,3.6640625,1.4453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.5640625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,18304,19281,0.0,366.71418743264803,9.257513931290262,"[[14.420548693921724, 114.77816049214755, 139.87464384229054], [-3.3147227426397388, 27.108510070340785, 32.8018703841081], [-1.092646811333912, -21.281283223971037, -36.43936833643534]]"
A1,8,0,-1,20589,20641,0.203125,22705,223845,21156,2.21484375,platform_onset_hypothesis,21421,-1.0,,,21421,3.25,1.03515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.15,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,20525,21396,0.0,912.0564765408661,10.254663738963472,"[[18.99871560993519, 47.88623865085174, 151.958091772741], [5.9789868914520685, 249.3586838347945, 483.71498288156636], [0.3415910231401019, -22.912088404190058, -33.591730475775904]]"
A1,9,0,1,22705,22757,0.203125,24854,223845,23272,2.21484375,platform_onset_hypothesis,23572,1.0,,,23572,3.38671875,1.171875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.28671875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,22641,23547,0.0,541.7705869982678,7.265338977725648,"[[-9.582452863174481, -83.50362977878444, -4.347988586976783], [12.259159772068998, 24.54492974444605, -56.613747056899655], [1.7744458415766182, -7.410836166484872, -9.96266311342747]]"
A1,10,0,1,24854,24906,0.203125,27102,223845,25421,2.21484375,platform_onset_hypothesis,25817,1.0,,,25817,3.76171875,1.546875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.66171875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,24790,25792,0.0,305.74944112763603,8.089647536677134,"[[7.553951350030946, 34.93721573189953, 128.42562084094288], [16.187276460094775, 72.30938126378022, 242.89264716198014], [-1.8040348374036563, 26.173712813065563, -23.881301379475275]]"
