dataset,horizon_s,n,time_s,at_risk,events,censored,survival
A2,1.5,100,1.09765625,100,1,0,0.99
A2,1.5,100,1.15625,99,2,0,0.97
A2,1.5,100,1.16015625,97,1,0,0.96
A2,1.5,100,1.16796875,96,1,0,0.95
A2,1.5,100,1.1796875,95,1,0,0.94
A2,1.5,100,1.203125,94,1,0,0.9299999999999999
A2,1.5,100,1.2109375,93,1,0,0.9199999999999999
A2,1.5,100,1.21484375,92,1,0,0.9099999999999999
A2,1.5,100,1.22265625,91,1,0,0.8999999999999999
A2,1.5,100,1.2265625,90,1,0,0.8899999999999999
A2,1.5,100,1.23046875,89,1,0,0.8799999999999999
A2,1.5,100,1.2421875,88,1,0,0.8699999999999999
A2,1.5,100,1.2578125,87,1,0,0.8599999999999999
A2,1.5,100,1.26171875,86,2,0,0.8399999999999999
A2,1.5,100,1.265625,84,2,0,0.8199999999999998
A2,1.5,100,1.26953125,82,3,0,0.7899999999999998
A2,1.5,100,1.27734375,79,2,0,0.7699999999999998
A2,1.5,100,1.28125,77,1,0,0.7599999999999998
A2,1.5,100,1.2890625,76,1,0,0.7499999999999998
A2,1.5,100,1.29296875,75,1,0,0.7399999999999998
A2,1.5,100,1.296875,74,1,0,0.7299999999999998
A2,1.5,100,1.3046875,73,1,0,0.7199999999999998
A2,1.5,100,1.30859375,72,1,0,0.7099999999999997
A2,1.5,100,1.31640625,71,1,0,0.6999999999999997
A2,1.5,100,1.3203125,70,1,0,0.6899999999999997
A2,1.5,100,1.32421875,69,1,0,0.6799999999999997
A2,1.5,100,1.33203125,68,4,0,0.6399999999999997
A2,1.5,100,1.3359375,64,1,0,0.6299999999999997
A2,1.5,100,1.33984375,63,4,0,0.5899999999999997
A2,1.5,100,1.34375,59,4,0,0.5499999999999997
A2,1.5,100,1.3515625,55,1,0,0.5399999999999997
A2,1.5,100,1.35546875,54,1,0,0.5299999999999997
A2,1.5,100,1.37109375,53,1,0,0.5199999999999997
A2,1.5,100,1.37890625,52,1,0,0.5099999999999997
A2,1.5,100,1.390625,51,1,0,0.49999999999999967
A2,1.5,100,1.39453125,50,1,0,0.48999999999999966
A2,1.5,100,1.3984375,49,2,0,0.46999999999999964
A2,1.5,100,1.40234375,47,2,0,0.4499999999999997
