dataset,held_block,parameter_origin,n,evidence_mode,tau_m,tau_p,neural_model,target_duration,gamma,sigma,boundary,deadline_s,dt,correct_rate,error_rate,unresolved_rate,median_decision_time_s,conditional_median_scope,censor_aware_median_s,restricted_mean_decision_time_s,interpretation,correct_mc_low,correct_mc_high,error_mc_low,error_mc_high,unresolved_mc_low,unresolved_mc_high
A1,0,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
A1,1,V2_EEG_outer_training,1000,conditional,0.5,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.361,0.133,0.506,1.0703125,resolved_trials_only,,1.56667578125,simulation_only_no_observed_accuracy_fit,0.3318154771691927,0.39124840063782396,0.11335082497407287,0.15545811858833783,0.47504829137433036,0.5369057858426329
A1,2,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
A1,3,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
A1,4,V2_EEG_outer_training,1000,conditional,0.5,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.361,0.133,0.506,1.0703125,resolved_trials_only,,1.56667578125,simulation_only_no_observed_accuracy_fit,0.3318154771691927,0.39124840063782396,0.11335082497407287,0.15545811858833783,0.47504829137433036,0.5369057858426329
A2,0,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
A2,1,V2_EEG_outer_training,1000,conditional,2.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.982,0.002,0.016,0.6953125,resolved_trials_only,0.703125,0.7849140625,simulation_only_no_observed_accuracy_fit,0.9717265156214581,0.9885843541412616,0.000548632102457155,0.007262958889587807,0.009872155867426248,0.02583228196419978
A2,2,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
A2,3,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
A2,4,V2_EEG_outer_training,1000,conditional,4.0,0.1,N2,0.1,1.5,0.6,1.0,2.0,0.00390625,0.976,0.002,0.022,0.681640625,resolved_trials_only,0.69140625,0.7875703125,simulation_only_no_observed_accuracy_fit,0.9645368449129426,0.9838199476328138,0.000548632102457155,0.007262958889587807,0.014572598673771597,0.03308591637481774
B1,0,V2_EEG_outer_training,1000,conditional,4.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.97,0.003,0.027,0.75390625,resolved_trials_only,0.765625,0.85894921875,simulation_only_no_observed_accuracy_fit,0.95749631851849,0.978906396810303,0.0010207654054443255,0.008783171789427854,0.018621256649289826,0.03899898941343562
B1,1,V2_EEG_outer_training,1000,conditional,4.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.97,0.003,0.027,0.75390625,resolved_trials_only,0.765625,0.85894921875,simulation_only_no_observed_accuracy_fit,0.95749631851849,0.978906396810303,0.0010207654054443255,0.008783171789427854,0.018621256649289826,0.03899898941343562
B1,2,V2_EEG_outer_training,1000,conditional,4.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.97,0.003,0.027,0.75390625,resolved_trials_only,0.765625,0.85894921875,simulation_only_no_observed_accuracy_fit,0.95749631851849,0.978906396810303,0.0010207654054443255,0.008783171789427854,0.018621256649289826,0.03899898941343562
B1,3,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
B1,4,V2_EEG_outer_training,1000,conditional,4.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.97,0.003,0.027,0.75390625,resolved_trials_only,0.765625,0.85894921875,simulation_only_no_observed_accuracy_fit,0.95749631851849,0.978906396810303,0.0010207654054443255,0.008783171789427854,0.018621256649289826,0.03899898941343562
B2,0,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
B2,1,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
B2,2,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
B2,3,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
B2,4,V2_EEG_outer_training,1000,conditional,1.0,0.6,N2,0.4,1.5,0.6,1.0,2.0,0.00390625,0.921,0.006,0.073,0.7578125,resolved_trials_only,0.8046875,0.93929296875,simulation_only_no_observed_accuracy_fit,0.9026247164327947,0.9361530349574647,0.0027526315709082315,0.013028344232445605,0.058458786926264744,0.09080938446651277
