dataset,setting,model,stage,MSE,n,RMSE
A1,past,B0,encoding,13236.765455566077,65,115.05114278252988
A1,past,B0,maintenance,57266.94718049513,65,239.30513404541728
A1,past,B0,retrieval,64259.80533299812,65,253.495178125735
A1,past,N0,encoding,13663.01951225661,65,116.88891954439741
A1,past,N0,maintenance,57084.59651047434,65,238.92382993430007
A1,past,N0,retrieval,64729.24114209701,65,254.41941974247368
A1,past,N1,encoding,14201.76068809719,65,119.1711403322851
A1,past,N1,maintenance,57518.561391801275,65,239.83027622008294
A1,past,N1,retrieval,64726.46582004833,65,254.41396545796837
A1,past,N2,encoding,14923.087410236358,65,122.16008926910769
A1,past,N2,maintenance,57829.48408532687,65,240.4776165993976
A1,past,N2,retrieval,63172.676952464455,65,251.34175330108695
A1,past,N3,encoding,13735.334433051063,65,117.1978431245689
A1,past,N3,maintenance,59569.31541253767,65,244.06825974005235
A1,past,N3,retrieval,62978.788837862405,65,250.95575075670692
A1,stimulus,N0,encoding,14268.788189754636,65,119.45203300804317
A1,stimulus,N0,maintenance,66464.6111438135,65,257.80731398432727
A1,stimulus,N0,retrieval,80963.60988431436,65,284.5410513165268
A1,stimulus,N1,encoding,14464.445233937824,65,120.26822204530099
A1,stimulus,N1,maintenance,67101.09971878178,65,259.0387996397099
A1,stimulus,N1,retrieval,82386.32302817241,65,287.0301779049938
A1,stimulus,N2,encoding,14410.826031717168,65,120.04509999045013
A1,stimulus,N2,maintenance,66942.23246768344,65,258.7319703238922
A1,stimulus,N2,retrieval,81360.14618350125,65,285.23700002541966
A1,stimulus,N2_equal_penalty,encoding,14451.618277082647,65,120.21488375855398
A1,stimulus,N2_equal_penalty,maintenance,66719.0829936779,65,258.30037358408504
A1,stimulus,N2_equal_penalty,retrieval,81244.72126052619,65,285.03459660280924
A1,stimulus,N2_fixed_target,encoding,14416.669454349878,65,120.06943597081597
A1,stimulus,N2_fixed_target,maintenance,66877.20707673817,65,258.60627810774076
A1,stimulus,N2_fixed_target,retrieval,81290.4339742672,65,285.11477333569934
A1,stimulus,N2_no_projection,encoding,14459.286786790457,65,120.24677453799107
A1,stimulus,N2_no_projection,maintenance,67107.43911482645,65,259.0510357339388
A1,stimulus,N2_no_projection,retrieval,82378.82594743384,65,287.0171178648302
A1,stimulus,N2_no_retrieval,encoding,14418.303601254756,65,120.07624078582222
A1,stimulus,N2_no_retrieval,maintenance,66951.08272916276,65,258.7490729049338
A1,stimulus,N2_no_retrieval,retrieval,81390.73579337084,65,285.2906163780555
A1,stimulus,N3,encoding,14208.287848877728,65,119.19852284687813
A1,stimulus,N3,maintenance,68719.8734881167,65,262.1447567435151
A1,stimulus,N3,retrieval,83343.17914974791,65,288.6921875453991
A2,past,B0,encoding,43261.886149035025,68,207.99491856541837
A2,past,B0,maintenance,63007.242553499265,68,251.0124350575072
A2,past,B0,retrieval,77489.30105772291,68,278.3690016106731
A2,past,N0,encoding,43317.85351556969,68,208.12941530588532
A2,past,N0,maintenance,65560.27976948081,68,256.04741703340966
A2,past,N0,retrieval,79540.45721947812,68,282.02917795766825
A2,past,N1,encoding,39764.94640146974,68,199.41150017356003
A2,past,N1,maintenance,62054.45022819282,68,249.1073066535641
A2,past,N1,retrieval,76018.29126219095,68,275.7141477367292
A2,past,N2,encoding,40088.13128151306,68,200.22020697600195
A2,past,N2,maintenance,64420.32811976922,68,253.81159965566826
A2,past,N2,retrieval,78757.10260556206,68,280.6369587306028
A2,past,N3,encoding,40800.88933831251,68,201.99230019560773
A2,past,N3,maintenance,66834.55249723776,68,258.52379483760825
A2,past,N3,retrieval,80470.9778976447,68,283.67406983657264
A2,stimulus,N0,encoding,44498.59775467909,68,210.9469074309436
A2,stimulus,N0,maintenance,103705.89457968008,68,322.0339959999256
A2,stimulus,N0,retrieval,119786.17855086968,68,346.1013992327533
A2,stimulus,N1,encoding,42334.674737371155,68,205.75391791499658
A2,stimulus,N1,maintenance,101653.66068381594,68,318.8317121677452
A2,stimulus,N1,retrieval,118668.93649883875,68,344.48357943280655
A2,stimulus,N2,encoding,42357.91307216085,68,205.81038135176965
A2,stimulus,N2,maintenance,102449.67037682194,68,320.0776005546498
A2,stimulus,N2,retrieval,116236.52095117909,68,340.9347752154055
A2,stimulus,N2_equal_penalty,encoding,42256.86347819011,68,205.56474278968685
A2,stimulus,N2_equal_penalty,maintenance,102438.57220820125,68,320.06026340081837
A2,stimulus,N2_equal_penalty,retrieval,116076.72961705606,68,340.70035165384854
A2,stimulus,N2_fixed_target,encoding,42394.49773271512,68,205.89924170019452
A2,stimulus,N2_fixed_target,maintenance,102300.14041291943,68,319.8439313367059
A2,stimulus,N2_fixed_target,retrieval,116050.4749179208,68,340.6618189905068
A2,stimulus,N2_no_projection,encoding,42341.59489993114,68,205.77073382755657
A2,stimulus,N2_no_projection,maintenance,101651.50887618966,68,318.8283376304397
A2,stimulus,N2_no_projection,retrieval,118503.12876686067,68,344.24283400945427
A2,stimulus,N2_no_retrieval,encoding,42338.0062662632,68,205.76201366205376
A2,stimulus,N2_no_retrieval,maintenance,102374.56403268523,68,319.9602538326991
A2,stimulus,N2_no_retrieval,retrieval,116588.40071128837,68,341.4504366834056
A2,stimulus,N3,encoding,42957.471455882616,68,207.2618427397639
A2,stimulus,N3,maintenance,103309.84226807479,68,321.41848463969023
A2,stimulus,N3,retrieval,116708.70849572851,68,341.62656292467733
B1,past,B0,encoding,16454.571177622744,64,128.27537245170151
B1,past,B0,maintenance,56471.493025728945,64,237.6373140433315
B1,past,B0,retrieval,58461.33591244687,64,241.78779107400536
B1,past,N0,encoding,16386.735330391468,64,128.010684438415
B1,past,N0,maintenance,56788.52561651939,64,238.30343181859425
B1,past,N0,retrieval,58685.51299150488,64,242.25092980524323
B1,past,N1,encoding,16308.892553531485,64,127.70627452686686
B1,past,N1,maintenance,56796.70036174548,64,238.32058316844032
B1,past,N1,retrieval,58848.37750649377,64,242.5868452874017
B1,past,N2,encoding,16386.810685743574,64,128.01097877035224
B1,past,N2,maintenance,56964.19716746189,64,238.67173516665497
B1,past,N2,retrieval,58679.15940114747,64,242.23781579503122
B1,past,N3,encoding,16708.77465269058,64,129.2624255253265
B1,past,N3,maintenance,57287.39592644153,64,239.3478554874506
B1,past,N3,retrieval,59436.1131393649,64,243.7952278847248
B1,stimulus,N0,encoding,26625.013726616653,64,163.17173078268385
B1,stimulus,N0,maintenance,91490.72715490886,64,302.4743413165964
B1,stimulus,N0,retrieval,103076.94122699724,64,321.05597833866483
B1,stimulus,N1,encoding,26443.56363624487,64,162.6147706582796
B1,stimulus,N1,maintenance,91730.74021079892,64,302.8708309012258
B1,stimulus,N1,retrieval,103167.70020167412,64,321.1972917097436
B1,stimulus,N2,encoding,26439.3533952314,64,162.60182469834524
B1,stimulus,N2,maintenance,91742.94667304975,64,302.89098149837633
B1,stimulus,N2,retrieval,103249.61904606041,64,321.32478747532133
B1,stimulus,N2_equal_penalty,encoding,26623.13942496009,64,163.16598734098994
B1,stimulus,N2_equal_penalty,maintenance,91551.69051361874,64,302.57509896489955
B1,stimulus,N2_equal_penalty,retrieval,103078.68529096998,64,321.05869446406524
B1,stimulus,N2_fixed_target,encoding,26439.92234701326,64,162.60357421352478
B1,stimulus,N2_fixed_target,maintenance,91740.59838967056,64,302.887105023754
B1,stimulus,N2_fixed_target,retrieval,103307.63441606937,64,321.41505007710725
B1,stimulus,N2_no_projection,encoding,26441.59393068134,64,162.6087141904804
B1,stimulus,N2_no_projection,maintenance,91734.7318001474,64,302.877420419792
B1,stimulus,N2_no_projection,retrieval,103120.11478611866,64,321.12320810884825
B1,stimulus,N2_no_retrieval,encoding,26442.588177741793,64,162.61177133818384
B1,stimulus,N2_no_retrieval,maintenance,91784.45277974031,64,302.959490327899
B1,stimulus,N2_no_retrieval,retrieval,103244.7291697379,64,321.31717845415284
B1,stimulus,N3,encoding,26935.967926261223,64,164.12180819824408
B1,stimulus,N3,maintenance,91949.09870203993,64,303.23109784789546
B1,stimulus,N3,retrieval,103576.77560827685,64,321.8334594293714
B2,past,B0,encoding,53821.264946884745,71,231.99410541409182
B2,past,B0,maintenance,102769.07669075251,71,320.57616363471647
B2,past,B0,retrieval,90825.03487586025,71,301.37192118022585
B2,past,N0,encoding,53860.00199345122,71,232.07757753271042
B2,past,N0,maintenance,103014.61466154334,71,320.9588987106345
B2,past,N0,retrieval,91336.4346232188,71,302.2191830827732
B2,past,N1,encoding,51658.893477876634,71,227.28592890426947
B2,past,N1,maintenance,102959.67103700044,71,320.87329436554927
B2,past,N1,retrieval,90463.30481301578,71,300.77118348175543
B2,past,N2,encoding,51908.32044218207,71,227.8339756098332
B2,past,N2,maintenance,102907.62775184997,71,320.7921877974119
B2,past,N2,retrieval,89916.69922127097,71,299.86113322881806
B2,past,N3,encoding,52670.58713922122,71,229.50073450693185
B2,past,N3,maintenance,103488.49983406515,71,321.6962850796775
B2,past,N3,retrieval,88879.39232669641,71,298.1264703556134
B2,stimulus,N0,encoding,74154.48706811272,71,272.3132150082194
B2,stimulus,N0,maintenance,209601.4526696546,71,457.82251219184775
B2,stimulus,N0,retrieval,224865.9206287391,71,474.2002958969333
B2,stimulus,N1,encoding,76817.7835312078,71,277.1602127492469
B2,stimulus,N1,maintenance,201789.861640786,71,449.2102643982949
B2,stimulus,N1,retrieval,207068.1997978547,71,455.04746982908796
B2,stimulus,N2,encoding,78161.1738020919,71,279.5731993630504
B2,stimulus,N2,maintenance,202533.05544849444,71,450.03672677737586
B2,stimulus,N2,retrieval,202692.3902985843,71,450.21371624883255
B2,stimulus,N2_equal_penalty,encoding,78168.41837829072,71,279.58615555547584
B2,stimulus,N2_equal_penalty,maintenance,202646.28042359863,71,450.1625044621094
B2,stimulus,N2_equal_penalty,retrieval,202206.3320339664,71,449.67358387386554
B2,stimulus,N2_fixed_target,encoding,78501.54159339501,71,280.18126560031635
B2,stimulus,N2_fixed_target,maintenance,204044.86534508393,71,451.7132556667824
B2,stimulus,N2_fixed_target,retrieval,202307.0919083973,71,449.78560660429906
B2,stimulus,N2_no_projection,encoding,76811.56847724078,71,277.1490004983615
B2,stimulus,N2_no_projection,maintenance,201795.40496699247,71,449.2164344355541
B2,stimulus,N2_no_projection,retrieval,207183.39923828703,71,455.1740318145215
B2,stimulus,N2_no_retrieval,encoding,77654.34734786316,71,278.6652962746943
B2,stimulus,N2_no_retrieval,maintenance,202173.4684836383,71,449.6370408269745
B2,stimulus,N2_no_retrieval,retrieval,204882.6817194929,71,452.6396819982677
B2,stimulus,N3,encoding,76625.88951534958,71,276.8138174212942
B2,stimulus,N3,maintenance,208540.08435243848,71,456.66189281835034
B2,stimulus,N3,retrieval,200104.4065985009,71,447.3303103954626
