dataset,horizon_s,stage,control,S,ci_low,ci_high,n,n_blocks,mode
A1,1.5,encoding,N0,-0.010256941436131317,-0.02443025843616531,0.00029734811216706715,65,5,frozen_V2_common_cohort
A1,1.5,encoding,N1,0.0037046220455864143,-0.009766334007203392,0.02226802097317726,65,5,frozen_V2_common_cohort
A1,1.5,encoding,N3,-0.014664039259054018,-0.05974116795642148,0.004956524386534489,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N0,-0.0073352298559241635,-0.019260610596509187,0.003014131267489062,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N1,0.0023970355573430524,0.0011514801276318876,0.0038900674919774003,65,5,frozen_V2_common_cohort
A1,1.5,maintenance,N3,0.026363855442089634,0.000996426282456997,0.054897797214791155,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N0,-0.00501245324457944,-0.016113264016689666,0.0028345412101270506,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N1,0.012686782254983764,0.0007710410181391847,0.030165622298846825,65,5,frozen_V2_common_cohort
A1,1.5,retrieval,N3,0.02442200094503788,-0.013436673206143501,0.07341248436776407,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N0,-0.010256941436131317,-0.02443025843616531,0.0005566855767833445,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N1,0.0037046220455864143,-0.009766334007203392,0.021453175452436968,65,5,frozen_V2_common_cohort
A1,2.0,encoding,N3,-0.014664039259054018,-0.05974116795642148,0.004956524386534489,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N0,-0.0073352298559241635,-0.019260610596509187,0.003014131267489284,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N1,0.0023970355573430524,0.0011514801276319986,0.0037386389669877896,65,5,frozen_V2_common_cohort
A1,2.0,maintenance,N3,0.026363855442089634,0.000996426282456997,0.054897797214791044,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N0,-0.00501245324457944,-0.01628959052114798,0.0028345412101268286,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N1,0.012686782254983764,0.0007710410181392929,0.030570491452770243,65,5,frozen_V2_common_cohort
A1,2.0,retrieval,N3,0.02442200094503788,-0.01343667320614328,0.07422471145644971,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N0,-0.010256941436131317,-0.02443025843616531,0.0005566855767833445,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N1,0.0037046220455864143,-0.00976633400720317,0.02226802097317726,65,5,frozen_V2_common_cohort
A1,2.5,encoding,N3,-0.014664039259054018,-0.05974116795642148,0.004956524386534711,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N0,-0.0073352298559241635,-0.020226356445002702,0.003014131267489284,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N1,0.0023970355573430524,0.0011514801276319986,0.0039045687851493316,65,5,frozen_V2_common_cohort
A1,2.5,maintenance,N3,0.026363855442089634,0.000996426282456997,0.05814061900710188,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N0,-0.00501245324457944,-0.01611326401668922,0.002840306060638172,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N1,0.012686782254983764,0.0007710410181391819,0.030155241038489655,65,5,frozen_V2_common_cohort
A1,2.5,retrieval,N3,0.02442200094503788,-0.013436673206143501,0.07339165803215664,65,5,frozen_V2_common_cohort
A2,1.5,encoding,N0,0.05283438183585332,-0.051260728104601805,0.2521900011885351,68,5,frozen_V2_common_cohort
A2,1.5,encoding,N1,-0.00016589029544045175,-0.016039240068644878,0.031532643725173615,68,5,frozen_V2_common_cohort
A2,1.5,encoding,N3,0.016339152908491084,-0.023114924890176747,0.11179661245272099,68,5,frozen_V2_common_cohort
A2,1.5,maintenance,N0,0.010913871844284273,-0.014021521222109312,0.0299636510564113,68,5,frozen_V2_common_cohort
A2,1.5,maintenance,N1,-0.008009036149018378,-0.024847145344267574,0.010874326170749793,68,5,frozen_V2_common_cohort
A2,1.5,maintenance,N3,0.006811984885417455,-0.02421893086140625,0.03060442334050606,68,5,frozen_V2_common_cohort
A2,1.5,retrieval,N0,0.028289568256037567,-0.02755359870780394,0.06671136265485311,68,5,frozen_V2_common_cohort
A2,1.5,retrieval,N1,0.020533756746210607,0.00933360927175319,0.029007031232148872,68,5,frozen_V2_common_cohort
A2,1.5,retrieval,N3,0.002552603681039156,-0.010847026438682628,0.011137357794791861,68,5,frozen_V2_common_cohort
A2,2.0,encoding,N0,0.05283438183585332,-0.05126072810460203,0.2521900011885352,68,5,frozen_V2_common_cohort
A2,2.0,encoding,N1,-0.00016589029544045175,-0.016516108215234748,0.031532643725173615,68,5,frozen_V2_common_cohort
A2,2.0,encoding,N3,0.016339152908491084,-0.026944593884090207,0.11179661245272099,68,5,frozen_V2_common_cohort
A2,2.0,maintenance,N0,0.010913871844284273,-0.014021521222109095,0.029963651056411522,68,5,frozen_V2_common_cohort
A2,2.0,maintenance,N1,-0.008009036149018378,-0.024972402072925393,0.010874326170750015,68,5,frozen_V2_common_cohort
A2,2.0,maintenance,N3,0.006811984885417455,-0.02421893086140625,0.03161074062448499,68,5,frozen_V2_common_cohort
A2,2.0,retrieval,N0,0.028330804347564964,-0.027827273310764067,0.06747126219163779,68,5,frozen_V2_common_cohort
A2,2.0,retrieval,N1,0.02009379941955758,0.0082488960260928,0.02900258457956484,68,5,frozen_V2_common_cohort
