dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,2,0,stimulus,1.5,N0,encoding,0,205,423.4312663439814
A1,2,0,stimulus,1.5,N0,encoding,1,205,72258.01790291646
A1,2,0,stimulus,1.5,N0,encoding,2,205,112209.66899327732
A1,2,0,stimulus,1.5,N0,maintenance,0,362,1005.4996766584327
A1,2,0,stimulus,1.5,N0,maintenance,1,362,120751.03054759302
A1,2,0,stimulus,1.5,N0,maintenance,2,362,800577.4562645197
A1,2,0,stimulus,1.5,N0,retrieval,0,277,543.0384691995838
A1,2,0,stimulus,1.5,N0,retrieval,1,277,89595.26555374025
A1,2,0,stimulus,1.5,N0,retrieval,2,277,1196087.2996458376
A1,5,0,stimulus,1.5,N0,encoding,0,205,110.6753596868807
A1,5,0,stimulus,1.5,N0,encoding,1,205,18193.189566749727
A1,5,0,stimulus,1.5,N0,encoding,2,205,43446.07375524641
A1,5,0,stimulus,1.5,N0,maintenance,0,363,270.94241860725396
A1,5,0,stimulus,1.5,N0,maintenance,1,363,7039.062695753526
A1,5,0,stimulus,1.5,N0,maintenance,2,363,95596.91402239079
A1,5,0,stimulus,1.5,N0,retrieval,0,284,729.9179960726165
A1,5,0,stimulus,1.5,N0,retrieval,1,284,29156.39303260631
A1,5,0,stimulus,1.5,N0,retrieval,2,284,42870.41137723393
A1,6,0,stimulus,1.5,N0,encoding,0,205,62.01375598898873
A1,6,0,stimulus,1.5,N0,encoding,1,205,41836.06329876272
A1,6,0,stimulus,1.5,N0,encoding,2,205,81310.15577201021
A1,6,0,stimulus,1.5,N0,maintenance,0,362,941.2836914611247
A1,6,0,stimulus,1.5,N0,maintenance,1,362,57315.24357741242
A1,6,0,stimulus,1.5,N0,maintenance,2,362,44413.85445325849
A1,6,0,stimulus,1.5,N0,retrieval,0,278,2097.2279932757615
A1,6,0,stimulus,1.5,N0,retrieval,1,278,266786.20598811994
A1,6,0,stimulus,1.5,N0,retrieval,2,278,190460.6090807341
A1,7,0,stimulus,1.5,N0,encoding,0,205,68.14533079242254
A1,7,0,stimulus,1.5,N0,encoding,1,205,3689.124470969651
A1,7,0,stimulus,1.5,N0,encoding,2,205,6438.962406792646
A1,7,0,stimulus,1.5,N0,maintenance,0,363,96.01678645712725
A1,7,0,stimulus,1.5,N0,maintenance,1,363,11584.26006083865
A1,7,0,stimulus,1.5,N0,maintenance,2,363,44549.96665784947
A1,7,0,stimulus,1.5,N0,retrieval,0,345,131.36195983022319
A1,7,0,stimulus,1.5,N0,retrieval,1,345,8910.240883105276
A1,7,0,stimulus,1.5,N0,retrieval,2,345,7536.465164299401
A1,8,0,stimulus,1.5,N0,encoding,0,205,73.75706659959607
A1,8,0,stimulus,1.5,N0,encoding,1,205,334.4612377668712
A1,8,0,stimulus,1.5,N0,encoding,2,205,678.212574621445
A1,8,0,stimulus,1.5,N0,maintenance,0,362,176.86037583272588
A1,8,0,stimulus,1.5,N0,maintenance,1,362,18579.785600891908
A1,8,0,stimulus,1.5,N0,maintenance,2,362,49183.501662855444
A1,8,0,stimulus,1.5,N0,retrieval,0,240,1116.2433351230943
A1,8,0,stimulus,1.5,N0,retrieval,1,240,205191.1983152276
A1,8,0,stimulus,1.5,N0,retrieval,2,240,561586.286243209
A1,9,0,stimulus,1.5,N0,encoding,0,205,60.737661806469596
A1,9,0,stimulus,1.5,N0,encoding,1,205,2315.6882658895233
A1,9,0,stimulus,1.5,N0,encoding,2,205,115.70531435163859
A1,9,0,stimulus,1.5,N0,maintenance,0,362,477.0593193353095
A1,9,0,stimulus,1.5,N0,maintenance,1,362,5928.587566277211
A1,9,0,stimulus,1.5,N0,maintenance,2,362,249.95361785190352
A1,9,0,stimulus,1.5,N0,retrieval,0,275,1180.5750558349846
A1,9,0,stimulus,1.5,N0,retrieval,1,275,131847.01254855367
A1,9,0,stimulus,1.5,N0,retrieval,2,275,6939.466107335866
A1,10,0,stimulus,1.5,N0,encoding,0,205,116.59944685234343
A1,10,0,stimulus,1.5,N0,encoding,1,205,500.1104713693948
A1,10,0,stimulus,1.5,N0,encoding,2,205,381.0454762211869
A1,10,0,stimulus,1.5,N0,maintenance,0,362,84.35688274534353
A1,10,0,stimulus,1.5,N0,maintenance,1,362,4875.897232546183
A1,10,0,stimulus,1.5,N0,maintenance,2,362,5516.95650903182
A1,10,0,stimulus,1.5,N0,retrieval,0,371,113.9560272025725
A1,10,0,stimulus,1.5,N0,retrieval,1,371,16768.39111933751
A1,10,0,stimulus,1.5,N0,retrieval,2,371,46386.78812271454
A1,11,0,stimulus,1.5,N0,encoding,0,205,155.03293146381907
A1,11,0,stimulus,1.5,N0,encoding,1,205,101273.08395777145
A1,11,0,stimulus,1.5,N0,encoding,2,205,61271.62483605048
A1,11,0,stimulus,1.5,N0,maintenance,0,362,69.04867465106246
A1,11,0,stimulus,1.5,N0,maintenance,1,362,114983.12548425084
A1,11,0,stimulus,1.5,N0,maintenance,2,362,104901.10201462958
A1,11,0,stimulus,1.5,N0,retrieval,0,276,221.52692987284283
A1,11,0,stimulus,1.5,N0,retrieval,1,276,43898.18184636282
A1,11,0,stimulus,1.5,N0,retrieval,2,276,28043.61312285635
A1,12,0,stimulus,1.5,N0,encoding,0,205,124.23571085744874
A1,12,0,stimulus,1.5,N0,encoding,1,205,187.49361999746606
A1,12,0,stimulus,1.5,N0,encoding,2,205,6491.077999175735
A1,12,0,stimulus,1.5,N0,maintenance,0,363,124.48758576994733
A1,12,0,stimulus,1.5,N0,maintenance,1,363,250.15693635790697
A1,12,0,stimulus,1.5,N0,maintenance,2,363,59634.51751272566
A1,12,0,stimulus,1.5,N0,retrieval,0,249,548.1261311615688
A1,12,0,stimulus,1.5,N0,retrieval,1,249,7070.362968458819
A1,12,0,stimulus,1.5,N0,retrieval,2,249,101691.74098589178
A1,13,0,stimulus,1.5,N0,encoding,0,205,99.68530936987874
A1,13,0,stimulus,1.5,N0,encoding,1,205,770.8089865041953
A1,13,0,stimulus,1.5,N0,encoding,2,205,390.79390865542194
A1,13,0,stimulus,1.5,N0,maintenance,0,362,102.98310656902157
A1,13,0,stimulus,1.5,N0,maintenance,1,362,6479.66420158246
A1,13,0,stimulus,1.5,N0,maintenance,2,362,4692.731689235943
A1,13,0,stimulus,1.5,N0,retrieval,0,267,111.84715179667754
A1,13,0,stimulus,1.5,N0,retrieval,1,267,15519.11273947269
A1,13,0,stimulus,1.5,N0,retrieval,2,267,11258.063332830687
A1,16,0,stimulus,1.5,N0,encoding,0,205,88.94330814397843
A1,16,0,stimulus,1.5,N0,encoding,1,205,27936.330278718673
A1,16,0,stimulus,1.5,N0,encoding,2,205,7823.945754665873
A1,16,0,stimulus,1.5,N0,maintenance,0,362,507.2566203718951
A1,16,0,stimulus,1.5,N0,maintenance,1,362,139981.9782539283
A1,16,0,stimulus,1.5,N0,maintenance,2,362,75338.62443382309
A1,16,0,stimulus,1.5,N0,retrieval,0,233,176.9458512436679
A1,16,0,stimulus,1.5,N0,retrieval,1,233,151241.78938349057
A1,16,0,stimulus,1.5,N0,retrieval,2,233,97879.66595750625
A1,17,0,stimulus,1.5,N0,encoding,0,205,216.6762404994607
A1,17,0,stimulus,1.5,N0,encoding,1,205,20312.523168974687
A1,17,0,stimulus,1.5,N0,encoding,2,205,46044.24572155111
A1,17,0,stimulus,1.5,N0,maintenance,0,363,771.8758666560251
A1,17,0,stimulus,1.5,N0,maintenance,1,363,40248.69061090233
A1,17,0,stimulus,1.5,N0,maintenance,2,363,100977.41472514633
A1,17,0,stimulus,1.5,N0,retrieval,0,334,184.96732129725805
A1,17,0,stimulus,1.5,N0,retrieval,1,334,10062.6992319691
A1,17,0,stimulus,1.5,N0,retrieval,2,334,27643.330752074773
A1,24,1,stimulus,1.5,N0,encoding,0,205,578.1275871145202
A1,24,1,stimulus,1.5,N0,encoding,1,205,884.8265488487295
A1,24,1,stimulus,1.5,N0,encoding,2,205,984.2536796392342
A1,24,1,stimulus,1.5,N0,maintenance,0,362,194.7713060857986
A1,24,1,stimulus,1.5,N0,maintenance,1,362,2053.1454823974545
A1,24,1,stimulus,1.5,N0,maintenance,2,362,4812.891671119244
A1,24,1,stimulus,1.5,N0,retrieval,0,257,1020.5186482411376
A1,24,1,stimulus,1.5,N0,retrieval,1,257,813.4889041295532
A1,24,1,stimulus,1.5,N0,retrieval,2,257,3976.8775272594153
A1,25,1,stimulus,1.5,N0,encoding,0,205,92.44166975970454
A1,25,1,stimulus,1.5,N0,encoding,1,205,2556.3106253738683
A1,25,1,stimulus,1.5,N0,encoding,2,205,3668.080848305329
A1,25,1,stimulus,1.5,N0,maintenance,0,362,92.62379275457178
A1,25,1,stimulus,1.5,N0,maintenance,1,362,46180.72182218909
A1,25,1,stimulus,1.5,N0,maintenance,2,362,237589.7238809794
A1,25,1,stimulus,1.5,N0,retrieval,0,304,78.26738985032674
A1,25,1,stimulus,1.5,N0,retrieval,1,304,75463.74189978039
A1,25,1,stimulus,1.5,N0,retrieval,2,304,525506.2709679016
A1,26,1,stimulus,1.5,N0,encoding,0,205,870.1016796159674
A1,26,1,stimulus,1.5,N0,encoding,1,205,7811.029137709275
A1,26,1,stimulus,1.5,N0,encoding,2,205,4564.45671634666
A1,26,1,stimulus,1.5,N0,maintenance,0,362,503.48812492420916
A1,26,1,stimulus,1.5,N0,maintenance,1,362,47241.265095812116
A1,26,1,stimulus,1.5,N0,maintenance,2,362,22286.98896148036
A1,26,1,stimulus,1.5,N0,retrieval,0,219,33.754811960011246
A1,26,1,stimulus,1.5,N0,retrieval,1,219,27258.09609869945
A1,26,1,stimulus,1.5,N0,retrieval,2,219,100721.68146118616
A1,28,1,stimulus,1.5,N0,encoding,0,205,4033.0479297412485
A1,28,1,stimulus,1.5,N0,encoding,1,205,16497.016397087264
A1,28,1,stimulus,1.5,N0,encoding,2,205,22083.404226149072
A1,28,1,stimulus,1.5,N0,maintenance,0,362,1412.8871717600496
A1,28,1,stimulus,1.5,N0,maintenance,1,362,50218.86622768947
A1,28,1,stimulus,1.5,N0,maintenance,2,362,56582.74773238202
A1,28,1,stimulus,1.5,N0,retrieval,0,214,2606.0314351408524
A1,28,1,stimulus,1.5,N0,retrieval,1,214,15326.010114251621
A1,28,1,stimulus,1.5,N0,retrieval,2,214,16212.03422051097
A1,29,1,stimulus,1.5,N0,encoding,0,205,766.696118909829
A1,29,1,stimulus,1.5,N0,encoding,1,205,2716.9206377629325
A1,29,1,stimulus,1.5,N0,encoding,2,205,6243.991776617042
A1,29,1,stimulus,1.5,N0,maintenance,0,363,1480.054892534684
A1,29,1,stimulus,1.5,N0,maintenance,1,363,10584.463603261102
A1,29,1,stimulus,1.5,N0,maintenance,2,363,23337.240578810157
A1,29,1,stimulus,1.5,N0,retrieval,0,319,2356.716235566388
A1,29,1,stimulus,1.5,N0,retrieval,1,319,77619.49173492755
A1,29,1,stimulus,1.5,N0,retrieval,2,319,143082.50977093156
A1,30,1,stimulus,1.5,N0,encoding,0,205,102.88922259360193
A1,30,1,stimulus,1.5,N0,encoding,1,205,239.045062891471
A1,30,1,stimulus,1.5,N0,encoding,2,205,295.2613017476573
A1,30,1,stimulus,1.5,N0,maintenance,0,362,157.02507973743246
A1,30,1,stimulus,1.5,N0,maintenance,1,362,1124.625631624769
A1,30,1,stimulus,1.5,N0,maintenance,2,362,2876.9514914786077
A1,30,1,stimulus,1.5,N0,retrieval,0,240,120.06725624854813
A1,30,1,stimulus,1.5,N0,retrieval,1,240,963.8319965937642
A1,30,1,stimulus,1.5,N0,retrieval,2,240,7319.283346432991
A1,31,1,stimulus,1.5,N0,encoding,0,205,65.3782580558269
A1,31,1,stimulus,1.5,N0,encoding,1,205,20028.095736650295
A1,31,1,stimulus,1.5,N0,encoding,2,205,52814.95661673173
A1,31,1,stimulus,1.5,N0,maintenance,0,363,475.08599565999685
A1,31,1,stimulus,1.5,N0,maintenance,1,363,82712.80311285424
A1,31,1,stimulus,1.5,N0,maintenance,2,363,312557.6660714422
A1,31,1,stimulus,1.5,N0,retrieval,0,226,116.18660690207855
A1,31,1,stimulus,1.5,N0,retrieval,1,226,83457.60076576742
A1,31,1,stimulus,1.5,N0,retrieval,2,226,351582.31222358136
A1,32,1,stimulus,1.5,N0,encoding,0,205,145.02300520138695
A1,32,1,stimulus,1.5,N0,encoding,1,205,175.14003834934638
A1,32,1,stimulus,1.5,N0,encoding,2,205,2030.6119421102371
A1,32,1,stimulus,1.5,N0,maintenance,0,362,120.43015114843685
A1,32,1,stimulus,1.5,N0,maintenance,1,362,2295.4172882234957
A1,32,1,stimulus,1.5,N0,maintenance,2,362,14046.635045354406
A1,32,1,stimulus,1.5,N0,retrieval,0,313,194.08299908322306
A1,32,1,stimulus,1.5,N0,retrieval,1,313,8862.164779967485
A1,32,1,stimulus,1.5,N0,retrieval,2,313,23521.035443758887
A1,33,1,stimulus,1.5,N0,encoding,0,205,98.38081181847289
A1,33,1,stimulus,1.5,N0,encoding,1,205,1001.2104002523554
A1,33,1,stimulus,1.5,N0,encoding,2,205,114.09386026252504
A1,33,1,stimulus,1.5,N0,maintenance,0,363,135.86547491177814
A1,33,1,stimulus,1.5,N0,maintenance,1,363,4487.066624558801
A1,33,1,stimulus,1.5,N0,maintenance,2,363,243.38735298968876
A1,33,1,stimulus,1.5,N0,retrieval,0,276,211.73222468555443
A1,33,1,stimulus,1.5,N0,retrieval,1,276,6707.966252585305
A1,33,1,stimulus,1.5,N0,retrieval,2,276,332.8518312012544
A1,34,1,stimulus,1.5,N0,encoding,0,205,603.5789221355735
A1,34,1,stimulus,1.5,N0,encoding,1,205,330.9083425320626
A1,34,1,stimulus,1.5,N0,encoding,2,205,705.4091935507558
A1,34,1,stimulus,1.5,N0,maintenance,0,362,306.078621090051
A1,34,1,stimulus,1.5,N0,maintenance,1,362,5122.059875547336
A1,34,1,stimulus,1.5,N0,maintenance,2,362,7777.153781567651
A1,34,1,stimulus,1.5,N0,retrieval,0,377,262.22446625044745
A1,34,1,stimulus,1.5,N0,retrieval,1,377,1539.8021956576774
A1,34,1,stimulus,1.5,N0,retrieval,2,377,5006.844414774089
A1,35,1,stimulus,1.5,N0,encoding,0,205,176.85544242019233
A1,35,1,stimulus,1.5,N0,encoding,1,205,278.93475899300137
A1,35,1,stimulus,1.5,N0,encoding,2,205,276.79135376659013
A1,35,1,stimulus,1.5,N0,maintenance,0,362,309.22313148838373
A1,35,1,stimulus,1.5,N0,maintenance,1,362,355.75963565106053
A1,35,1,stimulus,1.5,N0,maintenance,2,362,171.6355237391098
A1,35,1,stimulus,1.5,N0,retrieval,0,243,239.02634312769314
A1,35,1,stimulus,1.5,N0,retrieval,1,243,1622.142434583696
A1,35,1,stimulus,1.5,N0,retrieval,2,243,2695.5886084661347
A1,37,1,stimulus,1.5,N0,encoding,0,205,993.6895969140041
A1,37,1,stimulus,1.5,N0,encoding,1,205,454.999634635256
A1,37,1,stimulus,1.5,N0,encoding,2,205,871.2350405397584
A1,37,1,stimulus,1.5,N0,maintenance,0,363,1562.7652928336329
A1,37,1,stimulus,1.5,N0,maintenance,1,363,1224.980781994163
A1,37,1,stimulus,1.5,N0,maintenance,2,363,7356.310615104207
A1,37,1,stimulus,1.5,N0,retrieval,0,266,1342.442118705187
A1,37,1,stimulus,1.5,N0,retrieval,1,266,6249.9754444806
A1,37,1,stimulus,1.5,N0,retrieval,2,266,11492.039912934262
A1,44,2,stimulus,1.5,N0,encoding,0,205,183.1586427012636
A1,44,2,stimulus,1.5,N0,encoding,1,205,579.702802676735
A1,44,2,stimulus,1.5,N0,encoding,2,205,853.6540495492901
A1,44,2,stimulus,1.5,N0,maintenance,0,362,783.2084362360155
A1,44,2,stimulus,1.5,N0,maintenance,1,362,991.0635873602699
A1,44,2,stimulus,1.5,N0,maintenance,2,362,1319.9404544831953
A1,44,2,stimulus,1.5,N0,retrieval,0,242,61.19629173920033
A1,44,2,stimulus,1.5,N0,retrieval,1,242,1090.399333907976
A1,44,2,stimulus,1.5,N0,retrieval,2,242,1221.3594601709478
