dataset,held_block,tau_m,train_MSE,held_retrieval_MSE,inner_huber,tau_p,target_duration,direction_penalty,delay
A1,0,0.25,53140.92379115214,91705.76342985658,0.40850353667357764,0.1,0.1,1.0,0.05
A1,0,0.5,53117.3652538884,91700.44791463629,0.40860110062585253,0.1,0.1,1.0,0.05
A1,0,1.0,53086.79212734932,91675.64732236466,0.40862504885662443,0.1,0.1,1.0,0.05
A1,0,2.0,53075.58816167291,91649.91619994323,0.4085956234835002,0.1,0.1,1.0,0.05
A1,0,4.0,53080.54955533228,91638.06590568618,0.40858153196586017,0.1,0.1,1.0,0.05
A1,0,8.0,53088.25225493826,91634.88979468874,0.40858192013772693,0.1,0.1,1.0,0.05
A1,1,0.25,59978.85390391031,41771.74182358664,0.41138165329538906,0.1,0.1,1.0,0.05
A1,1,0.5,59954.760317567234,41727.710240694076,0.41142650527637825,0.1,0.1,1.0,0.05
A1,1,1.0,59930.65120140302,41638.49297510957,0.41143313724071084,0.1,0.1,1.0,0.05
A1,1,2.0,59925.92221592332,41579.60642110577,0.41142222851184496,0.1,0.1,1.0,0.05
A1,1,4.0,59933.13344694388,41567.83321476538,0.4114265837111387,0.1,0.1,1.0,0.05
A1,1,8.0,59940.95746670061,41573.90206831591,0.4114375423407703,0.1,0.1,1.0,0.05
A1,2,0.25,45966.688269712184,114435.86760432973,0.42314838950874156,0.6,0.4,10.0,0.05
A1,2,0.5,45814.01985630332,115123.58742016296,0.4234962412028761,0.3,0.4,10.0,0.05
A1,2,1.0,46594.10987982052,109378.61026798848,0.42339864683209627,0.6,0.4,10.0,0.05
A1,2,2.0,46584.02774773441,109720.65597701477,0.4234219233345605,0.6,0.4,10.0,0.05
A1,2,4.0,46616.83350056055,109752.3940762109,0.4235596152528273,0.6,0.4,10.0,0.05
A1,2,8.0,46644.34481898169,109695.70372461701,0.42366217360293723,0.6,0.4,10.0,0.05
A1,3,0.25,57535.19329547593,39455.77171811923,0.41255515860353653,0.1,0.1,1.0,0.05
A1,3,0.5,57509.24630212741,39427.614787529295,0.4126143138484314,0.1,0.1,1.0,0.05
A1,3,1.0,57482.02650137022,39352.54131217028,0.41261181151045717,0.1,0.1,1.0,0.05
A1,3,2.0,57473.07775342924,39293.21825276866,0.41256534176726234,0.1,0.1,1.0,0.05
A1,3,4.0,57476.424577286154,39276.69251571036,0.41252851934202645,0.1,0.1,1.0,0.05
A1,3,8.0,57481.74226912608,39279.55796701738,0.412508950858991,0.1,0.1,1.0,0.05
A1,4,0.25,47509.46073175635,117109.48760492608,0.4350385765912649,0.1,0.1,1.0,0.05
A1,4,0.5,47501.971983752075,117033.41679886224,0.43515413217778515,0.1,0.1,1.0,0.05
A1,4,1.0,47499.190883360956,116873.49462410164,0.4352208181742885,0.1,0.1,1.0,0.05
A1,4,2.0,47503.663359007805,116772.38495365302,0.43521112796478867,0.1,0.1,1.0,0.05
A1,4,4.0,47509.68872741637,116761.26724115541,0.4351847824930138,0.1,0.1,1.0,0.05
A1,4,8.0,47513.78653765918,116781.44341673254,0.43516550340033944,0.1,0.1,1.0,0.05
A2,0,0.25,89912.98355814202,105033.8015503042,0.44006734788438095,0.6,0.4,1.0,0.05
A2,0,0.5,89798.59102910587,104853.77600110858,0.4396668434425992,0.6,0.4,1.0,0.05
A2,0,1.0,89534.00327186026,105880.93082095051,0.43904219203801903,0.6,0.4,1.0,0.05
A2,0,2.0,90681.8619184558,101605.92234860924,0.4373635833741821,0.1,0.1,10.0,0.05
A2,0,4.0,90656.21784852092,101931.2043615705,0.43735064711228133,0.1,0.1,10.0,0.05
A2,0,8.0,90753.28464143728,101837.57275598357,0.4376591192292159,0.1,0.1,10.0,0.05
A2,1,0.25,89171.31386315625,106492.73324380824,0.44996672714426744,0.6,0.4,10.0,0.05
A2,1,0.5,89141.12968570857,106547.09492188813,0.4497524756871985,0.6,0.4,10.0,0.05
A2,1,1.0,88435.67066103184,107494.16500557812,0.44987032917958636,0.6,0.4,1.0,0.05
A2,1,2.0,88626.99004660675,106209.82982911472,0.4493963711730236,0.6,0.4,1.0,0.05
A2,1,4.0,88581.97526705149,105876.07679704917,0.4495666093067955,0.6,0.4,1.0,0.05
A2,1,8.0,88585.45363686058,105713.29204918645,0.4498403273833041,0.6,0.4,1.0,0.05
A2,2,0.25,77827.1731505248,155229.7171533153,0.446799185735268,0.1,0.1,10.0,0.05
A2,2,0.5,77001.96188022589,149852.60174164726,0.44805417302540895,0.6,0.1,1.0,0.05
A2,2,1.0,77186.63894718238,148843.75657901505,0.4463454367988121,0.1,0.1,1.0,0.05
A2,2,2.0,76846.82003257492,146584.9442020399,0.44595731083614765,0.1,0.1,1.0,0.05
A2,2,4.0,76655.47605660041,145835.14626354305,0.4453883536613986,0.1,0.1,1.0,0.05
A2,2,8.0,76414.28266847864,147705.97601699902,0.4449140818495003,0.3,0.1,1.0,0.05
A2,3,0.25,87629.29281176861,147533.80061925272,0.4461023735753884,0.1,0.1,10.0,0.05
