true_tau_m,seed,noise,tau_m,tau_p,NRMSE,tau_error,exact_tau,exact_dynamics
0.5,31,0.0,0.5,0.3,0.005250155214635926,0.0,True,True
0.5,31,0.5,1.0,0.3,0.06559442989568272,0.5,False,False
0.5,31,1.0,1.0,0.3,0.12263542728384492,0.5,False,False
0.5,47,0.0,0.5,0.3,0.0038396414565085558,0.0,True,True
0.5,47,0.5,0.25,0.3,0.054540726934335836,-0.25,False,False
0.5,47,1.0,0.25,0.3,0.09198902346294702,-0.25,False,False
0.5,83,0.0,0.5,0.3,0.002103101127371933,0.0,True,True
0.5,83,0.5,0.25,0.3,0.05384464193311221,-0.25,False,False
0.5,83,1.0,0.25,0.3,0.09238064970247384,-0.25,False,False
1.0,31,0.0,1.0,0.3,0.002551672938202406,0.0,True,True
1.0,31,0.5,1.0,0.3,0.05955807991852252,0.0,True,True
1.0,31,1.0,2.0,0.3,0.12412692547331614,1.0,False,False
1.0,47,0.0,1.0,0.3,0.002662670285148934,0.0,True,True
1.0,47,0.5,1.0,0.3,0.04629054353109719,0.0,True,True
1.0,47,1.0,0.25,0.3,0.1033900071294629,-0.75,False,False
1.0,83,0.0,1.0,0.3,0.0015332511036026595,0.0,True,True
1.0,83,0.5,1.0,0.3,0.04904275589094392,0.0,True,True
1.0,83,1.0,0.25,0.3,0.10165912288210084,-0.75,False,False
2.0,31,0.0,2.0,0.3,0.0021231076285267497,0.0,True,True
2.0,31,0.5,4.0,0.3,0.061312449501069614,2.0,False,False
2.0,31,1.0,4.0,0.3,0.121943417604781,2.0,False,False
2.0,47,0.0,2.0,0.3,0.0023996373641676197,0.0,True,True
2.0,47,0.5,8.0,0.3,0.04615625839840574,6.0,False,False
2.0,47,1.0,0.25,0.3,0.1002714036238362,-1.75,False,False
2.0,83,0.0,2.0,0.3,0.001487319003674744,0.0,True,True
2.0,83,0.5,4.0,0.3,0.04894625305509849,2.0,False,False
2.0,83,1.0,0.25,0.3,0.09878956886334,-1.75,False,False
