dataset,stage,gap_s,S,ci_low,ci_high,n_blocks
A1,encoding,0.05,-0.014664039259054018,-0.05700305260387384,0.004956524386534489,5
A1,encoding,0.1,-0.014664039259054018,-0.05974116795642148,0.004956524386534494,5
A1,encoding,0.15,-0.014664039259054018,-0.05974116795642148,0.004956524386534489,5
A1,maintenance,0.05,0.026363855442089856,0.000996426282456997,0.055065149616735365,5
A1,maintenance,0.1,0.026363855442089856,0.000996426282456997,0.054897797214791155,5
A1,maintenance,0.15,0.026363855442089856,0.000996426282457108,0.054897797214791155,5
A1,retrieval,0.05,0.023718593498246454,-0.013229380150608261,0.07946511049155502,5
A1,retrieval,0.1,0.02442200094503788,-0.013436673206143501,0.07339165803215697,5
A1,retrieval,0.15,0.025049592659045605,-0.013595485580459865,0.07479618273972544,5
A2,encoding,0.05,0.016339152908490973,-0.019547571428904842,0.09672093224050748,5
A2,encoding,0.1,0.016339152908490973,-0.0232106666150248,0.0967209322405077,5
A2,encoding,0.15,0.016339152908490973,-0.019636755265436855,0.09672093224050748,5
A2,maintenance,0.05,0.006811984885417455,-0.02421893086140625,0.03161074062448499,5
A2,maintenance,0.1,0.006811984885417455,-0.024274572672748736,0.031610740624485,5
A2,maintenance,0.15,0.006811984885417455,-0.02421893086140625,0.03161074062448521,5
A2,retrieval,0.05,0.001991908714465529,-0.014281210860429994,0.011018820002581586,5
A2,retrieval,0.1,0.002224638740931595,-0.013905123637558026,0.011364376214786143,5
A2,retrieval,0.15,0.0025084966738693204,-0.012081697549061632,0.011651564319587582,5
B1,encoding,0.05,0.018699814319797725,-0.000201979513920314,0.03677987297512092,5
B1,encoding,0.1,0.018699814319797725,-0.000201979513920314,0.03676957819274218,5
B1,encoding,0.15,0.018699814319797725,-0.000201979513920314,0.03676957819274196,5
B1,maintenance,0.05,0.002976271092602789,-0.012438128994025854,0.01291852410538652,5
B1,maintenance,0.1,0.002976271092602789,-0.013381522324982464,0.01291852410538652,5
B1,maintenance,0.15,0.002976271092602789,-0.013381522324982686,0.01291852410538652,5
B1,retrieval,0.05,0.0033126324740044844,-0.0027220375583649815,0.015397734627532467,5
B1,retrieval,0.1,0.003391973548084626,-0.002962762333014296,0.014793116092646441,5
B1,retrieval,0.15,0.0034076949900728737,-0.0028994553479118057,0.016348538103951205,5
B2,encoding,0.05,-0.0205128089382014,-0.04946031837961429,0.008406844989594653,5
B2,encoding,0.1,-0.0205128089382014,-0.04929128161835217,0.008406844989594653,5
B2,encoding,0.15,-0.0205128089382014,-0.04929550753738372,0.008406844989594653,5
B2,maintenance,0.05,0.027589113375743102,-0.002662394194379525,0.07195881288752447,5
B2,maintenance,0.1,0.027589113375743102,-0.0024921476569970125,0.07209526025388902,5
B2,maintenance,0.15,0.027589113375743102,-0.0024921476569970125,0.07195531423710488,5
B2,retrieval,0.05,-0.018434561245143755,-0.05732166109332493,0.025772393170778736,5
B2,retrieval,0.1,-0.014779299978844307,-0.054725356015929316,0.02796606120598688,5
B2,retrieval,0.15,-0.011252239831929689,-0.05097504982229584,0.032580782782550055,5
