dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,2,0,N2,encoding,205,61264.32187724175,0.05,frozen_V2_new_scoring_window
A1,2,0,N2,maintenance,362,308069.5926828264,0.05,frozen_V2_new_scoring_window
A1,2,0,N2,retrieval,290,426552.02451604494,0.05,frozen_V2_new_scoring_window
A1,5,0,N2,encoding,205,20799.236333785782,0.05,frozen_V2_new_scoring_window
A1,5,0,N2,maintenance,363,34103.73401231845,0.05,frozen_V2_new_scoring_window
A1,5,0,N2,retrieval,297,24509.472860768965,0.05,frozen_V2_new_scoring_window
A1,6,0,N2,encoding,205,40158.25148421367,0.05,frozen_V2_new_scoring_window
A1,6,0,N2,maintenance,362,33570.91549121926,0.05,frozen_V2_new_scoring_window
A1,6,0,N2,retrieval,291,151394.76916362063,0.05,frozen_V2_new_scoring_window
A1,7,0,N2,encoding,205,3697.6879015067375,0.05,frozen_V2_new_scoring_window
A1,7,0,N2,maintenance,363,18515.05460284911,0.05,frozen_V2_new_scoring_window
A1,7,0,N2,retrieval,358,5206.2014387770605,0.05,frozen_V2_new_scoring_window
A1,8,0,N2,encoding,205,285.1714929228124,0.05,frozen_V2_new_scoring_window
A1,8,0,N2,maintenance,362,22999.846766650426,0.05,frozen_V2_new_scoring_window
A1,8,0,N2,retrieval,253,258497.7606750089,0.05,frozen_V2_new_scoring_window
A1,9,0,N2,encoding,205,870.1680547136103,0.05,frozen_V2_new_scoring_window
A1,9,0,N2,maintenance,362,2187.7691538017466,0.05,frozen_V2_new_scoring_window
A1,9,0,N2,retrieval,288,48454.46252399011,0.05,frozen_V2_new_scoring_window
A1,10,0,N2,encoding,205,340.4433811561049,0.05,frozen_V2_new_scoring_window
A1,10,0,N2,maintenance,362,3437.390510792903,0.05,frozen_V2_new_scoring_window
A1,10,0,N2,retrieval,384,21325.560311269503,0.05,frozen_V2_new_scoring_window
A1,11,0,N2,encoding,205,54618.58436452583,0.05,frozen_V2_new_scoring_window
A1,11,0,N2,maintenance,362,72921.40449307286,0.05,frozen_V2_new_scoring_window
A1,11,0,N2,retrieval,289,28576.486222638632,0.05,frozen_V2_new_scoring_window
A1,12,0,N2,encoding,205,2307.753874480983,0.05,frozen_V2_new_scoring_window
A1,12,0,N2,maintenance,363,19891.300681166525,0.05,frozen_V2_new_scoring_window
A1,12,0,N2,retrieval,262,36644.56800841965,0.05,frozen_V2_new_scoring_window
A1,13,0,N2,encoding,205,331.6483787215379,0.05,frozen_V2_new_scoring_window
A1,13,0,N2,maintenance,362,3890.9259260306803,0.05,frozen_V2_new_scoring_window
A1,13,0,N2,retrieval,280,9498.719662431648,0.05,frozen_V2_new_scoring_window
A1,16,0,N2,encoding,205,12529.392153574323,0.05,frozen_V2_new_scoring_window
A1,16,0,N2,maintenance,362,71399.75994037416,0.05,frozen_V2_new_scoring_window
A1,16,0,N2,retrieval,246,80827.09846505872,0.05,frozen_V2_new_scoring_window
A1,17,0,N2,encoding,205,21973.639680365242,0.05,frozen_V2_new_scoring_window
A1,17,0,N2,maintenance,363,47637.07209180338,0.05,frozen_V2_new_scoring_window
A1,17,0,N2,retrieval,347,12107.234849904358,0.05,frozen_V2_new_scoring_window
A1,24,1,N2,encoding,205,733.0443758087973,0.05,frozen_V2_new_scoring_window
A1,24,1,N2,maintenance,362,2537.9047679044597,0.05,frozen_V2_new_scoring_window
A1,24,1,N2,retrieval,270,1985.0277710230607,0.05,frozen_V2_new_scoring_window
A1,25,1,N2,encoding,205,2281.4611448404694,0.05,frozen_V2_new_scoring_window
A1,25,1,N2,maintenance,362,93507.35930211002,0.05,frozen_V2_new_scoring_window
A1,25,1,N2,retrieval,317,199160.36455984344,0.05,frozen_V2_new_scoring_window
A1,26,1,N2,encoding,205,4226.165343169883,0.05,frozen_V2_new_scoring_window
A1,26,1,N2,maintenance,362,23766.76886255205,0.05,frozen_V2_new_scoring_window
A1,26,1,N2,retrieval,232,42491.631704626285,0.05,frozen_V2_new_scoring_window
A1,28,1,N2,encoding,205,13662.59449597791,0.05,frozen_V2_new_scoring_window
A1,28,1,N2,maintenance,362,36814.903633147835,0.05,frozen_V2_new_scoring_window
A1,28,1,N2,retrieval,227,10680.910045213563,0.05,frozen_V2_new_scoring_window
A1,29,1,N2,encoding,205,3493.153741491436,0.05,frozen_V2_new_scoring_window
A1,29,1,N2,maintenance,363,12121.77789886656,0.05,frozen_V2_new_scoring_window
A1,29,1,N2,retrieval,332,80857.81486097665,0.05,frozen_V2_new_scoring_window
A1,30,1,N2,encoding,205,232.5758530097112,0.05,frozen_V2_new_scoring_window
A1,30,1,N2,maintenance,362,1392.4652073166133,0.05,frozen_V2_new_scoring_window
A1,30,1,N2,retrieval,253,2855.6661897162717,0.05,frozen_V2_new_scoring_window
A1,31,1,N2,encoding,205,25094.465228675304,0.05,frozen_V2_new_scoring_window
A1,31,1,N2,maintenance,363,130575.32526397966,0.05,frozen_V2_new_scoring_window
A1,31,1,N2,retrieval,239,143213.60682055072,0.05,frozen_V2_new_scoring_window
A1,32,1,N2,encoding,205,699.5766918845786,0.05,frozen_V2_new_scoring_window
A1,32,1,N2,maintenance,362,5704.989066190019,0.05,frozen_V2_new_scoring_window
A1,32,1,N2,retrieval,326,11100.541180209017,0.05,frozen_V2_new_scoring_window
A1,33,1,N2,encoding,205,453.8677563489624,0.05,frozen_V2_new_scoring_window
A1,33,1,N2,maintenance,363,1579.003692496774,0.05,frozen_V2_new_scoring_window
A1,33,1,N2,retrieval,289,2422.3561348457506,0.05,frozen_V2_new_scoring_window
A1,34,1,N2,encoding,205,641.0957784840944,0.05,frozen_V2_new_scoring_window
A1,34,1,N2,maintenance,362,4132.125916325799,0.05,frozen_V2_new_scoring_window
A1,34,1,N2,retrieval,390,2188.3915239592034,0.05,frozen_V2_new_scoring_window
A1,35,1,N2,encoding,205,291.01430181985273,0.05,frozen_V2_new_scoring_window
A1,35,1,N2,maintenance,362,289.0564734080325,0.05,frozen_V2_new_scoring_window
A1,35,1,N2,retrieval,256,1531.3906971786575,0.05,frozen_V2_new_scoring_window
A1,37,1,N2,encoding,205,812.0837375139452,0.05,frozen_V2_new_scoring_window
A1,37,1,N2,maintenance,363,3209.6054482776613,0.05,frozen_V2_new_scoring_window
A1,37,1,N2,retrieval,279,6773.610135114753,0.05,frozen_V2_new_scoring_window
A1,44,2,N2,encoding,205,855.8157629590842,0.05,frozen_V2_new_scoring_window
A1,44,2,N2,maintenance,362,1423.6001495222397,0.05,frozen_V2_new_scoring_window
A1,44,2,N2,retrieval,255,266.81995733901914,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,encoding,205,5939.776455320579,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,maintenance,363,10211.776462979513,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,retrieval,236,19557.069864001718,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,encoding,205,688.3055159805944,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,maintenance,362,1545.2970062944792,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,retrieval,326,14077.655878609401,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,encoding,205,482.0434777091352,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,maintenance,362,2308.0570163020916,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,retrieval,311,3151.500100691693,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,encoding,205,6472.229361305952,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,maintenance,363,3191.907107435408,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,retrieval,268,14088.167082260728,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,encoding,205,5655.555270368942,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,maintenance,362,35072.254081932566,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,retrieval,248,6011.445952929634,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,encoding,205,29554.60020518871,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,maintenance,362,351066.6294781494,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,retrieval,286,124371.06418509658,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,encoding,205,29705.7803057925,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,maintenance,363,588299.9697148018,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,retrieval,302,764189.9082237253,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,encoding,205,52390.54018059517,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,maintenance,362,279992.62197907973,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,retrieval,252,243452.456285973,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,encoding,205,36497.246567915405,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,maintenance,363,155675.44059502642,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,retrieval,286,190246.33267906122,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,encoding,205,1746.1287359772575,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,maintenance,362,2374.33442490431,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,retrieval,263,2500.37435382846,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,encoding,205,4047.2661491934164,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,maintenance,363,4489.038723413936,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,retrieval,295,4039.9942832244415,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,encoding,205,1175.2535150169276,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,maintenance,362,6232.125322811873,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,retrieval,298,1965.2947035958477,0.05,frozen_V2_new_scoring_window
A1,64,3,N2,encoding,205,12059.41215334509,0.05,frozen_V2_new_scoring_window
A1,64,3,N2,maintenance,362,54825.14500605357,0.05,frozen_V2_new_scoring_window
