dataset,stage,S,ci_low,ci_high,n_blocks
A1,encoding,-0.02048847495770989,-0.08042386462484408,0.007447004773251553,5
A1,maintenance,0.02573560880003134,0.0002831434646834996,0.056708592186295426,5
A1,retrieval,0.011161485794952686,-0.015333555492505146,0.043129856685185874,5
A2,encoding,0.014614937442617215,-0.02585999803011063,0.09719546900249679,5
A2,maintenance,0.0052481282368118665,-0.02399894105678957,0.028152447601824115,5
A2,retrieval,-0.0004677474941925386,-0.013673161691406088,0.008326832035418064,5
B1,encoding,0.018420118363000948,-0.0001564966513025734,0.036401698250375536,5
B1,maintenance,0.0027370571280100897,-0.013369403838053084,0.013053210356864686,5
B1,retrieval,0.0034199032603956514,-0.002971847445146558,0.014951305266658665,5
B2,encoding,-0.01544891416549099,-0.042338872027511076,0.012801364326271103,5
B2,maintenance,0.024770592862621066,-0.003946430034471087,0.06584876353149838,5
B2,retrieval,-0.017304539610532688,-0.054080741204951106,0.025011302302223926,5
