dataset,trial_id,block,model,stage,n_samples,MSE,identity
A1,2,0,N2,encoding,205,60824.08870957065,new_nested_refit
A1,2,0,N2,maintenance,362,308771.47396955494,new_nested_refit
A1,2,0,N2,retrieval,277,428360.91545210313,new_nested_refit
A1,5,0,N2,encoding,205,21058.48809544003,new_nested_refit
A1,5,0,N2,maintenance,363,33906.70404710507,new_nested_refit
A1,5,0,N2,retrieval,284,24343.73333948847,new_nested_refit
A1,6,0,N2,encoding,205,40547.62440320097,new_nested_refit
A1,6,0,N2,maintenance,362,34042.1869683476,new_nested_refit
A1,6,0,N2,retrieval,278,152806.05065895632,new_nested_refit
A1,7,0,N2,encoding,205,3550.028695886364,new_nested_refit
A1,7,0,N2,maintenance,363,18490.635502599816,new_nested_refit
A1,7,0,N2,retrieval,345,5460.112029795971,new_nested_refit
A1,8,0,N2,encoding,205,325.49034758831215,new_nested_refit
A1,8,0,N2,maintenance,362,22694.185694466043,new_nested_refit
A1,8,0,N2,retrieval,240,256678.30943638558,new_nested_refit
A1,9,0,N2,encoding,205,889.4898173209227,new_nested_refit
A1,9,0,N2,maintenance,362,2158.895926503863,new_nested_refit
A1,9,0,N2,retrieval,275,46757.75892821467,new_nested_refit
A1,10,0,N2,encoding,205,338.01943287653876,new_nested_refit
A1,10,0,N2,maintenance,362,3364.556613177611,new_nested_refit
A1,10,0,N2,retrieval,371,21079.98637132992,new_nested_refit
A1,11,0,N2,encoding,205,54997.35234175092,new_nested_refit
A1,11,0,N2,maintenance,362,72596.59453703329,new_nested_refit
A1,11,0,N2,retrieval,276,24138.68663814573,new_nested_refit
A1,12,0,N2,encoding,205,2391.227036684988,new_nested_refit
A1,12,0,N2,maintenance,363,19738.4321854698,new_nested_refit
A1,12,0,N2,retrieval,249,36567.22051062913,new_nested_refit
A1,13,0,N2,encoding,205,377.0333310089242,new_nested_refit
A1,13,0,N2,maintenance,362,3888.4777510198223,new_nested_refit
A1,13,0,N2,retrieval,267,9055.569845531243,new_nested_refit
A1,16,0,N2,encoding,205,12258.043891309588,new_nested_refit
A1,16,0,N2,maintenance,362,71346.59074713907,new_nested_refit
A1,16,0,N2,retrieval,233,82650.68256328239,new_nested_refit
A1,17,0,N2,encoding,205,21709.018797301258,new_nested_refit
A1,17,0,N2,maintenance,363,47907.40686946478,new_nested_refit
A1,17,0,N2,retrieval,334,12570.135384416633,new_nested_refit
A1,24,1,N2,encoding,205,755.2837927906513,new_nested_refit
A1,24,1,N2,maintenance,362,2504.658565608069,new_nested_refit
A1,24,1,N2,retrieval,257,1963.3785672733006,new_nested_refit
A1,25,1,N2,encoding,205,2225.731022706037,new_nested_refit
A1,25,1,N2,maintenance,362,93808.88472575032,new_nested_refit
A1,25,1,N2,retrieval,304,200245.20983725178,new_nested_refit
A1,26,1,N2,encoding,205,4214.391550854049,new_nested_refit
A1,26,1,N2,maintenance,362,23801.85682400755,new_nested_refit
A1,26,1,N2,retrieval,219,42606.48350020046,new_nested_refit
A1,28,1,N2,encoding,205,13809.79411347446,new_nested_refit
A1,28,1,N2,maintenance,362,36706.457817232375,new_nested_refit
A1,28,1,N2,retrieval,214,11259.56459246808,new_nested_refit
A1,29,1,N2,encoding,205,3445.2725729243693,new_nested_refit
A1,29,1,N2,maintenance,363,11979.15415496711,new_nested_refit
A1,29,1,N2,retrieval,319,74260.41327339859,new_nested_refit
A1,30,1,N2,encoding,205,230.38725616161597,new_nested_refit
A1,30,1,N2,maintenance,362,1388.6020025912728,new_nested_refit
A1,30,1,N2,retrieval,240,2802.696373460637,new_nested_refit
A1,31,1,N2,encoding,205,24905.80384526168,new_nested_refit
A1,31,1,N2,maintenance,363,130859.72056409698,new_nested_refit
A1,31,1,N2,retrieval,226,144716.2776862972,new_nested_refit
A1,32,1,N2,encoding,205,696.4007935793552,new_nested_refit
A1,32,1,N2,maintenance,362,5717.2621598061205,new_nested_refit
A1,32,1,N2,retrieval,313,10857.648920462507,new_nested_refit
A1,33,1,N2,encoding,205,459.42506365585143,new_nested_refit
A1,33,1,N2,maintenance,363,1568.8260166878738,new_nested_refit
A1,33,1,N2,retrieval,276,2430.015638289691,new_nested_refit
A1,34,1,N2,encoding,205,617.6050628425048,new_nested_refit
A1,34,1,N2,maintenance,362,4197.354305589583,new_nested_refit
A1,34,1,N2,retrieval,377,2260.630566379708,new_nested_refit
A1,35,1,N2,encoding,205,294.97330776168144,new_nested_refit
A1,35,1,N2,maintenance,362,285.7379526219691,new_nested_refit
A1,35,1,N2,retrieval,243,1504.8641837449024,new_nested_refit
A1,37,1,N2,encoding,205,798.1353885176186,new_nested_refit
A1,37,1,N2,maintenance,363,3249.6921662084033,new_nested_refit
A1,37,1,N2,retrieval,266,6353.718743812947,new_nested_refit
A1,44,2,N2,encoding,205,737.1962032641422,new_nested_refit
A1,44,2,N2,maintenance,362,1329.8108605323625,new_nested_refit
A1,44,2,N2,retrieval,242,1126.0922946605335,new_nested_refit
A1,45,2,N2,encoding,205,4647.702789688648,new_nested_refit
A1,45,2,N2,maintenance,363,11007.340652050903,new_nested_refit
A1,45,2,N2,retrieval,223,15964.020038052224,new_nested_refit
A1,47,2,N2,encoding,205,1256.4597600197028,new_nested_refit
A1,47,2,N2,maintenance,362,1050.64789747013,new_nested_refit
A1,47,2,N2,retrieval,313,10508.31075928685,new_nested_refit
A1,48,2,N2,encoding,205,437.41736549350446,new_nested_refit
A1,48,2,N2,maintenance,362,2191.295441100479,new_nested_refit
A1,48,2,N2,retrieval,298,5731.842399245168,new_nested_refit
A1,49,2,N2,encoding,205,8142.877638414211,new_nested_refit
A1,49,2,N2,maintenance,363,2892.2318021972574,new_nested_refit
A1,49,2,N2,retrieval,255,19407.686497566672,new_nested_refit
A1,50,2,N2,encoding,205,7105.277596221964,new_nested_refit
A1,50,2,N2,maintenance,362,32266.42058003765,new_nested_refit
A1,50,2,N2,retrieval,235,4695.598503669392,new_nested_refit
A1,51,2,N2,encoding,205,30492.551026944446,new_nested_refit
A1,51,2,N2,maintenance,362,349359.66300055786,new_nested_refit
A1,51,2,N2,retrieval,273,128663.39809271565,new_nested_refit
A1,52,2,N2,encoding,205,29151.40836498164,new_nested_refit
A1,52,2,N2,maintenance,363,587088.0849627594,new_nested_refit
A1,52,2,N2,retrieval,289,809323.2195825813,new_nested_refit
A1,53,2,N2,encoding,205,51461.62790197649,new_nested_refit
A1,53,2,N2,maintenance,362,279316.731763966,new_nested_refit
A1,53,2,N2,retrieval,239,267407.19991287636,new_nested_refit
A1,54,2,N2,encoding,205,39757.37461048814,new_nested_refit
A1,54,2,N2,maintenance,363,162199.73028535006,new_nested_refit
A1,54,2,N2,retrieval,273,211014.8930820416,new_nested_refit
A1,55,2,N2,encoding,205,1548.0216920187136,new_nested_refit
A1,55,2,N2,maintenance,362,2471.812446769869,new_nested_refit
A1,55,2,N2,retrieval,250,2801.1381841458965,new_nested_refit
A1,56,2,N2,encoding,205,5259.439908984369,new_nested_refit
A1,56,2,N2,maintenance,363,5656.231141446655,new_nested_refit
A1,56,2,N2,retrieval,282,7043.173995513122,new_nested_refit
A1,57,2,N2,encoding,205,1451.0165600239277,new_nested_refit
A1,57,2,N2,maintenance,362,7509.8690463401035,new_nested_refit
A1,57,2,N2,retrieval,285,3979.705513931714,new_nested_refit
A1,64,3,N2,encoding,205,12093.494069277729,new_nested_refit
A1,64,3,N2,maintenance,362,54788.36002523158,new_nested_refit
A1,64,3,N2,retrieval,222,240754.66606037295,new_nested_refit
A1,65,3,N2,encoding,205,350.3598806701932,new_nested_refit
A1,65,3,N2,maintenance,363,5253.642255208362,new_nested_refit
A1,65,3,N2,retrieval,297,23720.164295493585,new_nested_refit
A1,66,3,N2,encoding,205,18574.55859263948,new_nested_refit
A1,66,3,N2,maintenance,362,62344.21321891953,new_nested_refit
A1,66,3,N2,retrieval,250,8629.215792643285,new_nested_refit
A1,67,3,N2,encoding,205,2249.682066832243,new_nested_refit
A1,67,3,N2,maintenance,363,31175.509970980434,new_nested_refit
A1,67,3,N2,retrieval,280,55452.17393477998,new_nested_refit
A1,68,3,N2,encoding,205,1128.2248850152175,new_nested_refit
A1,68,3,N2,maintenance,362,3774.030724569886,new_nested_refit
A1,68,3,N2,retrieval,239,794.0681565230208,new_nested_refit
A1,69,3,N2,encoding,205,653.5386974489318,new_nested_refit
A1,69,3,N2,maintenance,363,660.9331082033647,new_nested_refit
A1,69,3,N2,retrieval,273,544.5794790192218,new_nested_refit
A1,70,3,N2,encoding,205,6378.663512149231,new_nested_refit
A1,70,3,N2,maintenance,362,12306.033596716701,new_nested_refit
A1,70,3,N2,retrieval,255,4108.358983516431,new_nested_refit
A1,71,3,N2,encoding,205,1419.2773556125735,new_nested_refit
A1,71,3,N2,maintenance,362,2370.551114878836,new_nested_refit
A1,71,3,N2,retrieval,252,5407.406362423757,new_nested_refit
A1,72,3,N2,encoding,205,236.2662961315524,new_nested_refit
A1,72,3,N2,maintenance,362,1746.4005523038513,new_nested_refit
A1,72,3,N2,retrieval,197,5468.7613270609945,new_nested_refit
A1,73,3,N2,encoding,205,59547.903732626466,new_nested_refit
A1,73,3,N2,maintenance,362,190083.62389884228,new_nested_refit
A1,73,3,N2,retrieval,289,99942.47073334646,new_nested_refit
A1,74,3,N2,encoding,205,39437.61788421323,new_nested_refit
A1,74,3,N2,maintenance,362,49362.65565319723,new_nested_refit
A1,74,3,N2,retrieval,236,3319.282910211609,new_nested_refit
A1,75,3,N2,encoding,205,55225.479270384494,new_nested_refit
A1,75,3,N2,maintenance,362,297963.15567711886,new_nested_refit
A1,75,3,N2,retrieval,251,32986.22535246165,new_nested_refit
A1,76,3,N2,encoding,205,2264.832470921574,new_nested_refit
A1,76,3,N2,maintenance,363,7782.8235059457975,new_nested_refit
A1,76,3,N2,retrieval,225,31797.65894769704,new_nested_refit
A1,84,4,N2,encoding,205,56099.059620756576,new_nested_refit
A1,84,4,N2,maintenance,362,41094.45867966922,new_nested_refit
A1,84,4,N2,retrieval,240,18583.892551968256,new_nested_refit
A1,85,4,N2,encoding,205,38766.27911832627,new_nested_refit
A1,85,4,N2,maintenance,362,49372.04027671597,new_nested_refit
A1,85,4,N2,retrieval,240,5013.3222141627375,new_nested_refit
A1,86,4,N2,encoding,205,1977.4823342939455,new_nested_refit
A1,86,4,N2,maintenance,362,18186.583410458934,new_nested_refit
A1,86,4,N2,retrieval,244,20522.477055943033,new_nested_refit
A1,87,4,N2,encoding,205,4407.617633016266,new_nested_refit
A1,87,4,N2,maintenance,363,19251.10444088054,new_nested_refit
A1,87,4,N2,retrieval,299,16413.830107186,new_nested_refit
A1,89,4,N2,encoding,205,731.4675370403678,new_nested_refit
A1,89,4,N2,maintenance,363,20058.311612919202,new_nested_refit
A1,89,4,N2,retrieval,252,91436.03841116035,new_nested_refit
A1,90,4,N2,encoding,205,854.4136067235831,new_nested_refit
A1,90,4,N2,maintenance,362,2871.882253056058,new_nested_refit
A1,90,4,N2,retrieval,234,2009.7979582727394,new_nested_refit
A1,91,4,N2,encoding,205,7221.176787237983,new_nested_refit
A1,91,4,N2,maintenance,363,88262.03459921628,new_nested_refit
A1,91,4,N2,retrieval,327,295582.830776829,new_nested_refit
A1,92,4,N2,encoding,205,39994.592524819265,new_nested_refit
A1,92,4,N2,maintenance,362,175113.171963987,new_nested_refit
A1,92,4,N2,retrieval,227,189093.43564115738,new_nested_refit
A1,93,4,N2,encoding,205,1297.5444607710986,new_nested_refit
A1,93,4,N2,maintenance,363,1437.1680127497311,new_nested_refit
A1,93,4,N2,retrieval,308,2540.251285522121,new_nested_refit
A1,94,4,N2,encoding,205,394.2034935885921,new_nested_refit
A1,94,4,N2,maintenance,362,799.8626784940358,new_nested_refit
A1,94,4,N2,retrieval,296,495.48382502102413,new_nested_refit
A1,95,4,N2,encoding,205,2855.2527666300657,new_nested_refit
A1,95,4,N2,maintenance,363,8703.064466626365,new_nested_refit
A1,95,4,N2,retrieval,297,880.2835563476694,new_nested_refit
A1,96,4,N2,encoding,205,862.6304764265043,new_nested_refit
A1,96,4,N2,maintenance,362,2279.864577085409,new_nested_refit
A1,96,4,N2,retrieval,221,2276.479470532751,new_nested_refit
A1,97,4,N2,encoding,205,67130.94941749074,new_nested_refit
A1,97,4,N2,maintenance,363,172721.56985243407,new_nested_refit
A1,97,4,N2,retrieval,207,13533.318766250088,new_nested_refit
A1,98,4,N2,encoding,205,64611.438739550744,new_nested_refit
A1,98,4,N2,maintenance,362,623471.8253174977,new_nested_refit
A1,98,4,N2,retrieval,275,1071042.282036289,new_nested_refit
A1,99,4,N2,encoding,205,2054.1481851933204,new_nested_refit
A1,99,4,N2,maintenance,363,11534.126308573994,new_nested_refit
A1,99,4,N2,retrieval,318,27218.590417248804,new_nested_refit
A1,2,0,N3,encoding,205,61864.926715190864,new_nested_refit
A1,2,0,N3,maintenance,362,307406.7541121282,new_nested_refit
A1,2,0,N3,retrieval,277,427000.8607540198,new_nested_refit
A1,5,0,N3,encoding,205,20424.34437389655,new_nested_refit
A1,5,0,N3,maintenance,363,34294.26120132384,new_nested_refit
A1,5,0,N3,retrieval,284,24554.283956997588,new_nested_refit
A1,6,0,N3,encoding,205,39742.915399627636,new_nested_refit
A1,6,0,N3,maintenance,362,33611.99424124066,new_nested_refit
