dataset,stage,S,ci_low,ci_high
A1,encoding,-0.005740260296313471,-0.022157752490188372,0.002781556850223188
A1,maintenance,-0.0006452581342319963,-0.0015204252882174973,0.0008001257473191359
A1,retrieval,-0.013592470476917917,-0.033587907514989856,-0.0007222596888634136
A2,encoding,-0.0017528556422388153,-0.0044305586054465,0.00030146054524493593
A2,maintenance,-0.0015745826820363629,-0.004412580580184011,-1.4648106464232313e-05
A2,retrieval,-0.002698389176223781,-0.008692821064214762,0.0010526827807997297
B1,encoding,-0.00028502588797851836,-0.0007728152610566585,0.00014532205538275722
B1,maintenance,-0.00023992805552897067,-0.0005411996381432527,2.783561889818653e-05
B1,retrieval,2.8024771595025477e-05,-3.0334182042013325e-05,0.00016371175269014326
B2,encoding,0.00496210799938801,-2.220446049250313e-16,0.012018925542599423
B2,maintenance,-0.00289848720524577,-0.007896633498940986,0.0
B2,retrieval,-0.0024884619066836144,-0.006813771125652179,0.0
