dataset,held_block,model,active_rank,effective_condition,max_column_cosine,edf,singular_values
A1,0,N2,8,14.069391750677738,0.9332004115099766,0.6544822015543631,"[1.6538231568056891, 1.6307185052881426, 1.3622720772292811, 0.5476548864069549, 0.5385242598265978, 0.36280264264676987, 0.12026413682725912, 0.117547594530945, 1.3011164069494615e-17]"
A1,0,N3,9,25.380178261629773,0.9943773326679263,0.7620972744708749,"[1.6355318904943894, 1.5871665512210422, 1.0474474376173122, 1.0104526446244821, 0.9544065826615317, 0.635808536459968, 0.6033071150073132, 0.06708587759300991, 0.06444130823805194]"
A1,1,N2,8,15.718302919433711,0.9332414924748358,0.6532734981035372,"[1.7434011699385121, 1.535357218044897, 1.3619329156496118, 0.5767417749399706, 0.5070597021295734, 0.3610717498815757, 0.1263078208084178, 0.11091535637622908, 3.144122518603544e-18]"
A1,1,N3,9,28.03099390222568,0.9943711699811146,0.7607810842851306,"[1.7162303742756553, 1.4968055450506976, 1.0895226726359826, 0.987059947736277, 0.9362501306024699, 0.6595957073639241, 0.5766266954166038, 0.07001195771807978, 0.061226169156256185]"
A1,2,N2,8,9.753859624215558,0.9237886990181893,4.879885383067442,"[1.6181367584858164, 1.500937139338711, 1.2276951075994929, 0.7539447247759151, 0.7116503924866311, 0.6954876375014263, 0.1883667582118551, 0.16589707262841125, 4.226813756055206e-17]"
A1,2,N3,9,26.554003841566125,0.9943504918836106,8.0753466823741,"[1.6845748990922182, 1.5460562680243695, 1.0799321350791087, 0.9961931106095673, 0.9283867870225263, 0.6417108605898036, 0.5751680526566754, 0.06874279012772623, 0.0634395818100802]"
A1,3,N2,8,14.348436076960734,0.9332754846389058,0.6543237130771848,"[1.6713091082579128, 1.613297383042325, 1.3626212845598027, 0.5528672167892524, 0.5329931456714264, 0.3595370692719293, 0.12117034669092089, 0.11648022817912063, 6.204562500774265e-18]"
A1,3,N3,9,25.633502780622123,0.9943460607922447,0.762427738791857,"[1.6427941620786786, 1.5741412752810053, 1.0499659255884304, 1.0077985124583067, 0.961250322356628, 0.6396280674098732, 0.6028445382280367, 0.06756680283190362, 0.0640877751331185]"
A1,4,N2,8,14.418311808713812,0.9332437840254468,0.65432146849174,"[1.6762857847204011, 1.6079010698465594, 1.3625164753437577, 0.5543015516145157, 0.5315654993247488, 0.3608241277110479, 0.1214340797444616, 0.11626089149406005, 7.252995696233127e-18]"
A1,4,N3,9,25.637467815799067,0.9943595836684137,0.46509189590904504,"[1.6411699107203415, 1.5779562917878578, 1.0502495632306628, 1.0095651181105372, 0.9563817001362562, 0.6387230851514685, 0.6025549680999259, 0.0675715161423372, 0.0640145088630388]"
A2,0,N2,8,6.345405397647376,0.8911734353572337,4.943966743556465,"[1.576641349803332, 1.3807112532305528, 1.285480587830116, 1.0021239178476111, 0.8270306900621813, 0.3395416981908846, 0.30020035416090723, 0.2484697589830727, 8.17287449340946e-17]"
A2,0,N3,9,29.125376452402133,0.9941196971056899,3.5059899442794182,"[1.7441634628131295, 1.4383025164755716, 1.1167059367235046, 1.0142226713699882, 0.9102856960803818, 0.6777595856397851, 0.5627356961842322, 0.07255458887327904, 0.05988466674975041]"
A2,1,N2,8,8.401309238434033,0.894038720650745,6.14150218718551,"[1.647550864611403, 1.3131968823196634, 1.1706101553182107, 0.9654502217559515, 0.7892527064810352, 0.7250691841285556, 0.267516237314145, 0.19610644220477463, 1.802417636226793e-17]"
A2,1,N3,9,30.47936373262737,0.9940467143879117,3.497848749388499,"[1.7711624754226076, 1.3994897389145389, 1.1360765674217277, 1.0193651235004633, 0.885562801459738, 0.6919712252038549, 0.5501752267337747, 0.07430682923042571, 0.0581102181449616]"
A2,2,N2,8,4.5352970739731475,0.6668594723809319,6.578033075173872,"[1.552599098839269, 1.3212902255611116, 1.2306459037723736, 0.9944141964840812, 0.8313107159693165, 0.6021615632856242, 0.4115928842037666, 0.3423368025325658, 2.5237863009119274e-17]"
A2,2,N3,9,28.793542491103004,0.9940543780629442,3.5134835239562614,"[1.730955672081254, 1.4495589378507872, 1.1109762897447104, 1.0174400319629013, 0.9164101706805687, 0.6799348594047725, 0.5675350793913607, 0.07273091081790509, 0.060116106679687184]"
A2,3,N2,8,6.340738290682678,0.8915697883928394,4.949253185557547,"[1.5677914345709223, 1.377046602988877, 1.2728997913976179, 1.0250527652775958, 0.8423713639265349, 0.33764494471295586, 0.300060012803198, 0.24725692225378465, 4.453841588921004e-17]"
A2,3,N3,9,29.202678173163214,0.994033552812076,2.3104098049121156,"[1.7512423675097923, 1.4401970901648282, 1.1328671362545712, 1.0120170500703725, 0.9008671283640404, 0.6644298829851928, 0.537955209888938, 0.07345315553513056, 0.05996855347052229]"
A2,4,N2,8,5.518182334312093,0.891579705335166,4.969418221172201,"[1.4765174202380313, 1.4055962307212437, 1.3482629773934123, 0.9629108982637984, 0.913202795381735, 0.3370440833230628, 0.28293398595586816, 0.2675731483276724, 3.813289854627239e-18]"
