dataset,trial_id,Q1_included,Q1_reason,Q2_included,Q2_reason,Q3_included,Q3_reason,response_status,correctness,timeout
A1,1,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,2,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,3,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,4,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
A1,5,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,6,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,7,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,8,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,9,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,10,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,11,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,12,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,13,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,14,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,15,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
A1,16,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,17,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,18,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,19,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,20,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,21,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,22,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,23,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,24,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,25,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,26,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,27,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,28,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,29,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,30,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,31,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,32,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,33,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,34,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,35,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,36,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,37,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,38,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,39,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,40,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,41,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
